id,title,author,numAuthors,binding,publisher,isbn,pubYear,pubMonth,pubDay,editionNum,pages,volume,lang,editionDescr,series,upc
9780000000644,Instructor's Manual: Im Mod. Princ. Athlet. Train,"Arnheim, D.D.",1,Paperback,CABI,9780000000644,1970,1,01,,28,,ENG,,Mycological Paper Ser.,
9780000000910,Corn of America : Maize,Ten Speed Press Staff,1,Paperback,CABI,9780000000910,1971,1,01,,56,,ENG,,Phytopathological Paper Ser.,
9780000773920,Cywiro,"Cymru, Meu",1,CD/Spoken Word,Zondervan,9780000773920,2005,1,,,,,ENG,,,
9780001046832,Far from the Madding Crowd,,0,Audio Cassette,HarperCollins Publishers Limited,9780001046832,2000,3,,,,,ENG,Abridged,HarperCollinsAudioBooks Ser.,
9780001055391,Point of Origin,"Cornwell, Patricia",1,Audio Cassette,Ulverscroft Audio (U.S.A.),9780001055391,1998,0,,,,,ENG,,Kay Scarpetta Ser.,
9780001539389,Christmas Program Builder,"Miller, Paul",1,Paperback,Lillenas Publishing Company,9780001539389,1991,7,,,,,ENG,,,
9780001983212,Dreaming Tree,"Brown, Alan",1,Trade Cloth,Zondervan,9780001983212,2000,9,,,29,,ENG,,,
9780001983779,Pookie,"Wallace, Ivy",1,Trade Cloth,HarperCollins Publishers Limited,9780001983779,2001,3,,,32,,ENG,,,
9780002000864,Letters from Prison : Felons Write about the Struggle for Life and Sanity Behind Bars,,0,Trade Cloth,HarperCollins Publishers,9780002000864,2002,,,,265,,ENG,,,
9780002118712,Royal Gardens,"Moore, Derry Plumptre, George",2,Trade Cloth,HarperCollins Publishers,9780002118712,1981,,,,"224 ",,ENG,,,
9780002151917,Paris,"Cronin, V.",1,Trade Cloth,Zondervan,9780002151917,1995,9,,,384,,ENG,,,
9780002167406,Saint among Savages,"Kingsland, Rosemary Wright, John",2,Trade Cloth,HarperCollins Publishers,9780002167406,1980,,,,"183 ",,ENG,,,
