ID,Title,Episodes,Producers,Genres,Type,Year,Rating
1,Kidou Senshi Gundam 00 Second Season,25,Sunrise,"['Futuristic', 'Mecha', 'Sci Fi']",TV,2008,4.39
2,Gundam 00 Second Season,25,Sunrise,"['Futuristic', 'Mecha', 'Sci Fi']",TV,2008,4.39
3,Mobile Suit Gundam 00 Second Season,25,Sunrise,"['Futuristic', 'Mecha', 'Sci Fi']",TV,2008,4.39
4,One Outs,25,MADHOUSE,"['Baseball', 'Based on a Manga', 'High Stakes Games', 'Psychological', 'Seinen', 'Sports']",TV,2008,4.39
5,Kara no Kyoukai Movie 4: Garan no Dou,1,ufotable,"['Based on a Light Novel', 'Mystery', 'Supernatural']",Movie,2008,4.38
6,Hunter x Hunter OVA,8,Nippon Animation,"['Action', 'Adventure', 'Based on a Manga', 'Martial Arts', 'Shounen', 'Superpowers']",OVA,2002,4.38
7,Tatami Galaxy,11,MADHOUSE,"['Abstract', 'Based on a Novel', 'Comedy', 'noitaminA', 'Romance', 'School Life', 'Seinen']",TV,2010,4.38
8,Yojouhan Shinwa Taikei,11,MADHOUSE,"['Abstract', 'Based on a Novel', 'Comedy', 'noitaminA', 'Romance', 'School Life', 'Seinen']",TV,2010,4.38
9,Sakurasou no Pet na Kanojo,24,J.C.Staff,"['Based on a Light Novel', 'Boarding House', 'Comedy', 'Romance', 'School Life']",TV,2012,4.38
10,The Pet Girl of Sakurasou,24,J.C.Staff,"['Based on a Light Novel', 'Boarding House', 'Comedy', 'Romance', 'School Life']",TV,2012,4.38
11,Wagnaria!!3,13,A-1 Pictures,"['Based on a Manga', 'Comedy', 'Restaurants', 'Slice of Life', 'Work Life']",TV,2015,4.38
12,Working!!!,13,A-1 Pictures,"['Based on a Manga', 'Comedy', 'Restaurants', 'Slice of Life', 'Work Life']",TV,2015,4.38
13,Gundam: The Origin,1+,Sunrise,"['Mecha', 'Outer Space', 'Sci Fi']",OVA,2015,4.38
