ID,Title,Episodes,Producers,Genres,Type,Year,Rating
1,Detective Conan Movie 04: Captured in Her Eyes,1,"['TMS Entertainment', 'FUNimation Entertainment', 'Polygram Japan', 'Kyokuichi Tokyo Movie Shinsha']","['Adventure', 'Comedy', 'Mystery', 'Police', 'Shounen']", Movie,2000,8.19
2,Hidamari Sketch: Sae Hiro Sotsugyou-hen,2,['Shaft'],"['Comedy', 'School', 'Slice of Life']", OVA,2013,8.2
3,Toaru Kagaku no Railgun S,24,"['J.C.Staff', 'Geneon Universal Entertainment', 'FUNimation Entertainment', 'Movic', 'AT-X', 'Warner Bros.', 'ASCII Media Works']","['Action', 'Fantasy', 'Sci-Fi', 'Super Power']", TV,2013,8.21
4,Tamako Love Story,1,['Kyoto Animation'],"['Comedy', 'Romance', 'Slice of Life']", Movie,2014,8.21
5,Working!!!,13,"['Aniplex', 'A-1 Pictures', 'Aniplex of America']","['Comedy', 'Slice of Life']", TV,2015,8.21
6,Touch,101,"['Studio Gallop', 'Group TAC']","['Drama', 'Romance', 'School', 'Shounen', 'Slice of Life', 'Sports']", TV,1985,8.21
7,Ghost in the Shell: Stand Alone Complex - The Laughing Man,1,"['Production I.G', 'Bandai Visual', 'Animax', 'Kodansha', 'Bandai Entertainment']","['Action', 'Mecha', 'Mystery', 'Police', 'Psychological', 'Sci-Fi', 'Seinen']", Special,2005,8.2
8,Detective Conan Movie 03: The Last Wizard of the Century,1,"['TMS Entertainment', 'FUNimation Entertainment']","['Adventure', 'Comedy', 'Mystery', 'Police', 'Shounen']", Movie,1999,8.2
9,Igano Kabamaru,24,"['Group TAC', 'Studio Jack']","['Adventure', 'Comedy', 'Romance', 'Shounen']", TV,1983,8.2
10,Phantom: Requiem for the Phantom,26,"['Bee Train', 'Genco', 'FUNimation Entertainment']","['Action', 'Drama', 'Seinen', 'Thriller']", TV,2009,8.2
11,Prince of Tennis: The National Tournament Finals,7,"['Production I.G', 'NAS', 'M.S.C']","['Comedy', 'School', 'Shounen', 'Sports']", OVA,2008,8.2
12,Byousoku 5 Centimeter,3,"['ADV Films', 'Bandai Entertainment', 'CoMix Wave Films', 'Discotek']","['Drama', 'Romance', 'Slice of Life']", Movie,2007,8.19
13,Hikaru no Go,75,"['Studio Pierrot', 'TV Tokyo', 'Dentsu', 'Viz Media', 'Dream Force']","['Comedy', 'Game', 'Shounen', 'Supernatural']", TV,2001,8.2
14,"Clannad: Mou Hitotsu no Sekai, Tomoyo-hen",1,"['Kyoto Animation', 'Pony Canyon', 'Sentai Filmworks']","['Drama', 'Romance', 'School', 'Slice of Life']", Special,2008,8.19
15,Dragon Ball Kai (2014),61,"['Toei Animation', 'FUNimation Entertainment']","['Action', 'Adventure', 'Comedy', 'Fantasy', 'Martial Arts', 'Shounen', 'Super Power']", TV,2014,8.19
16,Hanamonogatari,5,"['Aniplex', 'Shaft', 'Kodansha', 'Aniplex of America']","['Comedy', 'Mystery', 'Supernatural']", TV,2014,8.19
17,Kami nomi zo Shiru Sekai II,12,"['TV Tokyo', 'Geneon Universal Entertainment', 'Manglobe', 'Sentai Filmworks']","['Comedy', 'Harem', 'Romance', 'Shounen', 'Supernatural']", TV,2011,8.19
