int_id,ext_id,title,SKU,price,is_discounted,category,company_struct,company_free,brand,weight,length,width,height,fabrics,colors,materials
1,1044151621,Maclaren Limited Edition Quest in Denim,44151621,294.99,False,Strollers / Lightweight Strollers,Maclaren,Maclaren,, 14.5 lb.,"31""","18.7""","41.8""",,,aluminum
2,1043218783,Baby Cargo Series 300 Ultra-Lightweight Stroller in Smoke,43218783,189.99,False,Strollers / Lightweight Strollers,Baby Cargo,Baby Cargo,Baby Cargo,16.5 lb.,"11""","12""","42.5""",polyester / plush,,plastic
3,1017957503,Simmons  Aluminum Tour DX Stroller,17957503,169.99,False,Strollers / Lightweight Strollers,Simmons,Simmons,,17.5 pounds.,"1/4""","1/2""","1/4""",,,
4,1041282908,Cosco Juvenile Umbrella Stroller in Sleep Monsters,41282908,19.99,False,Strollers / Lightweight Strollers,Cosco,Cosco,,8 lbs.,,,,,,
5,1043218790,Baby Cargo Series 100 Ultra-Lightweight Stroller in Pink/Slate,43218790,119.99,False,Strollers / Lightweight Strollers,Baby Cargo,Baby Cargo,Baby Cargo,11.6 lb.,"10.75""","11""","42""",polyester / plush,,plastic
6,1042620877,Maclaren Techno XT Stroller in Charcoal,42620877,354.99,False,Strollers / Lightweight Strollers,Maclaren,,, 18 lb.,"32.6""","19.3""","44.4""",,,aluminum
7,3246318,babyhome Emotion Stroller in Purple,41518335,299.99,False,Strollers / Lightweight Strollers,babyhome,babyhome,,a scant 13 lbs.,,,,,,
8,3259033,UPPAbaby G-LITE Stroller in Jake,43209187,179.99,False,Strollers / Lightweight Strollers,UPPAbaby,UPPAbaby,,,"32""","19.5""","42""",,,
9,1041341223,Maxi-Cosi Kaia Stroller in Total Black,41341223,159.99,True,Strollers / Lightweight Strollers,Maxi-Cosi,Maxi-Cosi,,19 lbs.,,,,,,
10,1043218806,Baby Cargo Series 100 Ultra-Lightweight Stroller in Taupe/Sunset,43218806,119.99,False,Strollers / Lightweight Strollers,Baby Cargo,Baby Cargo,Baby Cargo,11.6 lb.,"10.75""","11""","42""",polyester / plush,,plastic
11,1040851471,Chicco Liteway Plus Stroller in Surge,40851471,179.99,False,Strollers / Lightweight Strollers,Chicco,Chicco,Liteway, 19 lb.,,,,,,aluminum
12,1044204884,Summer Infant 3D Flip Convenience Stroller in Now & Then Teal,44204884,129.99,False,Strollers / Lightweight Strollers,Summer Infant,Summer Infant,,14 lb.,"27""","18""","43""",,,aluminum
13,1043975075,babyhome Emotion Stroller in Sky,43975075,299.99,False,Strollers / Lightweight Strollers,babyhome,babyhome,,13 lb.,"33""","18""","39""",,,aluminum
14,1042813941,Joovy Groove Ultralight Umbrella Stroller in Red,42813941,189.99,False,Strollers / Lightweight Strollers,Joovy,Joovy,, 13.9 pounds,"30.5""","20.75""","42.5""",polyester,,aluminum
15,1040971384,Maclaren Techno XT Stroller in Black,40971384,354.99,False,Strollers / Lightweight Strollers,Maclaren,Maclaren,,15.3 lbs.,"32.6""","19.3""","44.4""",,,
16,1044708078,Maclaren 2015 Volo Stroller in Nautical Stripe,44708078,199.99,False,Strollers / Lightweight Strollers,Maclaren,Maclaren,, 9.5 lb.,"31""","18.9""","40.94""",,,aluminum
17,1041341230,Maxi-Cosi Kaia Stroller in Intense Red,41341230,159.99,True,Strollers / Lightweight Strollers,Maxi-Cosi,Maxi-Cosi,,19 lb.,,,,,,
18,1043218820,Baby Cargo Series 300 Ultra-Lightweight Stroller in Ocean,43218820,189.99,False,Strollers / Lightweight Strollers,Baby Cargo,Baby Cargo,Baby Cargo,16.5 lb.,"11""","12""","42.5""",plush,,
19,1043578672,Chicco Liteway Plus 15 Stroller in Avena,43578672,179.99,False,Strollers / Lightweight Strollers,Chicco,Chicco,Liteway,,"35""","19""","40""",,,
20,1043975129,babyhome Emotion Stroller in Cloud,43975129,299.99,False,Strollers / Lightweight Strollers,babyhome,babyhome,,13 lb.,"33""","18""","39""",,,aluminum
21,3259023,UPPAbaby G-LUXE Stroller in Ani,43209330,259.99,False,Strollers / Lightweight Strollers,UPPAbaby,UPPAbaby,, 15 lb.,"8.5""","12""","42.5""",,,aluminum
22,1042813958,Joovy Groove Ultralight Umbrella Stroller in Charcoal,42813958,189.99,False,Strollers / Lightweight Strollers,Joovy,Joovy,, 13.9 pounds,"30.5""","20.75""","42.5""",polyester,,aluminum
23,1040971438,Maclaren Techno XLR Stroller in Black/Champagne,40971438,424.99,False,Strollers / Lightweight Strollers,Maclaren,Maclaren,,16.5 pounds.,"1/3""","4/5""","7/10""",,,aluminum
24,1042573906,Maclaren Mark II Stroller in Silver,42573906,199.99,False,Strollers / Lightweight Strollers,Maclaren,Maclaren,,7 lb.,"29.13""","18.75""","40.75""",,,aluminum
