int_id,ext_id,title,SKU,price,is_discounted,category,company_struct,company_free,brand,weight,length,width,height,fabrics,colors,materials
1,54717766,Peanut Shell Mila 4 Piece Crib Bedding Set,1402BAD0,159.99,1,Nursery Bedding,Peanut Shell,,,,"37""","44""",,cotton,,
2,16401396,Lambs & Ivy Echo 7 Piece Bedding Set,283A6D38,159.99,1,Nursery Bedding,Lambs & Ivy,,,,"52""","28""",,cotton / polyester,,
3,43704846,Bella 6 Piece Bed Set,E358C527,159.99,1,Nursery Bedding,Peanut Shell,,,,,,,taffeta,mauve / cream,
4,17819976,Nautica Kids Brody 4-Piece Crib Bedding Set,638FC2B4,159.99,1,Nursery Bedding,Nautica Kids,,,,"28""","52""",,plush / cotton,blue,
5,11981518,Lambs & Ivy Bow Wow 9-Piece Crib Bedding Set,2D3B3ACE,159.99,1,Nursery Bedding,Lambs & Ivy,,,,,"10.5""","20""",plush / cotton / polyester,,
6,12010277,Lambs & Ivy Duchess 9 Piece Crib Bedding Set,40B3741C,159.99,1,Nursery Bedding,Lambs & Ivy,,,,,"11""","20""",cotton / polyester,pink,
7,35761516,Koala Baby First Love 4 Piece Crib Bedding Set - Elephant - Navy/Light Blue,84567307,99.99,0,Nursery Bedding,Babies R Us,"Babies'R'Us,",,,45&quot;,35&quot;,,cotton / polyester,blue,
8,41390046,Disney Baby - Lion King 7 Piece Crib Set,9EAE4F62,159.99,1,Nursery Bedding,Disney Baby,,,,"28""","52""",,cotton,orange,
9,16401316,Lambs & Ivy Safari Express 9 Piece Bedding Set,DF2C294A,159.99,1,Nursery Bedding,Lambs & Ivy,,,,"52""","28""",,cotton / polyester,,
10,41389536,Carter's - Jungle Collection 7 Piece Crib Set,C4331B21,159.99,1,Nursery Bedding,Carters,,,,"45""","36""",,cotton / polyester,green / pink,
11,37588206,Petit Tresor Nuit 4 Piece Bed Set,F6D6B23F,159.99,1,Nursery Bedding,Petit Tresor,,,,,,,cotton,gray,
12,44116406,Disney Baby - Peeking Pooh 7 Piece Crib Set,2CDEA49F,159.99,1,Nursery Bedding,Disney Baby Classic Pooh,,,,"28""","52""",,plush / cotton / velboa,,wood
13,12400126,NoJo Jungle Babies 9-Piece Crib Bedding Set,A8D0A8E6,159.99,1,Nursery Bedding,NoJo,,,,"28""","52""",,cotton,tan / green,
14,60203896,The Peanut Shell Uptown Giraffe 4 Piece Crib Set,41D39249,159.99,1,Nursery Bedding,Farallon Brands,,,,,,,,,
15,43702836,Lambs & Ivy Butterfly Bloom 6 Piece bedding set,B06F90CA,159.99,1,Nursery Bedding,Lambs & Ivy,,,,"44""","35""",,cotton / polyester,,
16,12330409,NoJo Beautiful Butterfly 9-Piece Crib Bedding Set,64FC369A,159.99,1,Nursery Bedding,NoJo,,,,"28""","52""",,cotton / polyester,green / purple,
17,24892036,Farallon Petit Tresor Luca 4-Piece Crib Bedding Set,92F19AC2,85.98,1,Nursery Bedding,Petit Tresor,,,,"80""","42""",,cotton,tan,
18,12341214,Mamas & Papas Once Upon a Time 4-Piece Crib Bedding Set,EC988567,149.98,1,Nursery Bedding,Mamas & Papas,,,,,,,cotton / polyester,,
19,35762756,High Seas 3 piece Crib Set,C4AA2898,159.99,1,Nursery Bedding,Triboro Quilt Co.,,,,"45""","36""",,cotton,blue,
20,63496276,Lambs & Ivy Goodnight Sheep 4 Piece Crib Set,96A22E62,159.99,1,Nursery Bedding,Lambs & Ivy Signature,,,,"44""","35""",,cotton,gray,
21,12409777,Lambs & Ivy S.S. Noah 9-Piece Crib Bedding Set,649AC83F,159.99,1,Nursery Bedding,Lambs & Ivy,,,,,,,plush / cotton / polyester,,
22,30762226,Koala Baby B is for Bear 4-Piece Crib Bedding Set - Tan,E68190ED,99.99,0,Nursery Bedding,Babies R Us,,,,,,,plush / cotton / polyester,tan / blue,
23,28329526,My Baby Sam Olivia Rose 3 Piece Crib Bedding Set - Gray/Pink,2A19A34C,139.99,0,Nursery Bedding,My Baby Sam,My Baby,,,"44""","36""",,cotton / polyester,gray / pink,
