Label,Beer Name,Brew Factory Name,Style,ABV
A1,Tröegs Nugget Nectar,Tröegs Brewing Company,American Amber / Red Ale,7.50%
A2,Fat Tire Amber Ale,New Belgium Brewing,American Amber / Red Ale,5.20%
A3,Levitation Ale,Stone Brewing Co.,American Amber / Red Ale,4.40%
A4,Green Flash Hop Head Red Ale,Green Flash Brewing Co.,American Amber / Red Ale,8.10%
A5,Tröegs Hopback Amber Ale,Tröegs Brewing Company,American Amber / Red Ale,6.00%
A7,Flipside Red IPA,Sierra Nevada Brewing Co.,American Amber / Red Ale,6.20%
A8,Censored,Lagunitas Brewing Company,American Amber / Red Ale,6.75%
A9,Red Rocket Ale,Bear Republic Brewing Co.,American Amber / Red Ale,6.80%
A10,Great Lakes Nosferatu,Great Lakes Brewing Co.,American Amber / Red Ale,8.00%
A11,Lagunitas Imperial Red Ale,Lagunitas Brewing Company,American Amber / Red Ale,7.80%
A12,Zoe,Maine Beer Company,American Amber / Red Ale,7.20%
A13,Santa's Private Reserve Ale,Rogue Ales,American Amber / Red Ale,5.30%
A14,Lagunitas Lucky 13 Mondo Large Red Ale,Lagunitas Brewing Company,American Amber / Red Ale,8.65%
A15,Ruedrich's Red Seal Ale,North Coast Brewing Co.,American Amber / Red Ale,5.40%
A16,Boont Amber Ale,Anderson Valley Brewing Company,American Amber / Red Ale,5.80%
A17,American Amber Ale,Rogue Ales,American Amber / Red Ale,5.30%
A18,Highland Gaelic Ale,Highland Brewing,American Amber / Red Ale,5.80%
A19,Tocobaga Red Ale,Cigar City Brewing,American Amber / Red Ale,7.40%
A20,Calico Copper Amber Ale,Ballast Point Brewing Company,American Amber / Red Ale,5.50%
A21,Avalanche Ale,Breckenridge Brewery,American Amber / Red Ale,4.40%
A22,CascaZilla,Ithaca Beer Company,American Amber / Red Ale,7.00%
A23,Full Sail Amber,Full Sail Brewery & Tasting Room & Pub,American Amber / Red Ale,5.50%
A24,St. Rogue Red,Rogue Ales,American Amber / Red Ale,5.10%
A25,Red Tail Ale,Mendocino Brewing Company,American Amber / Red Ale,6.10%
A26,Prohibition Ale,Speakeasy Ales & Lagers,American Amber / Red Ale,6.10%
A27,Global Warmer,Sixpoint Brewery,American Amber / Red Ale,7.00%
A28,Blazing World,Modern Times Beer,American Amber / Red Ale,6.80%
A29,Red Wheelbarrow,Maine Beer Company,American Amber / Red Ale,7.00%
A30,Anchor BigLeaf Maple Autumn Red,Anchor Brewing Company,American Amber / Red Ale,6.00%
A31,Tongue Buckler - Imperial Red Ale,Ballast Point Brewing Company,American Amber / Red Ale,10.00%
A33,Red Hoptober,New Belgium Brewing,American Amber / Red Ale,6.00%
A34,Captain Sig's Northwestern Ale,Rogue Ales,American Amber / Red Ale,6.20%
A35,Five AM,BrewDog,American Amber / Red Ale,5.00%
A36,YuleSmith (Winter),AleSmith Brewing Company,American Amber / Red Ale,8.50%
A37,Shark Attack Double Red Ale,Port Brewing,American Amber / Red Ale,9.00%
A38,Switchback Ale,Switchback Brewing Company,American Amber / Red Ale,5.00%
A39,Runoff Red IPA,Odell Brewing Company,American Amber / Red Ale,6.50%
A40,Red Nectar,Humboldt Brewing Co.,American Amber / Red Ale,5.40%
A41,Ambergeddon,Ale Asylum,American Amber / Red Ale,6.80%
A42,Terrapin Oaked Big Hoppy Monster,Terrapin Beer Company,American Amber / Red Ale,10.30%
A43,AutumnFest,Weyerbacher Brewing Co.,American Amber / Red Ale,5.40%
A44,AleSmith My Bloody Valentine,AleSmith Brewing Company,American Amber / Red Ale,6.66%
A45,Kingpin Double Red Ale,BridgePort Brewing Co. / Brewpub,American Amber / Red Ale,7.50%
A46,Loakal Red,The Bruery,American Amber / Red Ale,6.90%
A47,Red-oric - Beer Camp #65 (Best Of Beer Camp: Imperial Red Ale),Sierra Nevada Brewing Co.,American Amber / Red Ale,8.00%
A48,Redhook Copperhook,Redhook Ale Brewery,American Amber / Red Ale,5.80%
A49,Duck-Rabbit Amber Ale,The Duck-Rabbit Craft Brewery,American Amber / Red Ale,5.50%
A50,Samuel Adams Mighty Oak Ale,Boston Beer Company (Samuel Adams),American Amber / Red Ale,5.70%
A51,Believer,Ninkasi Brewing Company,American Amber / Red Ale,6.90%
A52,Mermaid's Red Ale,Coronado Brewing Company,American Amber / Red Ale,5.70%
A53,Jamaica Red Ale,Mad River Brewing Company,American Amber / Red Ale,6.50%
A54,Fistmas,Revolution Brewing Company,American Amber / Red Ale,6.10%
A55,Saint Arnold Amber Ale,Saint Arnold Brewing Company,American Amber / Red Ale,5.50%
A56,Pursuit Of Hoppiness,Grand Teton Brewing Co.,American Amber / Red Ale,8.50%
A57,Mourning Wood,Local Option,American Amber / Red Ale,7.30%
A58,Blue Moon Valencia Amber Ale,Coors Brewing Company,American Amber / Red Ale,5.90%
A59,Snowshoe Red Ale,New Glarus Brewing Company,American Amber / Red Ale,5.70%
A60,Blood Of The Unicorn,Pipeworks Brewing Company,American Amber / Red Ale,6.50%
A61,AleSmith Evil Dead Red,AleSmith Brewing Company,American Amber / Red Ale,6.66%
A62,New Holland Sundog Amber Ale,New Holland Brewing Company,American Amber / Red Ale,5.25%
A63,Cinder Cone Red,Deschutes Brewery,American Amber / Red Ale,5.30%
A64,Dark Horse Amber Ale,Dark Horse Brewing Company,American Amber / Red Ale,5.50%
A65,Laughing Skull Amber Ale,Red Brick Brewing Company,American Amber / Red Ale,5.70%
A66,Drop Top Amber,Widmer Brothers Brewing Company,American Amber / Red Ale,5.00%
A67,Hoppus Maximus,Thirsty Dog Brewing Company,American Amber / Red Ale,5.90%
A68,Fascist Pig Ale,Finch's Beer Co.,American Amber / Red Ale,8.00%
A69,Blood Shot - Beer Camp #95,Sierra Nevada Brewing Co.,American Amber / Red Ale,8.50%
A70,Evil Twin Hop Flood,Evil Twin Brewing,American Amber / Red Ale,7.00%
A71,Key West Sunset Ale,Florida Beer Company,American Amber / Red Ale,4.80%
A72,Alleycat Amber,Lost Coast Brewery and Cafe,American Amber / Red Ale,5.50%
A73,African Amber,Mac and Jack's Brewery,American Amber / Red Ale,5.20%
A74,Odell Levity Amber Ale,Odell Brewing Company,American Amber / Red Ale,5.00%
A75,Big Red Coq,Brewery Vivant,American Amber / Red Ale,6.50%
A76,Blue Point Winter Ale,Blue Point Brewing Company,American Amber / Red Ale,7.00%
A77,Red Fish,Flying Fish Brewing Company,American Amber / Red Ale,7.00%
A78,Red Banshee,The Fort Collins Brewery,American Amber / Red Ale,5.30%
A79,Green Lakes Organic Ale,Deschutes Brewery,American Amber / Red Ale,5.20%
