Label,Beer Name,Brew Factory Name,Style,ABV
B10,Great Lakes Nosferatu,Great Lakes Brewing &#40;Ohio&#41;,American Strong Ale,8%
B100,4 Hands Reprise Centennial Red Ale,4 Hands Brewing Company,Amber Ale,6%
B1000,10 Barrel Backdraft IPA,10 Barrel Brewing &#40;AB InBev&#41;,India Pale Ale &#40;IPA&#41;,6.50%
B1001,Gore Range Fly Fisher Red Ale,Gore Range Brewery,Amber Ale,-
B1002,Naked Dove Nice & Naughty Christmas Ale,Naked Dove Brewing,Stout,5.50%
B1003,10 Barrel Amber Waves of Grain,10 Barrel Brewing &#40;AB InBev&#41;,Amber Ale,5.80%
B1004,Barley Station Bushwacker Brown,Barley Station Brewpub &#40;Shuswap Lake Brewing Co.&#41;,Brown Ale,4.70%
B1005,Blackfoot River MacKenzie River Driftboat Amber,Blackfoot River Brewing,Amber Ale,5.50%
B1006,Brewerie Apparition Amber Ale ,The Brewerie at Union Station,Amber Ale,8%
B1007,Battlefield Brew Works Red Circle Ale,Battlefield Brew Works,Irish Ale,5.20%
B1009,3 Sheeps Rebel Kent The First - Red Wine Barrel,3 Sheeps Brewing Company,Belgian Ale,5%
B101,Esbjerg Mikrobryg Amber Ale,_lgod Bryghus,Amber Ale,5%
B1010,Red Duck Amber Ale,Purrumbete Brewing,Amber Ale,4.80%
B1011,Big Rig Rideau Red,Big Rig Brewery,Amber Ale,5.20%
B1012,Quimera Amber Ale,Casa Cervecera Quinta Normal,Amber Ale,5.70%
B1013,People_s Aberrant Amber,People_s Brewing Company,Amber Ale,5.50%
B1014,Northwest Chinook Copper Ale ,Northwest Brewing Company,Amber Ale,5.30%
B1016,11 Below Oso Bueno Amber Ale,11 Below Brewing Company,Amber Ale,5.30%
B1019,Mt. Shasta Abner Weed Amber Ale,Mt. Shasta Brewing Company,Amber Ale,5.50%
B1020,Burley Oak Assawoman Amber,Burley Oak Brewing Company,Amber Ale,6.90%
B1021,Catawba Valley Indian Head Red,Catawba Valley Brewing Company,Amber Ale,5%
B1022,Grayton Beer 1890 Founder_s Ale,Grayton Beer,Amber Ale,6.10%
B1023,Fulton The Libertine Imperial Red Ale - Heaven Hill Rye Whiskey Barrel Aged,Fulton Beer Company,American Strong Ale,8.50%
