id,bike_name,city_posted,km_driven,color,fuel_type,price,model_year,owner_type,url
36082,"Royal Enfield Bullet Electra Twinspark",Delhi,900,black,Petrol,110000,2015,FirstOwner,http://www.bikedekho.com/
36115,"Royal Enfield Thunderbird 350",Mumbai,15000,black,Petrol,110000,2013,FirstOwner,http://www.bikedekho.com/
36118,"Royal Enfield Bullet 350",Mumbai,50000,grey,Petrol,110000,1984,FifthOwner,http://www.bikedekho.com/
36119,"KTM Duke 200",Mumbai,13000,white,Petrol,100000,2014,FirstOwner,http://www.bikedekho.com/
36120,"Yamaha YZF R15 Version 2.0",Mumbai,28000,red,Petrol,70000,2013,FirstOwner,http://www.bikedekho.com/
36121,"Yamaha YZF R15 Version 2.0",Mumbai,40000,red,Petrol,74000,2012,FirstOwner,http://www.bikedekho.com/
36122,"Hero Honda Passion Plus",Mumbai,80000,red,Petrol,14000,2002,SecondOwner,http://www.bikedekho.com/
36123,"Yamaha YZF R15 Version 2.0",Mumbai,15000,black,Petrol,73000,2013,SecondOwner,http://www.bikedekho.com/
36124,"Honda CBR 250R Standard",Mumbai,14000,red,Petrol,110000,2012,FirstOwner,http://www.bikedekho.com/
36125,"Bajaj Pulsar 180cc Dtsi",Mumbai,40000,blue,Petrol,21999,2008,FirstOwner,http://www.bikedekho.com/
36128,"Yamaha Gladiator Ss",Mumbai,60000,red,Petrol,19000,2008,SecondOwner,http://www.bikedekho.com/
36145,"Suzuki Gs150r",Mumbai,50000,blue,Petrol,22000,2010,SecondOwner,http://www.bikedekho.com/
36146,"Honda CBR 250R Standard",Mumbai,10000,black,Petrol,150000,2014,FirstOwner,http://www.bikedekho.com/
36148,"Yamaha RXZ STD",Mumbai,58000,blue,Petrol,32000,1997,SecondOwner,http://www.bikedekho.com/
36197,"Bajaj Pulsar 135",Delhi,36626,red,Petrol,23000,2010,FirstOwner,http://www.bikedekho.com/
36198,"KTM Duke 200",Delhi,9200,black,Petrol,110000,2014,FirstOwner,http://www.bikedekho.com/
36199,"Bajaj Caliber 115",Delhi,60000,blue,Petrol,14000,2003,FirstOwner,http://www.bikedekho.com/
36200,"Bajaj Pulsar 150cc Dtsi",Delhi,22000,black,Petrol,24000,2007,FirstOwner,http://www.bikedekho.com/
36201,"Bajaj Pulsar 150cc Dtsi",Delhi,40000,silver,Petrol,14500,2006,SecondOwner,http://www.bikedekho.com/
36202,"Bajaj Platina 100 Alloy Wheel KS",Delhi,19700,black,Petrol,24000,2010,SecondOwner,http://www.bikedekho.com/
36203,"Bajaj Pulsar 135",Delhi,65000,red,Petrol,28000,2011,FirstOwner,http://www.bikedekho.com/
36204,"Bajaj Pulsar 220F Dtsi",Delhi,14000,black,Petrol,50000,2012,FirstOwner,http://www.bikedekho.com/
36205,"Bajaj Pulsar 180cc Dtsi",Delhi,50000,blue,Petrol,29999,2008,FirstOwner,http://www.bikedekho.com/
36206,"Bajaj Pulsar 150cc Dtsi",Delhi,43000,black,Petrol,16000,2007,FirstOwner,http://www.bikedekho.com/
36207,"Bajaj Pulsar 150cc Dtsi",Delhi,70000,blue,Petrol,12000,2003,SecondOwner,http://www.bikedekho.com/
36208,"Bajaj Avenger 180",Delhi,41000,grey,Petrol,30000,2006,FirstOwner,http://www.bikedekho.com/
36209,"Bajaj Pulsar 135",Delhi,16000,black,Petrol,59000,2014,FirstOwner,http://www.bikedekho.com/
36210,"Bajaj Pulsar 200 SS",Delhi,70000,red,Petrol,34000,2009,SecondOwner,http://www.bikedekho.com/
36211,"Bajaj Pulsar 150cc Dtsi",Delhi,30000,black,Petrol,58000,2013,FirstOwner,http://www.bikedekho.com/
36212,"Bajaj Caliber 115",Delhi,45000,green,Petrol,9000,2002,FirstOwner,http://www.bikedekho.com/
36213,"Hero Honda Karizma Zmr Pgm Fi",Delhi,44000,red,Petrol,39000,2010,SecondOwner,http://www.bikedekho.com/
36214,"Hero Honda Passion Plus",Delhi,63000,black,Petrol,16000,2005,SecondOwner,http://www.bikedekho.com/
36215,"Hero Honda Splendor Plus",Delhi,35000,black,Petrol,21999,2007,SecondOwner,http://www.bikedekho.com/
36216,"Hero MotoCorp Passion Pro Self Drum Alloy",Delhi,17000,black,Petrol,39000,2013,FirstOwner,http://www.bikedekho.com/
36217,"Hero Honda CBZ Disc",Delhi,58000,black,Petrol,15000,2002,FirstOwner,http://www.bikedekho.com/
36218,"Hero Honda Cbz Xtreme Self Start",Delhi,60000,red,Petrol,21000,2010,SecondOwner,http://www.bikedekho.com/
36219,"Hero Honda Glamour",Delhi,45000,black,Petrol,23000,2010,SecondOwner,http://www.bikedekho.com/
36220,"Hero Honda Splendor Pro",Delhi,32000,black,Petrol,30000,2011,FirstOwner,http://www.bikedekho.com/
36221,"Hero Honda Karizma Zmr Pgm Fi",Delhi,37000,black,Petrol,34000,2010,SecondOwner,http://www.bikedekho.com/
36222,"Hero Honda Cbz Xtreme Self Start",Delhi,60000,black,Petrol,16000,2006,FirstOwner,http://www.bikedekho.com/
36223,"Hero Motocorp Passion Xpro Disc Self Cast",Delhi,6500,black,Petrol,55000,2014,FirstOwner,http://www.bikedekho.com/
36224,"Hero Honda Splendor Plus",Delhi,7350,black,Petrol,38000,2013,FirstOwner,http://www.bikedekho.com/
36225,"Hero Honda Splendor Pro",Delhi,15000,black,Petrol,39000,2012,FirstOwner,http://www.bikedekho.com/
36226,"Hero Motocorp Ignitor 125 Disc",Delhi,74,white,Petrol,50000,2015,FirstOwner,http://www.bikedekho.com/
36227,"Honda Unicorn Spoke",Delhi,60000,silver,Petrol,14500,2005,FirstOwner,http://www.bikedekho.com/
36229,"Royal Enfield Bullet Electra Twinspark",Delhi,19250,silver,Petrol,84999,2010,SecondOwner,http://www.bikedekho.com/
36230,"Royal Enfield Classic 350",Delhi,38000,maroon,Petrol,90000,2011,FirstOwner,http://www.bikedekho.com/
36231,"Royal Enfield Classic 500",Delhi,16350,maroon,Petrol,110000,2011,FirstOwner,http://www.bikedekho.com/
36232,"Royal Enfield Thunderbird 350",Delhi,11000,silver,Petrol,89000,2010,FirstOwner,http://www.bikedekho.com/
36233,"Royal Enfield Classic Chrome",Delhi,22000,silver,Petrol,140000,2012,FirstOwner,http://www.bikedekho.com/
36234,"TVS Apache RTR 160",Delhi,20000,grey,Petrol,64000,2014,FirstOwner,http://www.bikedekho.com/
36235,"TVS Star City Spoke",Delhi,48000,black,Petrol,15000,2007,FirstOwner,http://www.bikedekho.com/
36236,"Hero Honda Karizma Zmr Pgm Fi",Delhi,24000,white,Petrol,60000,2012,FirstOwner,http://www.bikedekho.com/
36237,"Yamaha FZ S",Delhi,11850,black,Petrol,48000,2013,FirstOwner,http://www.bikedekho.com/
36238,"Mahindra Centuro NXT",Delhi,8500,black,Petrol,39000,2014,FirstOwner,http://www.bikedekho.com/
36239,"Yamaha FZ S",Delhi,26000,red,Petrol,58000,2013,FirstOwner,http://www.bikedekho.com/
36240,"Yamaha FZ FI Version 2.0",Delhi,50000,red,Petrol,31999,2009,ThirdOwner,http://www.bikedekho.com/
36242,"Yamaha YZF R15 Version 2.0",Delhi,15000,black,Petrol,74000,2014,FirstOwner,http://www.bikedekho.com/
36243,"Yamaha Fazer Sport",Delhi,12000,red,Petrol,46000,2012,FirstOwner,http://www.bikedekho.com/
36244,"Yamaha YZF R15",Delhi,11000,red,Petrol,65000,2010,FirstOwner,http://www.bikedekho.com/
36245,"Yamaha YZF R15 Version 2.0",Delhi,8000,red,Petrol,90000,2013,SecondOwner,http://www.bikedekho.com/
36246,"Yamaha FZ FI Version 2.0",Delhi,24000,white,Petrol,35000,2011,SecondOwner,http://www.bikedekho.com/
36258,"Bajaj Pulsar 180cc Dtsi",Delhi,34000,black,Petrol,25000,2010,SecondOwner,http://www.bikedekho.com/
36261,"Bajaj Pulsar 180cc Dtsi",Bangalore,10000,silver,Petrol,37999,2007,FirstOwner,http://www.bikedekho.com/
36262,"Bajaj Pulsar 150cc Dtsi",Bangalore,61000,black,Petrol,24999,2008,FirstOwner,http://www.bikedekho.com/
36263,"Bajaj Caliber 115",Bangalore,80000,blue,Petrol,21000,2003,FirstOwner,http://www.bikedekho.com/
36264,"Bajaj Pulsar 150cc Dtsi",Bangalore,28468,black,Petrol,40000,2009,FirstOwner,http://www.bikedekho.com/
36265,"Bajaj Pulsar 180cc Dtsi",Bangalore,35870,black,Petrol,39999,2010,SecondOwner,http://www.bikedekho.com/
36266,"Bajaj Pulsar 150cc Dtsi",Bangalore,73000,black,Petrol,21000,2006,SecondOwner,http://www.bikedekho.com/
36267,"Bajaj Discover 125 STD",Bangalore,32000,black,Petrol,47000,2012,FirstOwner,http://www.bikedekho.com/
36268,"Bajaj Pulsar 150cc Dtsi",Bangalore,31000,black,Petrol,55000,2013,FirstOwner,http://www.bikedekho.com/
36270,"Bajaj Discover 150 F Standard",Bangalore,42000,black,Petrol,29000,2012,FirstOwner,http://www.bikedekho.com/
36271,"Bajaj Pulsar 150cc Dtsi",Bangalore,29000,black,Petrol,25000,2006,SecondOwner,http://www.bikedekho.com/
36272,"Bajaj Pulsar 150cc Dtsi",Bangalore,90000,black,Petrol,27999,2007,FirstOwner,http://www.bikedekho.com/
36273,"Bajaj Discover 125 STD",Bangalore,7000,blue,Petrol,46000,2014,FirstOwner,http://www.bikedekho.com/
36274,"Bajaj Avenger 220",Bangalore,25000,red,Petrol,76000,2013,FirstOwner,http://www.bikedekho.com/
36275,"Bajaj Avenger 220",Mumbai,7100,blue,Petrol,60000,2013,FirstOwner,http://www.bikedekho.com/
36276,"Bajaj Discover 125 M Drum",Bangalore,50000,blue,Petrol,37000,2013,FirstOwner,http://www.bikedekho.com/
36277,"Bajaj Pulsar 150cc Dtsi",Bangalore,52000,red,Petrol,39000,2010,FirstOwner,http://www.bikedekho.com/
36278,"Bajaj Avenger 220",Bangalore,11500,black,Petrol,69000,2013,SecondOwner,http://www.bikedekho.com/
36279,"Bajaj Avenger 220",Bangalore,15000,black,Petrol,61500,2012,FirstOwner,http://www.bikedekho.com/
36280,"Bajaj Pulsar 135",Bangalore,27000,black,Petrol,40000,2012,FirstOwner,http://www.bikedekho.com/
36281,"Bajaj Pulsar 135",Bangalore,12500,red,Petrol,39999,2012,SecondOwner,http://www.bikedekho.com/
36282,"Hero Honda Passion Plus",Bangalore,48000,black,Petrol,12499,2007,FirstOwner,http://www.bikedekho.com/
36283,"Hero Honda Splendor Pro",Bangalore,10000,black,Petrol,44999,2012,SecondOwner,http://www.bikedekho.com/
36284,"Hero Honda Splendor Super",Bangalore,40000,black,Petrol,24000,2006,FirstOwner,http://www.bikedekho.com/
36285,"Hero Honda Splendor Plus",Bangalore,60000,grey,Petrol,29000,2006,SecondOwner,http://www.bikedekho.com/
36286,"Hero Honda Hunk",Bangalore,30000,black,Petrol,49000,2011,FirstOwner,http://www.bikedekho.com/
36287,"Hero Motocorp Ignitor 125 Disc",Bangalore,23500,red,Petrol,47999,2013,FirstOwner,http://www.bikedekho.com/
36288,"Hero Honda Karizma Zmr Pgm Fi",Bangalore,14000,black,Petrol,80000,2014,FirstOwner,http://www.bikedekho.com/
36289,"Hero Honda Splendor Pro",Bangalore,38000,black,Petrol,37000,2012,FirstOwner,http://www.bikedekho.com/
36290,"Honda Unicorn Spoke",Bangalore,30000,black,Petrol,16999,2005,ThirdOwner,http://www.bikedekho.com/
36291,"Honda Unicorn Alloy",Bangalore,70000,black,Petrol,24000,2005,SecondOwner,http://www.bikedekho.com/
