id,bike_name,city_posted,km_driven,color,fuel_type,price,model_year,owner_type,url
12,"TVS Apache RTR 160 Rear Drum Brake",Mumbai,28500,grey,Petrol,40000,2010,First,http://www.bikewale.com/used/bikes-in-mumbai/tvs-apachertr160-S12/
20,"Bajaj Discover 125 Disc",Mumbai,21300,green,Petrol,27000,2009,First,http://www.bikewale.com/used/bikes-in-mumbai/bajaj-Discover-S20/
26,"Bajaj Pulsar 150 DTS- i",Bangalore,20000,black,Petrol,70000,2010,First,http://www.bikewale.com/used/bikes-in-bangalore/bajaj-Pulsar-S26/
29,"Royal Enfield Thunderbird Twinspark",Mumbai,20000,black,Petrol,85000,2008,First,http://www.bikewale.com/used/bikes-in-mumbai/royalenfield-Thunderbird-S29/
53,"Hero Karizma R",Mumbai,35000,black,Petrol,45000,2007,First,http://www.bikewale.com/used/bikes-in-mumbai/hero-karizma-S53/
64,"Bajaj Pulsar 200 NS",Bangalore,56000,blue,Petrol,40000,2007,First,http://www.bikewale.com/used/bikes-in-bangalore/bajaj-Pulsar-S64/
73,"Honda Activa Deluxe",Mumbai,69000,black,Petrol,20000,2004,First,http://www.bikewale.com/used/bikes-in-mumbai/honda-activa-S73/
74,"Yamaha FZ16 Standard",Bangalore,6200,"midnite spcl edition",Petrol,65000,2010,Second,http://www.bikewale.com/used/bikes-in-bangalore/yamaha-fz16-S74/
87,"Yamaha Fazer Standard",Mumbai,15000,black,Petrol,60000,2011,First,http://www.bikewale.com/used/bikes-in-mumbai/yamaha-fazer-S87/
98,"Yamaha YZF R15 V 2.0",Mumbai,19000,black,Petrol,62000,2010,Second,http://www.bikewale.com/used/bikes-in-mumbai/yamaha-yzfr15-S98/
102,"Hero Passion PRO Kick Alloy",Bangalore,30000,black,Petrol,30000,2008,First,http://www.bikewale.com/used/bikes-in-bangalore/hero-passionpro-S102/
103,"Hero Hunk Rear Drum Brake",Mumbai,10345,red,Petrol,54000,2009,First,http://www.bikewale.com/used/bikes-in-mumbai/hero-hunk-S103/
104,"Bajaj Avenger 220 DTS- i",Mumbai,37000,black,Petrol,42000,2003,Second,http://www.bikewale.com/used/bikes-in-mumbai/bajaj-avenger-S104/
105,"Hero Karizma R",Bangalore,15000,black,Petrol,55000,2005,First,http://www.bikewale.com/used/bikes-in-bangalore/hero-karizma-S105/
114,"Bajaj Pulsar 150 DTS- i",Mumbai,22000,red,Petrol,38000,2009,First,http://www.bikewale.com/used/bikes-in-mumbai/bajaj-Pulsar-S114/
118,"Royal Enfield Thunderbird Twinspark",Bangalore,10000,silver,Petrol,90000,2009,First,http://www.bikewale.com/used/bikes-in-bangalore/royalenfield-Thunderbird-S118/
134,"Bajaj Avenger 220 DTS- i",Bangalore,17000,blue,Petrol,65000,2010,First,http://www.bikewale.com/used/bikes-in-bangalore/bajaj-avenger-S134/
152,"Honda CB Shine Kick/Drum/Spokes",Bangalore,30000,blue,Petrol,35000,2009,Second,http://www.bikewale.com/used/bikes-in-bangalore/honda-cbshine-S152/
153,"Bajaj Discover 150",Bangalore,4500,black,Petrol,45000,2011,First,http://www.bikewale.com/used/bikes-in-bangalore/bajaj-Discover-S153/
156,"Bajaj Avenger 220 DTS- i",Bangalore,31000,blue,Petrol,50000,2006,Second,http://www.bikewale.com/used/bikes-in-bangalore/bajaj-avenger-S156/
163,"Bajaj Pulsar 180 DTS- i",Mumbai,19000,blue,Petrol,53000,2010,First,http://www.bikewale.com/used/bikes-in-mumbai/bajaj-Pulsar-S163/
183,"Honda Activa Deluxe",Bangalore,900,white,Petrol,52000,2012,First,http://www.bikewale.com/used/bikes-in-bangalore/honda-activa-S183/
