ID,Title,UsedPrice,NewPrice,Author,ISBN10,ISBN13,Publisher,Publication_Date,Pages,Dimensions
HC0001,The Hunger Games(Hunger Games (Quality)),$4.98,$11.02,Suzanne Collins,0439023521,9780439023528,Scholastic Press,"Jul. 3rd, 2010",374,5.30 x 8.00 x 0.90 inches
HC0002,The Giver(Readers Circle (Laurel-Leaf)),$3.98,,Lois Lowry,0440237688,9780440237686,Laurel Leaf Library,"Sep. 10th, 2002",192,4.10 x 6.80 x 0.60 inches
HC0003,Looking for Alaska,$3.98,$9.99,John Green,0142402516,9780142402511,Speak,"Jan. 1st, 2007",221,5.62 x 8.20 x 0.73 inches
HC0004,Divergent(Divergent Trilogy (Paperback)),$6.98,,Veronica Roth,0062024035,9780062024039,Katherine Tegen Books,"Feb. 28th, 2012",576,5.20 x 7.80 x 1.50 inches
HC0005,Holes,$3.98,$9.16,Louis Sachar,0440414806,9780440414803,Yearling Books,"May. 9th, 2000",240,5.31 x 7.65 x 0.69 inches
HC0006,The Book Thief,$5.79,$10.73,Markus Zusak,0375842209,9780375842207,Alfred A. Knopf Books for Young Readers,"Sep. 11th, 2007",552,5.10 x 7.90 x 1.30 inches
HC0007,The Lightning Thief(Percy Jackson & the Olympians (Paperback)),$5.79,$9.27,Rick Riordan,0786838655,9780786838653,Miramax Books,"Mar. 1st, 2006",377,5.20 x 7.60 x 1.00 inches
HC0008,The 7 Habits of Highly Effective Teens Workbook,$3.98,$6.74,Sean Covey,1929494173,9781929494170,Franklin Covey,"Dec. 5th, 1999",377,5.48 x 8.47 x 0.23 inches
HC0009,The Absolutely True Diary of a Part-Time Indian,$8.98,,Sherman Alexie,0316013692,9780316013697,"Little, Brown Young Readers","Apr. 1st, 2009",229,5.40 x 8.20 x 0.70 inches
HC0010,The Maze Runner(Maze Runner Trilogy (Paperback)),$5.79,$10.06,James Dashner,0385737955,9780385737951,Delacorte Press Books for Young Readers,"Aug. 24th, 2010",375,5.30 x 8.50 x 0.84 inches
HC0011,Tangerine,$3.98,$9.89,Edward Bloor,0152057803,9780152057800,Harcourt Paperbacks,"Sep. 1st, 2006",312,5.20 x 7.40 x 0.70 inches
HC0012,The Boy in the Striped Pajamas,$3.98,$9.95,John Boyne,0385751532,9780385751537,Ember,"Oct. 23rd, 2007",240,5.20 x 7.90 x 0.60 inches
HC0013,Catching Fire(Hunger Games (Quality)),$3.98,$6.12,Suzanne Collins,1594135851,9781594135859,Large Print Press,"Apr. 20th, 2012",497,5.60 x 8.40 x 1.00 inches
HC0014,Hatchet,$3.98,$9.26,Gary Paulsen,1416936475,9781416936473,Simon & Schuster Books for Young Readers,"Jan. 1st, 2007",186,4.83 x 8.08 x 0.53 inches
HC0015,Esperanza Rising,$3.98,$8.26,Pam Munoz Ryan,043912042X,9780439120425,Scholastic,"May. 1st, 2002",262,5.30 x 7.50 x 0.70 inches
HC0016,Drama,$4.98,$13.07,Raina Telgemeier,0545326990,9780545326995,Graphix,"Sep. 1st, 2012",240,
HC0017,Ender's Game(Ender Wiggin Saga (Paperback)),$3.98,,Orson Scott Card,0765342294,9780765342294,Starscape Books,"Feb. 18th, 2002",324,5.34 x 7.60 x 0.92 inches
HC0018,Out of My Mind,$5.79,$9.72,Sharon M. Draper,1416971718,9781416971719,Atheneum Books for Young Readers,"May. 1st, 2012",295,5.10 x 7.50 x 1.00 inches
HC0019,The Hobbit,$6.48,$12.89,J. R. R. Tolkien,054792822X,9780547928227,Mariner Books,"Sep. 18th, 2012",320,5.50 x 8.25 x 0.63 inches
HC0020,Matched(Matched Trilogy),$6.48,$10.25,Ally Condie,014241977X,9780142419779,Speak,"Sep. 20th, 2011",400,5.50 x 8.10 x 1.00 inches
HC0021,Harry Potter and the Sorcerer's Stone(Harry Potter (Paperback)),$5.79,$10.97,J. K. Rowling,059035342X,9780590353427,Arthur A. Levine Books,"Oct. 1st, 1999",312,5.20 x 7.50 x 0.80 inches
HC0022,Speak,$7.45,$10.58,Laurie Halse Anderson,0312674392,9780312674397,Square Fish,"May. 10th, 2011",197,5.56 x 8.24 x 0.60 inches
HC0023,The Phantom Tollbooth,$5.79,$9.16,Norton Juster,0394820371,9780394820378,Random House (NY),"Oct. 12th, 1988",272,5.37 x 7.63 x 0.67 inches
HC0024,A Long Walk to Water,$8.73,$9.26,Linda Sue Park,0547577311,9780547577319,Houghton Mifflin Harcourt (HMH),"Oct. 4th, 2011",121,5.00 x 7.60 x 0.50 inches
HC0025,Paper Towns,$3.98,$10.00,John Green,014241493X,9780142414934,Speak,"Sep. 22nd, 2009",305,5.58 x 8.12 x 0.84 inches
HC0026,"Bud, Not Buddy",$5.48,$7.90,Christopher Paul Curtis,0440413281,9780440413288,Yearling Books,"Jan. 8th, 2002",256,5.20 x 7.70 x 0.60 inches
HC0027,A Wrinkle in Time(Madeleine L'Engle's Time Quintet),$5.79,$8.57,Madeleine L'Engle,0312367546,9780312367541,Square Fish,"May. 1st, 2007",245,5.10 x 7.60 x 0.70 inches
HC0028,Th1rteen R3asons Why,$4.48,$10.66,Jay Asher,159514188X,9781595141880,Razorbill,"Jun. 14th, 2011",288,5.46 x 8.22 x 0.92 inches
HC0029,City of Bones(Mortal Instruments (Paperback)),$5.79,,Cassandra Clare,1416955070,9781416955078,Margaret K. McElderry Books,"Mar. 1st, 2008",485,5.49 x 8.28 x 1.35 inches
HC0030,Uglies(Uglies Trilogy),$5.79,,Scott Westerfeld,0689865384,9780689865381,Simon Pulse,"Feb. 28th, 2005",448,5.12 x 6.90 x 1.17 inches
HC0031,Webster's Thesaurus for Students,$3.98,$6.51,Inc. Merriam-Webster,1596950943,9781596950948,Federal Street Press,"May. 1st, 2010",335,5.22 x 7.61 x 0.91 inches
HC0032,Beautiful Creatures(Beautiful Creatures),$3.98,$7.89,Kami Garcia,0316231657,9780316231657,"Little, Brown Books for Young Readers","Nov. 20th, 2012",576,
HC0033,Island of the Blue Dolphins,$3.98,$5.79,Scott O'Dell,0440439884,9780440439882,Yearling Books,"Feb. 28th, 1987",192,5.16 x 7.65 x 0.91 inches
HC0034,"The Heroes of Olympus, The, Book One(Heroes of Olympus (Paperback))",$3.98,$6.88,Rick Riordan,1423113462,9781423113461,Hyperion Books,"Apr. 3rd, 2012",576,5.32 x 7.69 x 1.34 inches
HC0035,The 7 Habits of Highly Effective Teens,$8.98,,Sean Covey,0684856093,9780684856094,Fireside Books,"Oct. 9th, 1998",288,6.10 x 9.10 x 0.60 inches
HC0036,Freak the Mighty,$5.79,$8.25,Rodman Philbrick,0439286069,9780439286060,Scholastic Paperbacks,"Jun. 1st, 2001",176,5.20 x 7.40 x 0.60 inches
HC0037,Mockingjay(Hunger Games (Quality)),$5.79,,Suzanne Collins,159413586X,9781594135866,Large Print Press,"Apr. 20th, 2012",501,5.60 x 8.30 x 1.20 inches
HC0038,The Mysterious Benedict Society(Mysterious Benedict Society (Paperback)),$5.98,$10.18,Trenton Lee Stewart,0316003956,9780316003957,"Little, Brown Young Readers","Apr. 1st, 2008",512,5.33 x 7.59 x 1.34 inches
HC0039,A Wrinkle in Time Trilogy,$9.30,$18.52,Madeleine L'Engle,1250003431,9781250003430,Square Fish,"Oct. 16th, 2012",800,
HC0040,The Little Prince,$3.98,$11.32,Antoine de Saint-Exupery,0156012197,9780156012195,Harvest Books,"Jun. 29th, 2000",96,5.36 x 7.96 x 0.26 inches
HC0041,The Watsons Go to Birmingham - 1963,$3.98,$9.14,Christopher Paul Curtis,044022800X,9780440228004,Laurel Leaf Library,"Dec. 12th, 2000",224,4.24 x 6.96 x 0.63 inches
HC0042,An Abundance of Katherines,$3.98,$9.89,John Green,0142410705,9780142410707,Puffin Books,"Oct. 16th, 2008",227,5.60 x 8.20 x 0.72 inches
HC0043,Maniac Magee,$3.98,$9.15,Jerry Spinelli,0316809063,9780316809061,"Little, Brown Young Readers","Nov. 1st, 1999",192,5.00 x 7.20 x 0.60 inches
HC0044,The Sea of Monsters(Percy Jackson & the Olympians (Paperback)),$5.48,$9.26,Rick Riordan,1423103343,9781423103349,Miramax Books,"Mar. 20th, 2007",279,5.30 x 7.54 x 0.76 inches
HC0045,The Sign of the Beaver,$3.98,,Elizabeth George Speare,0440479002,9780440479000,Yearling Books,"Jul. 1st, 1984",144,5.10 x 7.40 x 0.40 inches
HC0046,Speak,$7.48,,Laurie Halse Anderson,0142407321,9780142407325,Puffin Books,"Apr. 20th, 2006",197,5.70 x 8.10 x 0.60 inches
HC0047,The Beautiful Creatures Paperback Set(Beautiful Creatures),$21.19,$161.44,Kami Garcia,0316243760,9780316243766,"Little, Brown Books for Young Readers","Oct. 23rd, 2012",1696,
HC0048,Smile,$3.98,$11.38,Raina Telgemeier,0545132061,9780545132060,Graphix,"Feb. 1st, 2010",213,5.52 x 8.00 x 0.74 inches
HC0049,Unwind,$5.79,$12.03,Neal Shusterman,1416912053,9781416912057,Simon & Schuster Books for Young Readers,"Jun. 2nd, 2009",335,5.48 x 8.28 x 0.94 inches
