ID,title,booktitle,author,pages,year,organization,ENTRYTYPE,publisher,journal,number,volume
1,An interactive clustering-based approach to integrating source query interfaces on the deep web,Proceedings of the 2004 ACM SIGMOD international conference on Management of data,"Wu, Wensheng and Yu, Clement and Doan, AnHai and Meng, Weiyi",95--106,2004,ACM,inproceedings,,,,
2,Abstraction for Decision-Theoretic Planning,,"Doan, AnHai and Haddawy, Peter",,1995,,book,unpublished,,,
3,Introduction to the special issue on managing information extraction,,"Doan, AnHai and Gravano, Luis and Ramakrishnan, Raghu and Vaithyanathan, Shivakumar",5,2008,,article,,ACM Sigmod Record,4,37
4,"Building structured web community portals: A top-down, compositional, and incremental approach",Proceedings of the 33rd international conference on Very large data bases,"DeRose, Pedro and Shen, Warren and Chen, Fei and Doan, AnHai and Ramakrishnan, Raghu",399--410,2007,VLDB Endowment,inproceedings,,,,
5,Principles of data integration,,"Doan, AnHai and Halevy, Alon and Ives, Zachary",,2012,,book,Elsevier,,,
6,Webiq: Learning from the web to match deep-web query interfaces,"Data Engineering, 2006. ICDE'06. Proceedings of the 22nd International Conference on","Wu, Wensheng and Doan, AnHai and Yu, Clement",44--44,2006,IEEE,inproceedings,,,,
7,The Claremont report on database research,,"Agrawal, Rakesh and Ailamaki, Anastasia and Bernstein, Philip A and Brewer, Eric A and Carey, Michael J and Chaudhuri, Surajit and Doan, Anhai and Florescu, Daniela and Franklin, Michael J and Garcia-Molina, Hector and others",56--65,2009,,article,ACM,Communications of the ACM,6,52
8,Corpus-based schema matching,"Data Engineering, 2005. ICDE 2005. Proceedings. 21st International Conference on","Madhavan, Jayant and Bernstein, Philip and Doan, AnHai and Halevy, Alon and others",57--68,2005,IEEE,inproceedings,,,,
9,Combining keyword search and forms for ad hoc querying of databases,Proceedings of the 2009 ACM SIGMOD International Conference on Management of data,"Chu, Eric and Baid, Akanksha and Chai, Xiaoyong and Doan, AnHai and Naughton, Jeffrey",349--360,2009,ACM,inproceedings,,,,
10,Semantic integration,,"Noy, Natalya F and Doan, AnHai and Halevy, Alon Y",7,2005,,article,,AI Magazine,1,26
11,Mining for Information Discovery on the Web: Overview and Illustrative Research,Intelligent Technologies for Information Analysis,"Yu, Hwanjo and Doan, AnHai and Han, Jiawei",135--168,2004,,incollection,Springer Berlin Heidelberg,,,
12,Optimizing complex extraction programs over evolving text data,Proceedings of the 2009 ACM SIGMOD International Conference on Management of data,"Chen, Fei and Gao, Byron J and Doan, AnHai and Yang, Jun and Ramakrishnan, Raghu",321--334,2009,ACM,inproceedings,,,,
13,"Entity extraction, linking, classification, and tagging for social media: a wikipedia-based approach",,"Gattani, Abhishek and Lamba, Digvijay S and Garera, Nikesh and Tiwari, Mitul and Chai, Xiaoyong and Das, Sanjib and Subramaniam, Sri and Rajaraman, Anand and Harinarayan, Venky and Doan, AnHai",1126--1137,2013,,article,VLDB Endowment,Proceedings of the VLDB Endowment,11,6
14,Efficient information extraction over evolving text data,"Data Engineering, 2008. ICDE 2008. IEEE 24th International Conference on","Chen, Fei and Doan, AnHai and Yang, Jun and Ramakrishnan, Raghu",943--952,2008,IEEE,inproceedings,,,,
15,Building data integration systems via mass collaboration,,"McCann, Robert and Doan, AnHai and Varadarajan, Vanitha and Kramnik, Alexander",,2003,,article,,"Intl. Workshop on the Web and Databases, USA",,
16,The beckman report on database research,,"Abadi, Daniel and Agrawal, Rakesh and Ailamaki, Anastasia and Balazinska, Magdalena and Bernstein, Philip A and Carey, Michael J and Chaudhuri, Surajit and Dean, Jeffrey and Doan, AnHai and Franklin, Michael J and others",61--70,2014,,article,ACM,ACM SIGMOD Record,3,43
17,Source-aware entity matching: a compositional approach,"Data Engineering, 2007. ICDE 2007. IEEE 23rd International Conference on","Shen, Wei and DeRose, Pedro and Vu, Long and Doan, AnHai and Ramakrishnan, Raghu",196--205,2007,IEEE,inproceedings,,,,
18,Ontology matching: A machine learning approach,Handbook on ontologies,"Doan, AnHai and Madhavan, Jayant and Domingos, Pedro and Halevy, Alon",385--403,2004,,incollection,Springer Berlin Heidelberg,,,
19,Modeling Probabilistic Actions for Practical Decision-Theoretic Planning.,AIPS,"Doan, AnHai",62--69,1996,,inproceedings,,,,
20,Privacy-preserving data integration and sharing,Proceedings of the 9th ACM SIGMOD workshop on Research issues in data mining and knowledge discovery,"Clifton, Chris and Kantarcioǧlu, Murat and Doan, AnHai and Schadow, Gunther and Vaidya, Jaideep and Elmagarmid, Ahmed and Suciu, Dan",19--26,2004,ACM,inproceedings,,,,
21,Mapping maintenance for data integration systems,Proceedings of the 31st international conference on Very large data bases,"McCann, Robert and AlShebli, Bedoor and Le, Quoc and Nguyen, Hoa and Vu, Long and Doan, AnHai",1018--1029,2005,VLDB Endowment,inproceedings,,,,
22,Semantic integration workshop at the second international semantic web conference (ISWC-2003),,"Doan, AnHai and Halevy, Alon Y and Noy, Natalya F",109,2004,,article,,AI Magazine,1,25
23,Social Media Analytics: The Kosmix Story.,,"Chai, Xiaoyong and Deshpande, Omkar and Garera, Nikesh and Gattani, Abhishek and Lam, Wang and Lamba, Digvijay S and Liu, Lu and Tiwari, Mitul and Tourn, Michel and Vacheri, Zoheb and others",4--12,2013,,article,,IEEE Data Eng. Bull.,3,36
24,Toward industrial-strength keyword search systems over relational data,"Data Engineering (ICDE), 2010 IEEE 26th International Conference on","Baid, Akash and Rae, Ian and Doan, AnHai and Naughton, Jeffrey F",717--720,2010,IEEE,inproceedings,,,,
