ID,publisher,isbn,title,series,author,year,ENTRYTYPE,journal,number,volume,link,pages,booktitle,crossref
1,Prentice Hall,978-0-7248-0301-9,Data abstraction and program development using Pascal,Prentice Hall advances in computer science series,Reinhold F. Hille,1988,book,,,,,,,
2,,,"Using Global Optimization for a Microparticle Identification Problem
with Noisy Data",,"Mike C. Bartholomew{-}Biggs and
Z. J. Ulanowski and
S. Zakovic",2005,article,J. Global Optimization,3,32,http://dx.doi.org/10.1007/s10898-004-1943-0,325--347,,
3,,,Samuel's Checkers Player,,,2010,incollection,,,,http://dx.doi.org/10.1007/978-0-387-30164-8_740,881,Encyclopedia of Machine Learning,DBLP:reference/ml/2010
4,,,Hyperlinks as a data source for science mapping,,"Gareth Harries and David Wilkinson and Liz Price and Ruth Fairclough and Mike Thelwall",2004,article,J. Information Science,5,30,http://dx.doi.org/10.1177/0165551504046736,436--447,,
5,,,Improving rule processing in Postgres database management system,,Kejongsok Kim,1991,inproceedings,,,,http://doi.acm.org/10.1145/327164.328644,506--514,"Proceedings of the 19th annual conference on Computer Science, {CSC}
'91, San Antonio, Texas, USA, March 4-7, 1991",DBLP:conf/acm/1991
6,,,VisBench: {A} Framework for Remote Data Visualization and Analysis,,"Randy W. Heiland and
M. Pauline Baker and Danesh K. Tafti",2001,inproceedings,,,,http:// dx.doi.org/10.1007/3-540-45718-6_77,718--727,"Computational Science - {ICCS} 2001, International Conference, San
Francisco, CA, USA, May 28-30, 2001. Proceedings, Part {II}",DBLP:conf/iccS/2001-2
7,,,The life sciences Global Image Database {(GID)},,"Eduardo Gonzalez{-}Couto and
Brian Hayes and Anne Danckaert",2001,article,Nucleic Acids Research,1,29,http://dx.doi.org/10.1093/nar/29.1.336,336--339,,
8,,,Quality Threshold Clustering,,"Xin Jin and Jiawei Han",2010,incollection,,,,http://dx.doi.org/10.1007/978-0-387-30164-8_686,820,Encyclopedia of Machine Learning,DBLP:reference/ml/2010
9,,,"CoGenT++: an extensive and extensible data environment for computational genomics",,"Leon Goldovsky and Paul Janssen and Dag G. Ahr{\'{e}}n and Benjamin Audit and Ildefonso Cases and Nikos Darzentas and Anton J. Enright and N{\'{u}}ria L{\'{o}}pez{-}Bigas and Jos{\'{e}} M. Peregr{\'{\i}}n{-}Alvarez and Mike Smith and Sophia Tsoka and Victor Kunin and
Christos A. Ouzounis",2005,article,Bioinformatics,19,21,http://dx.doi.org/10.1093/bioinformatics/bti579,3806--3810,,
10,Prentice Hall,978-0-13-327099-0,Foundations of semantic databases,Prentice Hall international series in computer science,Bert O. de Brock,1995,book,,,,,,,
11,,,"Using Artificial Intelligence Planning to Automate Science Data Analysis for Large Image Databases",,"Steve A. Chien and Forest Fisher and Helen Mortensen and Edisanter Lo and Ronald Greeley",1997,inproceedings,,,,http://www.aaai.org/Library/KDD/1997/kdd97-026.php,147--150,"Proceedings of the Third International Conference on Knowledge Discovery
and Data Mining (KDD-97), Newport Beach, California, USA, August 14-17, 1997",DBLP:conf/kdd/1997
12,Springer,3-540-25334-3,"Database Systems for Advanced Applications, 10th International Conference, {DASFAA} 2005, Beijing, China, April 17-20, 2005, Proceedings",Lecture Notes in Computer Science,,2005,proceedings,,,3453,,,,
13,,,"Games and machine learning: a powerful combination in an artificial intelligence course",,"Scott A. Wallace and
Robert McCartney and Ingrid Russell",2010,article,Computer Science Education,1,20,http://dx.doi.org/10.1080/08993400903525099,17--36,,
14,,,"Variability of Molecular Descriptors in Compound Databases Revealed by Shannon Entropy Calculations",,"Jeffrey W. Godden and Florence L. Stahura and J{\""{u}}rgen Bajorath",2000,article,Journal of Chemical Information and Computer Sciences,3,40,http://dx.doi.org/10.1021/ci000321u,796--800,,
15,,,A Framework for the Evaluation of Chemical Structure Databases,,"Frank Cooke and
Helen Schofield",2001,article,Journal of Chemical Information and Computer Sciences,5,41,http://dx.doi.org/10.1021/ci010360l,1131--1140,,
16,,,Ontology-based exchange of product data semantics,,"Lalit Patil and
Debasish Dutta and Ram D. Sriram",2005,article,{IEEE} T. Automation Science and Engineering,3,2,http://dx.doi.org/10.1109/TASE.2005.849087,213--225,,
17,,,"e-Science Experiences: Software Engineering Practice and the {EU} DataGrid",,"Lee Momtahan and Andrew Martin",2002,inproceedings,,,,http://dx.doi.org/10.1109/APSEC.2002.1182996,269--275,"9th Asia-Pacific Software Engineering Conference {(APSEC} 2002), 4-6 December 2002, Gold Coast, Queensland, Australia",DBLP:conf/apsec/2002
18,,,Fast-Ensembles of Minimum Redundancy Feature Selection,,"Benjamin Schowe and
Katharina Morik",2011,incollection,,,,http://dx.doi.org/10.1007/978-3-642-22910-7_5,75--95,Ensembles in Machine Learning Applications,DBLP:series/sci/2011-373
19,,,"Design and Implementation of a Context-Aware Guide Application for Mobile Users Based on Machine Learning",,"Yuichi Omori and Yuki Nonaka and Mikio Hasegawa",2010,inproceedings,,,,http://dx.doi.org/10.1007/978-3-642-15384-6_29,271--279,"Knowledge-Based and Intelligent Information and Engineering Systems
- 14th International Conference, {KES} 2010, Cardiff, UK, September 8-10, 2010, Proceedings, Part {IV}",DBLP:conf/kes/2010-4
