Product_id,Description,Price,Color
1,NARS light reflecting pressed setting powder,$36.00,Translucent Crystal
2,Herbivore coco rose coconut oil lip polish,$18.00,
3,Anastasia Beverly Hills brow gel,$22.00,Clear
4,Benefit Cosmetics theyre real push up liner,$24.00,Beyond Blue
5,Benefit Cosmetics theyre real push up liner,$24.00,Beyond Brown
6,Benefit Cosmetics theyre real push up liner,$24.00,Beyond Green
7,Benefit Cosmetics theyre real push up liner,$24.00,Beyond Purple
8,Benefit Cosmetics theyre real push up liner,$24.00,Black
9,Estee Lauder pure color envy sculpting eyeshadow 5 color palette,$50.00,YNC4--06
10,Estee Lauder pure color envy sculpting eyeshadow 5 color palette,$50.00,YNC4-01
11,Estee Lauder pure color envy sculpting eyeshadow 5 color palette,$50.00,YNC4-05
12,Estee Lauder pure color envy sculpting eyeshadow 5 color palette,$50.00,YNC4-07
13,Estee Lauder pure color envy sculpting eyeshadow 5 color palette,$50.00,YNC4-09
14,Estee Lauder pure color envy sculpting eyeshadow 5 color palette,$50.00,YNC4-10
15,Tata Harper volumizing lip cheek tint,$35.00,Very Charming
16,Tata Harper volumizing lip cheek tint,$35.00,Very Sweet
17,Tata Harper volumizing lip cheek tint,$35.00,Very Vivacious
18,Yves Saint Laurent baby doll kiss blush lips cheeks,$40.00,01 Fuchsia Desinvolte
19,Yves Saint Laurent baby doll kiss blush lips cheeks,$40.00,02 Rose Frivole
20,Yves Saint Laurent baby doll kiss blush lips cheeks,$40.00,03 Rose Libre
21,Yves Saint Laurent baby doll kiss blush lips cheeks,$40.00,04 Orange Fougueux
22,Yves Saint Laurent baby doll kiss blush lips cheeks,$40.00,05 Rouge Effrontee
23,Yves Saint Laurent baby doll kiss blush lips cheeks,$40.00,06 Rouge Libertine
24,Yves Saint Laurent baby doll kiss blush lips cheeks,$40.00,07 Corail Affranchi
25,Yves Saint Laurent baby doll kiss blush lips cheeks,$40.00,08 Pink Hedoniste
26,Yves Saint Laurent baby doll kiss blush lips cheeks,$40.00,09 Rose Epicurien
27,Yves Saint Laurent baby doll kiss blush lips cheeks,$40.00,10 Nude Insolent
28,Yves Saint Laurent baby doll kiss blush lips cheeks,$40.00,11 Prune Impertinente
29,Yves Saint Laurent baby doll kiss blush lips cheeks,$40.00,12 Mocha Garconne
30,SEPHORA COLLECTION express cleansing wipes to go,$4.00,
31,Guerlain rouge automatique hydrating and long lasting lipstick,$37.00,Bal de Mai 160
32,Guerlain rouge automatique hydrating and long lasting lipstick,$37.00,Champs Elysees 165
33,Guerlain rouge automatique hydrating and long lasting lipstick,$37.00,Coque D'Or 120
34,Guerlain rouge automatique hydrating and long lasting lipstick,$37.00,Fleur de Feu 142
35,Guerlain rouge automatique hydrating and long lasting lipstick,$37.00,Nahema 143
36,Guerlain rouge automatique hydrating and long lasting lipstick,$37.00,Pink Fluo 662
37,Guerlain rouge automatique hydrating and long lasting lipstick,$37.00,Rouge D'Enfer 121
38,Hourglass film noir full spectrum mascara,$28.00,Onyx
39,Shiseido veiled rouge,$25.00,BE301 Carrera
40,Shiseido veiled rouge,$25.00,OR303 Orangerie
41,Shiseido veiled rouge,$25.00,PK304 Skyglow
42,Shiseido veiled rouge,$25.00,PK405 Pomegrante
43,Shiseido veiled rouge,$25.00,RD302 Rosalie
44,Shiseido veiled rouge,$25.00,RD506 Carnevale
45,Shiseido veiled rouge,$25.00,RD707 Mischief
46,Shiseido veiled rouge,$25.00,RS308 Sloe
47,Bite Beauty best bite rewind,$25.00,
48,MAKE UP FOR EVER nude artist palette,$42.00,Nudes You Need
49,Dior rouge dior couture colour voluptuous care lipstick,$35.00,Nouvelle Femme 542
50,Dior rouge dior couture colour voluptuous care lipstick,$35.00,Unique 956
51,Kat Von D lock it featherweight primer,$32.00,
52,Dior star concealer,$36.00,001 Ivory
53,Dior star concealer,$36.00,002 Beige
54,Dior star concealer,$36.00,003 Sand
55,Dior star concealer,$36.00,004 Honey
56,Dior star concealer,$36.00,005 Mocha
57,Algenist pore corrector anti aging primer,$42.00,
58,Givenchy phenonen eyes mascara,$31.00,Deep Black 
59,Givenchy phenonen eyes mascara,$31.00,Deep Brown 
60,Ciat_ London bamboo bronzer longwear bronzing powder,$28.00,Palm Island
61,Ciat_ London bamboo bronzer longwear bronzing powder,$28.00,Star Island
62,Dolce & Gabbana seductive lips set,$70.00,
63,MAKE UP FOR EVER aqua liner,$23.00,1 Diamond Gold
64,MAKE UP FOR EVER aqua liner,$23.00,10 Iridescent Red
65,MAKE UP FOR EVER aqua liner,$23.00,11 Diamond Burgundy
66,MAKE UP FOR EVER aqua liner,$23.00,12 Mat Mocha
67,MAKE UP FOR EVER aqua liner,$23.00,13 Mat Black
68,MAKE UP FOR EVER aqua liner,$23.00,14 Diamond Multicolor Black
69,MAKE UP FOR EVER aqua liner,$23.00,15 Iridescent Anthracite
70,MAKE UP FOR EVER aqua liner,$23.00,16 Diamond White
71,MAKE UP FOR EVER aqua liner,$23.00,17 Diamond Grey
72,MAKE UP FOR EVER aqua liner,$23.00,18 Diamond Blue
73,MAKE UP FOR EVER aqua liner,$23.00,19 Diamond Pearly Pink
74,MAKE UP FOR EVER aqua liner,$23.00,3 Iridescent Emerald Green
75,MAKE UP FOR EVER aqua liner,$23.00,4 Diamond Lagoon Green
76,MAKE UP FOR EVER aqua liner,$23.00,5 Diamond Turquoise Blue
77,MAKE UP FOR EVER aqua liner,$23.00,6 Iridescent Navy Blue
78,MAKE UP FOR EVER aqua liner,$23.00,7 Diamond Black Purple
79,MAKE UP FOR EVER aqua liner,$23.00,8 Iridescent Electric Purple
80,MAKE UP FOR EVER aqua liner,$23.00,9 Iridescent Fuchsia
81,Algenist repairing tint radiance moisturizer spf 30,$42.00,Light
82,Algenist repairing tint radiance moisturizer spf 30,$42.00,Light/Medium
83,Algenist repairing tint radiance moisturizer spf 30,$42.00,Medium
84,Algenist repairing tint radiance moisturizer spf 30,$42.00,Tan
85,SEPHORA COLLECTION hakuho do sephora pro angled concealer brush kusuriyubi,$30.00,
86,SEPHORA COLLECTION pro full coverage airbrush 53xl,$45.00,
87,Bobbi Brown long wear cream shadow,$26.00,Ballet Pink
88,Bobbi Brown long wear cream shadow,$26.00,Beach Bronze
89,Bobbi Brown long wear cream shadow,$26.00,Bone
90,Bobbi Brown long wear cream shadow,$26.00,Cool Lilac
91,Bobbi Brown long wear cream shadow,$26.00,Galaxy
92,Bobbi Brown long wear cream shadow,$26.00,Heather
93,Bobbi Brown long wear cream shadow,$26.00,Sandy Gold
94,Bobbi Brown long wear cream shadow,$26.00,Shore
95,Bobbi Brown long wear cream shadow,$26.00,Stone
96,Givenchy le rouge porter whipped lipstick,$36.00,101 Nude Ultime
97,Givenchy le rouge porter whipped lipstick,$36.00,102 Beige Mousseline
98,Givenchy le rouge porter whipped lipstick,$36.00,103 Beige Plumetis
99,Givenchy le rouge porter whipped lipstick,$36.00,104 Beige Floral
100,Givenchy le rouge porter whipped lipstick,$36.00,105 Brun Vintage
101,Givenchy le rouge porter whipped lipstick,$36.00,106 Parme Silhouette
102,Givenchy le rouge porter whipped lipstick,$36.00,201 Rose Aristocrate
103,Givenchy le rouge porter whipped lipstick,$36.00,202 Rose Fantaisie
104,Givenchy le rouge porter whipped lipstick,$36.00,203 Rose Avant-Garde
105,Givenchy le rouge porter whipped lipstick,$36.00,204 Rose Perfecto
106,Givenchy le rouge porter whipped lipstick,$36.00,205 Violine Inspritation
107,Givenchy le rouge porter whipped lipstick,$36.00,206 Corail Decollet&#192;
108,Givenchy le rouge porter whipped lipstick,$36.00,301 Vermillion Creation
109,Givenchy le rouge porter whipped lipstick,$36.00,302 Rouge Atelier
110,Givenchy le rouge porter whipped lipstick,$36.00,303 Framboise Griff&#192;e
111,Givenchy le rouge porter whipped lipstick,$36.00,304 Moka Imprim&#233;
112,Smashbox step by step contour kit,$45.00,Light/Medium
113,Smashbox step by step contour kit,$45.00,Medium/Dark
114,COVER FX custom blending brush,$40.00,
115,Touch In Sol one second vivid lip crayon,$16.00,1 Hot Chili 
116,Touch In Sol one second vivid lip crayon,$16.00,2 Wild Tangerine 
117,Touch In Sol one second vivid lip crayon,$16.00,4 Tulip Pink 
118,Touch In Sol one second vivid lip crayon,$16.00,5 Yellow Bird 
119,philosophy instant miracle worker line erasing blur stick,$32.00,
120,bareMinerals flawless definition curl lengthen mascara,$18.00,Black
121,Lancome la base pro perfecting makeup primer,$42.00,
122,MAKE UP FOR EVER 130 large powder brush,$55.00,
123,Yves Saint Laurent dessin du regard waterproof long lasting waterproof eye pencil,$30.00,1 Black Ink
124,Yves Saint Laurent dessin du regard waterproof long lasting waterproof eye pencil,$30.00,10 Violet Massa
125,Yves Saint Laurent dessin du regard waterproof long lasting waterproof eye pencil,$30.00,11 Pourpre Intense
126,Yves Saint Laurent dessin du regard waterproof long lasting waterproof eye pencil,$30.00,12 Bleu Lumiere
127,Yves Saint Laurent dessin du regard waterproof long lasting waterproof eye pencil,$30.00,13  Bleu Egee
128,Yves Saint Laurent dessin du regard waterproof long lasting waterproof eye pencil,$30.00,2 Patent Leather
129,Yves Saint Laurent dessin du regard waterproof long lasting waterproof eye pencil,$30.00,5 Shimmering Burgundy
130,Yves Saint Laurent dessin du regard waterproof long lasting waterproof eye pencil,$30.00,6 Amazon Green
131,Lancome hypnose custom volume mascara,$27.50,Black
132,Lancome hypnose custom volume mascara,$27.50,Brown
133,Ciat_ London cooling shadow slick tm eyeshadow primer,$16.00,Daquiri
134,Ciat_ London cooling shadow slick tm eyeshadow primer,$16.00,Frozen
135,Ciat_ London cooling shadow slick tm eyeshadow primer,$16.00,Ice Box
136,Ciat_ London cooling shadow slick tm eyeshadow primer,$16.00,Popsicle
137,Ciat_ London cooling shadow slick tm eyeshadow primer,$16.00,Ski Bunny
138,Ciat_ London cooling shadow slick tm eyeshadow primer,$16.00,Snow Cone
139,Touch In Sol mini magic mascara duo set,$15.00,Black
140,bareMinerals bareminerals correcting concealer broad spectrum spf 20,$20.00,Dark 2
141,bareMinerals bareminerals correcting concealer broad spectrum spf 20,$20.00,Deep 2
142,bareMinerals bareminerals correcting concealer broad spectrum spf 20,$20.00,Light 1
143,bareMinerals bareminerals correcting concealer broad spectrum spf 20,$20.00,Light 2
144,bareMinerals bareminerals correcting concealer broad spectrum spf 20,$20.00,Medium 1
145,bareMinerals bareminerals correcting concealer broad spectrum spf 20,$20.00,Medium 2
146,bareMinerals bareminerals correcting concealer broad spectrum spf 20,$20.00,Tan 1
147,bareMinerals bareminerals correcting concealer broad spectrum spf 20,$20.00,Tan 2
148,tarte picture perfect duo,$18.00,Picture Perfect Duo
149,SEPHORA COLLECTION pro angled liner brush 22,$16.00,
150,CLINIQUE blushwear cream stick,$22.00,Rosy Blush
151,CLINIQUE blushwear cream stick,$22.00,Shy Blush
152,Buxom buxom full bodied lip gloss,$19.00,Dolly
153,Buxom buxom full bodied lip gloss,$19.00,Hello Lover
154,Buxom buxom full bodied lip gloss,$19.00,Hey Baby
155,Buxom buxom full bodied lip gloss,$19.00,Hot Mama
156,Buxom buxom full bodied lip gloss,$19.00,MWAH
157,Buxom buxom full bodied lip gloss,$19.00,OH LA LA
158,Buxom buxom full bodied lip gloss,$19.00,OMG
159,Buxom buxom full bodied lip gloss,$19.00,Sweet Thing
160,Buxom buxom full bodied lip gloss,$19.00,Va Va Voom
161,Buxom buxom full bodied lip gloss,$19.00,YOW
162,Buxom buxom full bodied lip gloss,$19.00,Yes You
163,Bobbi Brown blush brush,$54.00,
164,SEPHORA COLLECTION pro small stippling brush 42,$32.00,
165,SEPHORA COLLECTION express cleansing wipes,$9.00,10  Express Cleansing Wipes 
166,SEPHORA COLLECTION express cleansing wipes,$9.00,20  Express Cleansing & Exfoliating Wipes 
167,SEPHORA COLLECTION express cleansing wipes,$9.00,20  Express Cleansing & Purifying Wipes
168,SEPHORA COLLECTION express cleansing wipes,$9.00,25  Express Cleansing Wipes
169,bareMinerals tapered shadow brush,$14.00,
170,Dr. Jart+ bb bounce beauty balm,$48.00,01 Light-Medium
171,Dr. Jart+ bb bounce beauty balm,$48.00,02 Medium-Dark
172,Blinc eyebrow mousse,$24.00,Auburn
173,Blinc eyebrow mousse,$24.00,Black
174,Blinc eyebrow mousse,$24.00,Clear
175,Blinc eyebrow mousse,$24.00,Dark Blonde
176,Blinc eyebrow mousse,$24.00,Dark Brunette
177,Blinc eyebrow mousse,$24.00,Grey
178,Blinc eyebrow mousse,$24.00,Light Blonde
179,Blinc eyebrow mousse,$24.00,Light Brunette
180,Blinc eyebrow mousse,$24.00,Medium Blonde
181,SEPHORA COLLECTION swoon lip gloss pick up artist,$12.00,
182,Dolce & Gabbana perfect mono cream eye colour,$37.00,Amore
183,Dolce & Gabbana perfect mono cream eye colour,$37.00,Bronze 
184,Dolce & Gabbana perfect mono cream eye colour,$37.00,Cocoa
185,Dolce & Gabbana perfect mono cream eye colour,$37.00,Coffee
186,Dolce & Gabbana perfect mono cream eye colour,$37.00,Dahlia
187,Dolce & Gabbana perfect mono cream eye colour,$37.00,Desert
188,Dolce & Gabbana perfect mono cream eye colour,$37.00,Elegance
189,Dolce & Gabbana perfect mono cream eye colour,$37.00,Gold Dust
190,Dolce & Gabbana perfect mono cream eye colour,$37.00,Indaco
191,Dolce & Gabbana perfect mono cream eye colour,$37.00,Innocence
192,Dolce & Gabbana perfect mono cream eye colour,$37.00,Lava
193,Dolce & Gabbana perfect mono cream eye colour,$37.00,Leo Brown
194,Dolce & Gabbana perfect mono cream eye colour,$37.00,Nude 
195,Dolce & Gabbana perfect mono cream eye colour,$37.00,Sage
196,Dolce & Gabbana perfect mono cream eye colour,$37.00,Stromboli
197,Dolce & Gabbana perfect mono cream eye colour,$37.00,Zambia Beige
198,surratt beauty automatique lip crayon,$34.00,A La Mode
199,surratt beauty automatique lip crayon,$34.00,Alluring
200,surratt beauty automatique lip crayon,$34.00,Birthday Suit
201,surratt beauty automatique lip crayon,$34.00,Celestine
202,surratt beauty automatique lip crayon,$34.00,Clementine
203,surratt beauty automatique lip crayon,$34.00,Deep In Vogue
204,surratt beauty automatique lip crayon,$34.00,Fuchsine
205,surratt beauty automatique lip crayon,$34.00,Gentillesse
206,surratt beauty automatique lip crayon,$34.00,In the Buff
207,surratt beauty automatique lip crayon,$34.00,In the Flesh
208,surratt beauty automatique lip crayon,$34.00,Mahogany
209,surratt beauty automatique lip crayon,$34.00,Megalomane
210,surratt beauty automatique lip crayon,$34.00,P.O.C.
211,surratt beauty automatique lip crayon,$34.00,Savoir Faire
212,surratt beauty automatique lip crayon,$34.00,Scantilly Clad
213,surratt beauty automatique lip crayon,$34.00,Seductrice
214,surratt beauty automatique lip crayon,$34.00,Shocking
215,surratt beauty automatique lip crayon,$34.00,Stark Naked
216,surratt beauty automatique lip crayon,$34.00,Valentine
217,Josie Maran live color fully argan oil collection,$38.00,
218,BECCA ultimate coverage concealing creme,$32.00,Banana
219,BECCA ultimate coverage concealing creme,$32.00,Brulee
220,BECCA ultimate coverage concealing creme,$32.00,Butterscotch
221,BECCA ultimate coverage concealing creme,$32.00,Chestnut
222,BECCA ultimate coverage concealing creme,$32.00,Coffee
223,BECCA ultimate coverage concealing creme,$32.00,Honeycomb
224,BECCA ultimate coverage concealing creme,$32.00,Macadamia
225,BECCA ultimate coverage concealing creme,$32.00,Praline
226,BECCA ultimate coverage concealing creme,$32.00,Syrup
227,BECCA ultimate coverage concealing creme,$32.00,Tahini
228,BECCA ultimate coverage concealing creme,$32.00,Toffee
229,BECCA ultimate coverage concealing creme,$32.00,Treacle
230,KEVYN AUCOIN face forward,$21.99,
231,Dior fusion mono eyeshadow,$31.00,001 Lune
232,Dior fusion mono eyeshadow,$31.00,091 Nocturne
233,Dior fusion mono eyeshadow,$31.00,381 Millenium
234,Dior fusion mono eyeshadow,$31.00,621 Mirror
235,Dior fusion mono eyeshadow,$31.00,641 Fantaisie
236,Dior fusion mono eyeshadow,$31.00,661 M&#233;t&#233;ore
237,Dior fusion mono eyeshadow,$31.00,761 Mirage
238,Dior fusion mono eyeshadow,$31.00,821 Chim&#233;re
239,Dior fusion mono eyeshadow,$31.00,881 Hypnotique
240,tarte rule bender double ended bamboo eyeshadow brush,$28.00,
241,Sephora Favorites beauty closet,$99.00,
242,Bobbi Brown eye smudge brush,$32.00,
243,ARDENCY INN modster manuka honey enriched pigments,$21.00,Copper
244,ARDENCY INN modster manuka honey enriched pigments,$21.00,Disco
245,ARDENCY INN modster manuka honey enriched pigments,$21.00,Heaven
246,ARDENCY INN modster manuka honey enriched pigments,$21.00,Hell
247,ARDENCY INN modster manuka honey enriched pigments,$21.00,Orchid
248,ARDENCY INN modster manuka honey enriched pigments,$21.00,Peacock
249,ARDENCY INN modster manuka honey enriched pigments,$21.00,Punch
250,ARDENCY INN modster manuka honey enriched pigments,$21.00,Rose Gold
251,ARDENCY INN modster manuka honey enriched pigments,$21.00,Royal
252,ARDENCY INN modster manuka honey enriched pigments,$21.00,Sunday
253,ARDENCY INN modster manuka honey enriched pigments,$21.00,Tangerine
254,ARDENCY INN modster manuka honey enriched pigments,$21.00,Vintage Gold
255,Bite Beauty line define lip primer,$22.00,
256,Givenchy le rouge limited edition gold,$36.00,311 Rose Pr&#233;cieux 
257,Dior 5 colour eyeshadow cosmopolite,$63.00,766 Exuberante
258,Dior 5 colour eyeshadow cosmopolite,$63.00,866 Eclectic
259,Urban Decay brightening tightening complexion primer potion,$31.00,
260,CLINIQUE take the day off cleansing balm,$29.00,
261,tarte powder player bamboo pressed powder brush,$34.00,
262,Peter Thomas Roth lashes to die for the mascara,$22.00,Black
263,Laura Mercier extra lash sculpting mascara,$25.00,Black Onyx
264,BURBERRY cashmere concealer,$40.00,Chestnut No. 10
265,BURBERRY cashmere concealer,$40.00,Honey No. 04
266,BURBERRY cashmere concealer,$40.00,Ivory No. 00
267,BURBERRY cashmere concealer,$40.00,Porcelain No. 01
268,BURBERRY cashmere concealer,$40.00,Warm Honey No. 08
269,BURBERRY cashmere concealer,$40.00,Warm Nude No. 06
270,BURBERRY fresh glow luminous fluid base,$48.00,Golden Radiance No. 02
271,BURBERRY fresh glow luminous fluid base,$48.00,Nude Radiance No. 01
272,Lancome grandiose wide angle fan effect mascara,$32.00,1
273,Lancome grandiose wide angle fan effect mascara,$32.00,2
274,Lancome grandiose wide angle fan effect mascara,$32.00,6
275,boscia green tea blotting linens,$10.00,100 Sheets  
276,Jack Black intense therapy lip balm spf 25,$7.50,Black Tea & Blackberry
277,Jack Black intense therapy lip balm spf 25,$7.50,Grapefruit & Ginger
278,Jack Black intense therapy lip balm spf 25,$7.50,Lemon & Chamomile 
279,Jack Black intense therapy lip balm spf 25,$7.50,Original 
280,Jack Black intense therapy lip balm spf 25,$7.50,Shea Butter & Vitamin E
281,Josie Maran argan enlightenment illuminizer,$26.00,
282,MAKE UP FOR EVER aquarelle,$21.00,1
283,MAKE UP FOR EVER aquarelle,$21.00,10
284,MAKE UP FOR EVER aquarelle,$21.00,11
285,MAKE UP FOR EVER aquarelle,$21.00,15
286,MAKE UP FOR EVER aquarelle,$21.00,19
287,MAKE UP FOR EVER aquarelle,$21.00,2
288,MAKE UP FOR EVER aquarelle,$21.00,21
289,MAKE UP FOR EVER aquarelle,$21.00,3
