ID,Brand,Name,Amazon_Price,Original_Price,Features
1,Asus,"ASUS X205TA 11.6 Inch Laptop (Intel Atom, 2 GB, 32GB SSD, Gold) - Free Upgrade to Windows 10",$199.00,,Intel Atom 1.33 GHz Processor. 2 GB DDR3 RAM. 32GB SSD Storage; No Optical Drive. 11.6 inches 1366*768 pixels LED-lit Screen. Windows 8.1 Operating System; Gold Chassis
2,Other,AmazonBasics 11.6-Inch Laptop Sleeve,$9.99,,Form-fitting sleeve with quick top-loading access for Chromebooks and MacBook Air laptops. Precise fit for laptops and ultrabooks with a 11.6 inch display. Slim design allows you to carry the case by itself or in a bag. Internal Dimensions: 11.4\  x 0.4\  x 8.4\  (LxWxH). External Dimensions: 12.2\  x 0.8\  x 9\  (LxWxH)
3,Lenovo,"Lenovo G50 Entertainment Laptop - Black: DOORBUSTER - Intel Core i7-5500U (2.4GHz / 3.0 GHz Turbo), 8GB RAM, 1TB HDD, 15.6\  FHD 1080P Display, DVD Burner, AC-WiFi, USB3.0, HDMI,Bluetooth, Windows 8.1",$799.77,$999.99,"5th Generation Intel Core i7-5500U Processor (2.4 GHz Turbo / 3.0 GHz Base, 1600MHz 4MB). 15.6\  FULL HD 1080P LED Display with integrated camera (1920x1080). 8.0GB PC3-12800 DDR3 SDRAM 1600 MHz. Windows 8.1 (Free Windows 10 Upgrade Eligible) / AC Wireless / Bluetooth 4.0. 1TB Hard Drive / DVD Recordable Drive / USB 3.0"
4,HP,HP Chromebook 14 - New Version (Snow White),$339.99,,"NVIDIA Tegra K1 Processor. 2 GB DDR3L SDRAM. 16 GB Solid-State Drive. 14-Inch Screen. Chrome, 8.0-hour battery life"
5,Lenovo,Lenovo ThinkPad T430 2344-C4U  14-Inch Notebook,$999.00,,"i5-3320M(3.3GHz). 4GB RAM, 500GB 7200rpm. 14in HD 1366x768, Intel HD Graphics. Camera, DVD. Windows 7 Professional 64"
6,Acer,Acer Aspire Switch 10 E SW3-013-1566 2-in-1 Tablet & Laptop - (32GB & Windows 10),$275.00,$279.99,"Intel Atom Z3735F 1.33 GHz (2 MB Cache). 2GB of DDR3L Onboard Memory. 32GB Internal Storage. 10.1-Inch HD Screen, Intel HD Graphics. Windows 10, Up to 12-hour battery life"
7,Dell,"Dell Inspiron 11.6-Inch 2 in 1 Convertible Touchscreen Laptop, i3147-3750sLV",$371.14,$449.99,"Intel Pentium Processor N3520 2.16GHz. 4 GB DDR3L SDRAM. 500 GB 7200 rpm Hard Drive. 11.6-Inch Screen, Intel HD Graphics. Windows 8.1; Free upgrade to Windows 10 when available"
8,Dell,"Super Power Supply? AC / DC Laptop Adapter Charger Cord for Dell XPS, Dell Inspiron P28F, P25F, P35G, P17E, P24G, P30G, P23F, P04E, M102z, P19Ta, P31G, P37G, P33G, P37G, P36F, P26F, P24E, P15E Notebook Netbook Battery Plug",$18.89,,Input: 110-220V Output: 19.5V 4.62A. Warranty: 1 Year. Super Power Supply? are manufactured and tested to match or exceed OEM products.. Trademarked by Super Power Supply?. Sold exclusively by Super Power Supply?
9,Dell,"Newest Dell Inspiron 14 Inch Laptop with Intel Pentium N3540 Processor up to 2.66 GHz, 4GB DDR3 RAM, 500 GB Hard Drive, No DVD/CD Drive, Windows 8.1 (Certified Refurbished)",$300.00,$399.00,"This Certified Refurbished product is manufacturer refurbished, shows limited or no wear, and includes all original accessories plus a 90 day warranty.. 14.0inch HD (1366 x 768) Truelife LED-Backlit Display with Integrated HD Camera and Microphone, 2 tuned speakers with Waves MaxxAudio processing. Processor: Intel Pentium Processor N3540 2.16 GHz (2M Cache, up to 2.66 GHz). 4GB DDR3L at 1600MHz, 500 GB SATA Hard Drive (5400 RPM), 1 combo headphone / microphone jack. Windows 8.1, free upgrade to Windows 10; HDMI 1.4a, USB 3.0 (1), USB 2.0 (2), Kensington lock slot, Media Card (SD, SDHC, SDXC)"
10,Asus,AC Adapter/Battery Charger for Asus Laptops,$8.08,,DC-Output : 19V-4.74A-90W - Input : 100-240V - 1.5A 50/60 Hz. Package Includes : One AC Adapter and One US Power Cord for Listed Models. 100% Oem Compatible. This Product Has 12 Months Replacement Warranty
11,Other,KAYOND Elephant Patterns Canvas Fabric 13 Inch Laptop / Notebook Sleeve Macbook / Macbook Pro / Macbook Air Sleeve Case Dell / Hp /Lenovo/sony/ Toshiba / Ausa / Acer /Samsung /Haier Ultrabook Bag Cover (13.3),,,"Outer canvas fabric of the case is printed with elephant patterns that enable you to carry your Ipad /laptop / notebook / Ultrabook computer in a uniquely sleek style. Features a polyester foam padding layer and fluffy fleece fabric lining for bump and shock absorption and protection of your computer from accidental scratches. Slim and lightweight; does not bulk your laptop up and can easily slide into your briefcase, backpack, or other bag. Top-loading zipper on the sleeve glides smoothly and allows convenient access to your laptop computer. Suitable for most popular 13-13.3 inch MacBooks / laptops / notebooks / Ultrabooks; may not snugly fit all computers due to variations in the sizes of   different models(note:not fit Lenovo Z470 Lenovo S300 S310 which should use 14"
