id,movie_name,year,directors,actors,critic_rating,genre,pg_rating,duration
0,Blade Runner: The Final Cut,1982,Ridley Scott,,4,"Drama, Science Fiction",Rated R,117 minutes
1,Ace in the Hole,1951,Billy Wilder,"Kirk Douglas,Richard Benedict,Jan Sterling",4,"Drama, Film Noir",Rated NR,111 minutes
2,Pierrot le Fou,1966,,"Jean-Paul Belmondo,Anna Karina,Graziella Galvani",2.5,"Drama, Foreign, Indie, Thriller",,110 minutes
3,Rocket Science,2007,,"Reece Daniel Thompson,Anna Kendrick,Nicholas D'Agosto,Vincent Piazza,Denis O'Hare",3.5,"Comedy, Drama, Indie",Rated R,101 minutes
4,Casino Royale,2007,Martin Campbell,"Daniel Craig,Eva Green,Judi Dench,Jeffrey Wright,Giancarlo Giannini,Mads Mikkelsen",4,"Action, Adventure, Foreign, Thriller",Rated PG-13,144 minutes
5,Death at a Funeral,2007,Frank Oz,"Matthew MacFadyen,Keeley Hawes,Daisy Donovan,Alan Tudyk,Jane Asher,Rupert Graves,Peter Egan,Peter Dinklage",3,"Comedy, Drama, Foreign",Rated R,90 minutes
6,Superbad,2007,Greg Mottola,"Jonah Hill,Michael Cera,Christopher Mintz-Plasse,Bill Hader,Seth Rogen,Emma Stone",3.5,Comedy,Rated R,113 minutes
7,Flanders,2007,,"Adelaide Leroux,Samuel Boidin,Henri Cretel",3,"Drama, Foreign",Rated NR,91 minutes
8,The Nanny Diaries,2007,"Shari Springer Berman,Robert Pulcini","Scarlett Johansson,Laura Linney,Paul Giamatti,Donna Murphy,Alicia Keys,Nathan Corddry",2.5,"Comedy, Drama, Romance",Rated PG-13,106 minutes
9,2 Days in Paris,2007,,"Julie Delpy,Adam Goldberg,Daniel Bruhl,Marie Pillet,Albert Delpy,Aleksia Landeau,Adan Jodorowsky,Alexandre Nahon",3,"Comedy, Foreign, Indie, Romance",Rated R,96 minutes
10,Illegal Tender,2007,,"Wanda DeJesus,Rick Gonzalez,Dania Ramirez,Gary Perez,Tego Calderon,Manny Perez",2.5,"Action, Crime, Drama, Thriller",Rated R,108 minutes
11,Resurrecting the Champ,2007,Rod Lurie,"Samuel L. Jackson,Josh Hartnett,Teri Hatcher,Alan Alda,Kathryn Morris,Dakota Goyo,David Paymer",3,"Drama, Sports Film",Rated PG-13,112 minutes
12,Private Property,2007,Joachim Lafosse,"Isabelle Huppert,Yannick Renier,Jeremie Renier,Patrick Descamps",3.5,"Drama, Foreign",Rated NR,
13,The King of Kong: A Fistful of Quarters,2007,Seth Gordon,,3,Documentary,Rated PG-13,79 minutes
14,The 11th Hour,2007,,,2,Documentary,Rated PG,95 minutes
15,September Dawn,2007,Christopher Cain,"Jon Voight,Terence Stamp,Dean Cain,Jon Gries,Lolita Davidovich",0,"Action, Drama, History, Romance, Western",Rated R,110 minutes
16,Zodiac,2007,David Fincher,"Mark Ruffalo,Jake Gyllenhaal,Robert Downey Jr.,Anthony Edwards,Brian Cox,Charles Fleischer,Zach Grenier,Philip Baker Hall,Elias Koteas,John Carroll Lynch,Dermot Mulroney,Chloe Sevigny",4,"Crime, Drama, Mystery, Thriller",Rated R,157 minutes
17,Ratatouille,2007,,"Patton Oswalt,Ian Holm,Lou Romano,Peter O'Toole,Brad Garrett,Janeane Garofalo,Peter Sohn,Brian Dennehy,Will Arnett",4,"Animation, Comedy, Family",Rated G,111 minutes
18,Balls of Fury,2007,,"Dan Fogler,Christopher Walken,George Lopez,Robert Patrick,James Hong,Maggie Q,Thomas Lennon,Patton Oswalt",2.5,"Comedy, Sports Film",Rated PG-13,90 minutes
19,Pan's Labyrinth,2006,,"Ivana Baquero,Maribel Verdu,Sergi Lopez,Ariadna Gil,Alex Angulo,Doug Jones",4,"Drama, Fantasy, Foreign, Science Fiction, War",Rated R,118 minutes
