id,movie_name,year,directors,actors,movie_rating,genre,duration
0,High-Rise,2015,Ben Wheatley,"Tom Hiddleston, Jeremy Irons, Sienna Miller",6.8,"Action, Drama, Sci-Fi",112 min 
1,Mercy for Angels,2015,K.C. Amos,"Vida Guerra, Emilio Rivera, John Amos",6.2,"Action, Drama, Thriller",91 min 
2,Wind Walkers,2015,Russell Friedenberg,"Glen Powell, Zane Holtz, Rudy Youngblood",5.6,"Action, Horror, Thriller",93 min 
3,Alcatraz Prison Escape: Deathbed Confession,2015,John Edward Lee,"Danny Trejo, Ed O'Ross, Shelby Deekins",6.6,"Action, Crime",93 min 
4,Barely Lethal,2015,Kyle Newman,"Jaime King, Samuel L. Jackson, Madeleine Stack",5.3,"Action, Adventure, Comedy",96 min 
5,The Adderall Diaries,2015,Pamela Romanowsky,"Amber Heard, James Franco, Christian Slater",6.4,"Action, Drama, Thriller",105 min 
6,The Sadist,2015,Jeremiah Kipp,"Tom Savini, Frank Wihbey, Santo Fazio",5.1,"Action, Horror, Mystery",76 min 
7,Heroes of Dirt,2015,Eric Bugbee,"Joel Moody, William Martinez, Vivienne VanHorn",7.1,"Action, Drama, Sport",98 min 
8,The Challenger,2015,Kent Moran,"Kent Moran, Michael Clarke Duncan, S. Epatha Merkerson",7.6,"Action, Drama",95 min 
9,Six Gun Savior,2015,Kirk Murray,"Eric Roberts, Matthew Ziff, Martin Kove",5.8,"Action, Adventure, Drama",100 min 
10,The Cain Complex,2015,Marcello Zamarripa,"Marcello Zamarripa, Billy Blair, Sue Rock",5.2,"Action, Thriller",86 min 
11,Diamond Ruff,2015,Alec Asten,"Felicia Pearson, Fredro Starr, Michael Barra",4.1,Action,82 min 
12,Final Girl,2015,Tyler Shields,"Abigail Breslin, Wes Bentley, Logan Huffman",4.6,"Action, Drama, Thriller",90 min 
13,Dragon Warriors,2015,Maclain Nelson,"James Marsters, Kaitlin Doubleday, Luke Perry",8.4,"Action, Comedy, Fantasy",122 min 
14,Landmine Goes Click,2015,Levan Bakhia,"Sterling Knight, Spencer Locke, Dean Geyer",7.1,"Action, Crime, Drama",110 min 
15,Run All Night,2015,Jaume Collet-Serra,"Liam Neeson, Ed Harris, Joel Kinnaman",6.6,"Action, Crime, Drama",114 min 
16,American Rescue Squad,2015,Elliot Diviney,"Tony D. Czech, Douglas Sidney, KariAnn Christensen",7,"Action, Comedy, Musical",90 min 
17,Americons,2015,Theo Avgerinos,"Beau Martin Williams, Matt Funke, Trai Byers",7.2,"Action, Biography, Crime",88 min 
18,i,2015,S. Shankar,"'Chiyaan' Vikram, Amy Jackson, Suresh Gopi",7.8,"Action, Romance, Thriller",170 min 
19,The Hunted,2015,Robert Chapin,"Robert Chapin, Monique Ganderton, David Lain Baker",5.4,"Action, Thriller",90 min 
20,Orion,2015,Asiel Norton,"David Arquette, Lily Cole, Goran Kostic",6.8,"Action, Drama, Fantasy",110 min 
21,Soldiers of the Damned,2015,Mark Nuttall,"Gil Darnell, Miriam Cooke, Lucas Hansen",3.7,"Action, Horror, Thriller",99 min 
22,Tracers,2015,Daniel Benmayor,"Taylor Lautner, Marie Avgeropoulos, Adam Rayner",5.6,"Action, Crime, Drama",94 min 
23,Gabbar is Back,2015,Radha Krishna Jagarlamudi,"Akshay Kumar, Shruti K. Haasan, Sunil Grover",7.3,"Action, Crime, Drama",128 min 
24,Beyond the Mask,2015,Chad Burns,"Andrew Cheney, John Rhys-Davies, Kara Killmer",5.2,"Action, Drama",103 min 
