Sno,Album_Name,Album_Price,Artist_Name,CopyRight,Customer_Rating,Genre,Price,Released,Song_Name,Time
1,Welcome to Cam Country - EP,$4.26 ,Cam, 2015 Sony Music Entertainment,4.72396,"Country,Music,Contemporary Country,Honky Tonk",$0.99 ,31-Mar-15,Runaway Train,3:01
2,Me 4 U,$9.99 ,Omi," 2015 Ultra Records, LLC under exclusive license to Columbia Records, a Division of Sony Music Entertainment",3.38158,"Pop/Rock,Music,Pop,Dance,R&B/Soul",Album Only,,Track 14,3:41
3,Title,$9.99 ,Meghan Trainor," 2014, 2015 Epic Records, a division of Sony Music Entertainment",4.04699,"Pop,Music,Pop/Rock,Dance,Rock,Teen Pop",$1.29 ,9-Jan-15,Lips Are Movin,3:01
4,I'll Be Home For Christmas,$6.99 ,A Great Big World," Compilation (P) 2014 Epic Records, a division of Sony Music Entertainment",4.39516,"Holiday,Music",$1.29 ,24-Nov-14,I Want a Hippopotamus for Christmas,2:20
5,Title (Deluxe),$12.99 ,Meghan Trainor," 2014, 2015 Epic Records, a division of Sony Music Entertainment",4.0674,"Pop,Music,Rock,Pop/Rock,Dance,Teen Pop",$1.29 ,9-Jan-15,Credit,2:51
6,Title,$9.99 ,Meghan Trainor," 2014, 2015 Epic Records, a division of Sony Music Entertainment",4.04699,"Pop,Music,Pop/Rock,Dance,Rock,Teen Pop",$1.29 ,9-Jan-15,Lips Are Movin,3:01
7,Title,$9.99 ,Meghan Trainor," 2014, 2015 Epic Records, a division of Sony Music Entertainment",4.04699,"Pop,Music,Pop/Rock,Dance,Rock,Teen Pop",$1.29 ,9-Jan-15,Lips Are Movin,3:01
8,Title,$9.99 ,Meghan Trainor," 2014, 2015 Epic Records, a division of Sony Music Entertainment",4.04699,"Pop,Music,Pop/Rock,Dance,Rock,Teen Pop",$1.29 ,9-Jan-15,Lips Are Movin,3:01
9,Title,$9.99 ,Meghan Trainor," 2014, 2015 Epic Records, a division of Sony Music Entertainment",4.04699,"Pop,Music,Pop/Rock,Dance,Rock,Teen Pop",$1.29 ,9-Jan-15,Lips Are Movin,3:01
10,Revival (Deluxe),$11.99 ,Selena Gomez, 2015 Interscope Records,4.392,"Pop,Music,Rock",Album Only,,Perfect,4:02
