id,name,addr,city,type
310-246-1501,arnie morton's of chicago, 435 s. la cienega blv., los angeles, american
818-762-1221,art's delicatessen, 12224 ventura blvd., studio city, american
310-472-1211,hotel bel-air, 701 stone canyon rd., bel air, californian
818-788-3536,cafe bizou, 14016 ventura blvd., sherman oaks, french
213-938-1447,campanile, 624 s. la brea ave., los angeles, american
310-392-9025,chinois on main, 2709 main st., santa monica, french
213-857-0034,citrus, 6703 melrose ave., los angeles, californian
213-848-6677,fenix, 8358 sunset blvd. west, hollywood, american
310-456-0488,granita, 23725 w. malibu rd., malibu, californian
310-276-0615,grill on the alley, 9560 dayton way, los angeles, american
213-665-1891,restaurant katsu, 1972 n. hillhurst ave., los angeles, asian
310-652-9770,l'orangerie, 903 n. la cienega blvd., los angeles, french
213-655-8880,le chardonnay, 8284 melrose ave., los angeles, french
310-274-1893,locanda veneta, 3rd st., los angeles, italian
310-659-9639,matsuhisa, 129 n. la cienega blvd., beverly hills, asian
310-550-8811,the palm, 9001 santa monica blvd., los angeles, american
213-467-1108,patina, 5955 melrose ave., los angeles, californian
213-628-3781,philippe's the original, 1001 n. alameda st., los angeles, american
818-990-0500,pinot bistro, 12969 ventura blvd., los angeles, french
213-627-2300,rex il ristorante, 617 s. olive st., los angeles, italian
310-652-4025,spago, 1114 horn ave., los angeles, californian
310-829-4313,valentino, 3115 pico blvd., santa monica, italian
818-585-0855,yujean kang's gourmet chinese cuisine, 67 n. raymond ave., los angeles, asian
212-582-7200,21 club, 21 w. 52nd st., new york, american
212-307-7311,aquavit, 13 w. 54th st., new york, continental
212-319-1660,aureole, 34 e. 61st st., new york, american
212-496-6031,cafe lalo, 201 w. 83rd st., new york, coffee bar
212-877-3500,cafe des artistes, 1 w. 67th st., new york, continental
212-362-2200,carmine's, 2450 broadway  between 90th and 91st sts., new york, italian
212-757-2245,carnegie deli, 854 7th ave.  between 54th and 55th sts., new york, delicatessen
212-966-6960,chanterelle, 2 harrison st.  near hudson st., new york, american
212-288-0033,daniel, 20 e. 76th st., new york, french
212-355-7555,dawat, 210 e. 58th st., new york, asian
