pairId,id1,id2,label
1,212-219-2777,212-219-2777,1
2,212-223-5656,212-223-5656,1
3,212-243-4020,212-243-4020,1
4,212-245-2214,212-245-2214,1
5,212-260-6660,212-260-6660,1
6,212-265-5959,212-265-5959,1
7,212-288-0033,212-288-0033,1
8,212-307-7311,212-307-7311,1
9,212-319-1660,212-319-1660,1
10,212-339-6719,212-339-6719,1
11,212-355-7555,212-355-7555,1
12,212-362-2200,212-362-2200,1
13,212-371-7777,212-371-7777,1
14,212-371-8844,212-371-8844,1
15,212-477-0777,212-477-0777,1
16,212-484-5113,212-484-5113,1
17,212-489-1515,212-489-1515,1
18,212-496-6031,212-496-6031,1
19,212-582-7200,212-582-7200,1
20,212-586-4252,212-586-4252,1
21,212-620-4020,212-620-4020,1
22,212-627-8273,212-627-8273,1
23,212-632-5000,212-632-5000,1
24,212-644-1900,212-644-1900,1
25,212-677-0606,212-677-0606,1
26,212-688-6525,212-688-6525,1
27,212-724-8585,212-724-8585,1
28,212-752-2225,212-752-2225,1
29,212-753-1530,212-753-1530,1
30,212-754-6272,212-754-6272,1
31,212-754-9494,212-754-9494,1
32,212-757-2245,212-757-2245,1
33,212-758-1479,212-758-1479,1
34,212-759-5941,212-759-5941,1
35,212-765-1737,212-765-1737,1
36,212-807-7400,212-807-7400,1
37,212-861-8080,212-861-8080,1
38,212-873-3200,212-873-3200,1
39,212-877-3500,212-877-3500,1
40,212-921-9494,212-921-9494,1
41,212-966-6960,212-966-6960,1
42,212-980-9393,212-980-9393,1
43,213-467-1108,213-467-1108,1
44,213-627-2300,213-627-2300,1
45,213-628-3781,213-628-3781,1
46,213-655-8880,213-655-8880,1
47,213-665-1891,213-665-1891,1
48,213-848-6677,213-848-6677,1
49,213-857-0034,213-857-0034,1
50,213-938-1447,213-938-1447,1
51,310-246-1501,310-246-1501,1
52,310-274-1893,310-274-1893,1
53,310-276-0615,310-276-0615,1
54,310-392-9025,310-392-9025,1
55,310-456-0488,310-456-0488,1
56,310-472-1211,310-472-1211,1
57,310-550-8811,310-550-8811,1
58,310-652-4025,310-652-4025,1
59,310-652-9770,310-652-9770,1
60,310-659-9639,310-659-9639,1
61,310-829-4313,310-829-4313,1
62,404-221-6362,404-221-6362,1
63,404-231-1368,404-231-1368,1
64,404-233-7673,404-233-7673,1
65,404-237-2663,404-237-2663,1
66,404-237-2700,404-237-2700,1
67,404-237-2700,404-237-2700,1
68,404-261-3662,404-261-3662,1
69,404-261-8186,404-261-8186,1
70,404-262-3336,404-262-3336,1
71,404-266-1440,404-266-1440,1
72,404-351-9533,404-351-9533,1
73,404-352-3517,404-352-3517,1
74,404-365-0410,404-365-0410,1
75,404-659-0400,404-659-0400,1
76,404-681-2909,404-681-2909,1
77,404-874-7600,404-874-7600,1
78,404-875-8424,404-875-8424,1
79,404-876-0676,404-876-0676,1
80,404-876-1800,404-876-1800,1
81,404-876-4408,404-876-4408,1
82,415-296-7465,415-296-7465,1
83,415-387-0408,415-387-0408,1
84,415-392-3505,415-392-3505,1
85,415-399-0499,415-399-0499,1
86,415-495-5775,415-495-5775,1
87,415-543-0573,415-543-0573,1
88,415-543-6084,415-543-6084,1
89,415-563-4755,415-563-4755,1
90,415-668-6654,415-668-6654,1
91,415-673-7779,415-673-7779,1
92,415-775-7036,415-775-7036,1
93,415-776-5577,415-776-5577,1
94,415-776-7825,415-776-7825,1
95,415-777-9779,415-777-9779,1
96,415-922-0337,415-922-0337,1
97,415-955-5555,415-955-5555,1
98,415-956-9662,415-956-9662,1
99,415-989-7154,415-989-7154,1
100,702-731-4036,702-731-4036,1
101,702-733-8899,702-733-8899,1
102,702-734-0410,702-734-0410,1
103,702-891-7349,702-891-7349,1
104,718-522-5200,718-522-5200,1
105,818-585-0855,818-585-0855,1
106,818-762-1221,818-762-1221,1
107,818-788-3536,818-788-3536,1
108,818-990-0500,818-990-0500,1
109,212-315-1726,212-245-7992,1
110,702-385-3232,702-385-6277,1
111,702-731-7547,702-731-7110,1
112,702-732-5111,702-732-5651,1
