id,name,addr,city,type
310-246-1501,arnie morton's of chicago,435 s. la cienega blvd.,los angeles,steakhouses
818-762-1221,art's deli,12224 ventura blvd.,studio city,delis
310-472-1211,bel-air hotel,701 stone canyon rd.,bel air,californian
818-788-3536,cafe bizou,14016 ventura blvd.,sherman oaks,french bistro
213-938-1447,campanile,624 s. la brea ave.,los angeles,californian
310-392-9025,chinois on main,2709 main st.,santa monica,pacific new wave
213-857-0034,citrus,6703 melrose ave.,los angeles,californian
213-848-6677,fenix at the argyle,8358 sunset blvd.,w. hollywood,french (new)
310-456-0488,granita,23725 w. malibu rd.,malibu,californian
310-276-0615,grill  the,9560 dayton way,beverly hills,american (traditional)
213-665-1891,katsu,1972 hillhurst ave.,los feliz,japanese
310-652-9770,l'orangerie,903 n. la cienega blvd.,w. hollywood,french (classic)
213-655-8880,le chardonnay (los angeles),8284 melrose ave.,los angeles,french bistro
310-274-1893,locanda veneta,8638 w. third st.,los angeles,italian
310-659-9639,matsuhisa,129 n. la cienega blvd.,beverly hills,seafood
310-550-8811,palm  the (los angeles),9001 santa monica blvd.,w. hollywood,steakhouses
213-467-1108,patina,5955 melrose ave.,los angeles,californian
213-628-3781,philippe the original,1001 n. alameda st.,chinatown,cafeterias
818-990-0500,pinot bistro,12969 ventura blvd.,studio city,french bistro
213-627-2300,rex il ristorante,617 s. olive st.,los angeles,nuova cucina italian
310-652-4025,spago (los angeles),8795 sunset blvd.,w. hollywood,californian
310-829-4313,valentino,3115 pico blvd.,santa monica,italian
818-585-0855,yujean kang's,67 n. raymond ave.,pasadena,chinese
212-582-7200,21 club,21 w. 52nd st.,new york city,american (new)
212-307-7311,aquavit,13 w. 54th st.,new york city,scandinavian
212-319-1660,aureole,34 e. 61st st.,new york city,american (new)
212-496-6031,cafe lalo,201 w. 83rd st.,new york city,coffeehouses
212-877-3500,cafe des artistes,1 w. 67th st.,new york city,french (classic)
212-362-2200,carmine's,2450 broadway,new york city,italian
212-757-2245,carnegie deli,854 seventh ave.,new york city,delis
212-966-6960,chanterelle,2 harrison st.,new york city,french (new)
212-288-0033,daniel,20 e. 76th st.,new york city,french (new)
212-355-7555,dawat,210 e. 58th st.,new york city,indian
212-758-1479,felidia,243 e. 58th st.,new york city,italian
212-754-9494,four seasons,99 e. 52nd st.,new york city,american (new)
212-620-4020,gotham bar & grill,12 e. 12th st.,new york city,american (new)
212-477-0777,gramercy tavern,42 e. 20th st.,new york city,american (new)
212-765-1737,island spice,402 w. 44th st.,new york city,caribbean
212-223-5656,jo jo,160 e. 64th st.,new york city,french bistro
212-586-4252,la caravelle,33 w. 55th st.,new york city,french (classic)
212-688-6525,la cote basque,60 w. 55th st.,new york city,french (classic)
212-489-1515,le bernardin,155 w. 51st st.,new york city,seafood
212-484-5113,les celebrites,155 w. 58th st.,new york city,french (classic)
212-339-6719,lespinasse (new york city),2 e. 55th st.,new york city,asian
212-752-2225,lutece,249 e. 50th st.,new york city,french (classic)
212-371-7777,manhattan ocean club,57 w. 58th st.,new york city,seafood
212-754-6272,march,405 e. 58th st.,new york city,american (new)
212-807-7400,mesa grill,102 fifth ave.,new york city,southwestern
212-627-8273,mi cocina,57 jane st.,new york city,mexican
212-219-2777,montrachet,239 w. broadway,new york city,french bistro
212-759-5941,oceana,55 e. 54th st.,new york city,seafood
212-644-1900,park avenue cafe (new york city),100 e. 63rd st.,new york city,american (new)
212-245-2214,petrossian,182 w. 58th st.,new york city,russian
212-724-8585,picholine,35 w. 64th st.,new york city,mediterranean
212-260-6660,pisces,95 ave. a,new york city,seafood
212-632-5000,rainbow room,30 rockefeller plaza,new york city,american (new)
718-522-5200,river cafe,1 water st.,brooklyn,american (new)
212-265-5959,san domenico,240 central park s.,new york city,italian
212-677-0606,second avenue deli,156 second ave.,new york city,delis
212-980-9393,seryna,11 e. 53rd st.,new york city,japanese
212-371-8844,shun lee palace,155 e. 55th st.,new york city,chinese
212-861-8080,sign of the dove,1110 third ave.,new york city,american (new)
212-753-1530,smith & wollensky,797 third ave.,new york city,steakhouses
212-873-3200,tavern on the green,central park west,new york city,american (new)
212-245-7992,uncle nick's,747 ninth ave.,new york city,greek
212-243-4020,union square cafe,21 e. 16th st.,new york city,american (new)
212-921-9494,virgil's real bbq,152 w. 44th st.,new york city,bbq
702-733-8899,chin's,3200 las vegas blvd. s.,las vegas,chinese
702-891-7349,coyote cafe (las vegas),3799 las vegas blvd. s.,las vegas,southwestern
702-732-5651,le montrachet bistro,3000 paradise rd.,las vegas,french bistro
702-731-7110,palace court,3570 las vegas blvd. s.,las vegas,french (new)
702-385-6277,second street grill,200 e. fremont st.,las vegas,pacific rim
702-734-0410,steak house  the,2880 las vegas blvd. s.,las vegas,steakhouses
702-731-4036,tillerman  the,2245 e. flamingo rd.,las vegas,steakhouses
404-261-8186,abruzzi,2355 peachtree rd. ne,atlanta,italian
404-365-0410,bacchanalia,3125 piedmont rd.,atlanta,californian
404-237-2663,bone's restaurant,3130 piedmont rd. ne,atlanta,steakhouses
404-266-1440,brasserie le coze,3393 peachtree rd.,atlanta,french bistro
404-262-3336,buckhead diner,3073 piedmont rd.,atlanta,american (new)
404-874-7600,ciboulette restaurant,1529 piedmont ave.,atlanta,french (new)
404-681-2909,delectables,1 margaret mitchell sq.,atlanta,cafeterias
404-352-3517,georgia grille,2290 peachtree rd.,atlanta,southwestern
404-233-7673,hedgerose heights inn  the,490 e. paces ferry rd. ne,atlanta,continental
404-876-4408,heera of india,595 piedmont ave.,atlanta,indian
404-876-0676,indigo coastal grill,1397 n. highland ave.,atlanta,eclectic
404-231-1368,la grotta,2637 peachtree rd. ne,atlanta,italian
404-876-1800,mary mac's tea room,224 ponce de leon ave.,atlanta,southern/soul
404-221-6362,nikolai's roof,255 courtland st.,atlanta,continental
404-261-3662,pano's & paul's,1232 w. paces ferry rd.,atlanta,american (new)
