pairId:INTEGER,DBLP.id:TEXT,ACM.id:TEXT
1,journals/sigmod/DAndreaJ96,304586
2,conf/sigmod/AbadiCCCCEGHMRSSTXYZ03,304586
3,journals/sigmod/FernandezFLS97,304586
4,conf/sigmod/TheodoulidisAACKS94,304586
5,conf/vldb/WuYCT95,304586
6,conf/sigmod/FernandezFKLS98,304586
7,conf/sigmod/Mohan96,304586
8,conf/vldb/ZengBNN01,304586
9,journals/sigmod/RafanelliBT96,304586
10,conf/vldb/Mohan96,304586
11,journals/vldb/GrefenVA01,304586
12,journals/tods/CasatiCPP99,304586
13,journals/vldb/FiebigHKMNSW02,304586
14,conf/sigmod/WodtkeWWDM97,304586
15,journals/vldb/OzsuPSILM95,304586
16,conf/vldb/NarayananS01,304586
17,conf/vldb/AnandBH94,304586
18,conf/sigmod/FernandezFKLS97,304586
19,conf/sigmod/MeccaAMMS98,304586
20,conf/sigmod/KotidisR99,304586
21,journals/sigmod/KoksalAD98,304586
22,conf/vldb/GardarinST96,304586
23,conf/sigmod/BrodskySCE99,304586
24,conf/sigmod/MissikoffT94,304586
25,conf/vldb/BrownS95,304586
26,conf/sigmod/CeriFPP95,304586
27,conf/sigmod/ZhouLP99,304586
28,journals/tods/RaschidL96,304586
29,conf/vldb/YanA94,304586
30,conf/sigmod/LiVCAHMWBCHIKSS99,304586
31,journals/vldb/ShegalovGW01,304586
32,journals/sigmod/RiekertMW97,304586
33,conf/sigmod/HungYK96,304586
34,journals/sigmod/ACT-NET96,304586
35,journals/sigmod/FrewD97,304586
36,conf/sigmod/GillmannWW02,304586
37,conf/sigmod/DreyerDS95,304586
38,journals/sigmod/McClatcheyV97,304586
39,conf/sigmod/GillmannWSWW00,304586
40,journals/sigmod/WenLMZ03,304586
41,journals/vldb/Sciore94,304586
42,conf/vldb/ColletCS94,304586
43,conf/vldb/GoodmanRS94,304586
44,conf/sigmod/VossenW99,304586
45,journals/sigmod/KappelR98,304586
46,conf/vldb/GehaniJR94,304586
47,journals/sigmod/McHughAGQW97,304586
48,conf/vldb/ReuterCGSW95,304586
49,journals/sigmod/Sidell96,304586
50,conf/vldb/BaumannFRW97,304586
51,conf/sigmod/Kim94,304586
52,journals/vldb/CandanLS00,304587
53,conf/vldb/MohaniaS94,304587
54,conf/sigmod/BerchtoldBBKK97,304587
55,conf/sigmod/CatarciS94,304587
56,journals/vldb/OzsuC98,304587
57,conf/vldb/SeidlK97,304587
58,journals/tods/ChomickiTB01,304587
59,conf/vldb/ShanmugasundaramGTZDN99,304587
60,conf/sigmod/KoudasS03,304587
61,conf/vldb/KoschBBHHLRT01,304587
62,conf/vldb/RisheYACLMVSV00,304587
63,conf/sigmod/CruzJ99,304587
64,conf/vldb/Guting94,304587
65,conf/vldb/IshikawaSF98,304587
66,conf/vldb/OzsuLON01,304587
67,journals/sigmod/WenLMZ03,304587
68,conf/sigmod/GoldmanW00,304587
69,conf/sigmod/Smith01,304587
70,conf/vldb/ChatziantoniouR96,304587
71,journals/sigmod/PourabbasR02,304587
72,conf/sigmod/Faloutsos95,304587
73,journals/sigmod/Ouksel02,304589
74,conf/sigmod/DeshpandeNGS03,304589
75,conf/sigmod/IpeirotisGS01,304589
76,conf/sigmod/BouguettayaBH99,304589
77,journals/sigmod/HasanMV96,304589
78,conf/sigmod/NguyenS96,304589
79,journals/sigmod/KambhampatiK03,304589
80,conf/sigmod/DattaDTVSR02,304589
81,journals/vldb/AtzeniM00,304589
82,conf/sigmod/WoelkBJOTU95,304589
83,conf/sigmod/GoldmanW00,304589
84,journals/sigmod/AtzeniM98,304589
85,conf/sigmod/Kramer97,304589
86,conf/sigmod/TomasicABKNR97,304589
87,conf/sigmod/BaruGLMPVC99,304590
88,conf/sigmod/HammerGIPUW95,304590
89,conf/sigmod/LiuHBPT99,304590
90,journals/sigmod/DAndreaJ96,304582
91,conf/sigmod/Rodriguez-Martinez00,304582
92,conf/sigmod/BaumannDFRW98,304582
93,conf/sigmod/TheodoulidisAACKS94,304582
94,conf/vldb/WuYCT95,304582
95,conf/vldb/Norvag99,304582
96,journals/sigmod/Zhang95,304582
97,journals/sigmod/Bohlen95,304582
98,conf/sigmod/DogacHKOONDMAKE96,304582
99,journals/vldb/VaghaniRKSSLH94,304582
100,conf/sigmod/Team95a,304582
101,conf/sigmod/MumickP94,304582
102,conf/vldb/SeshadriLR96,304582
103,conf/vldb/HelalL00,304582
104,conf/sigmod/CruzALRZ97,304582
105,conf/vldb/BaulierBKS98,304582
106,journals/tods/FormicaGM98,304582
107,conf/vldb/AnandBH94,304582
108,journals/sigmod/DoanPK95,304582
109,conf/vldb/BarjaPFWD94,304582
110,conf/vldb/CabreraRH95,304582
111,journals/vldb/DerrMP94,304582
112,conf/vldb/GardarinST96,304582
113,conf/sigmod/OriaOILY00,304582
114,journals/vldb/SofferS98,304582
115,conf/sigmod/AdelbergGK95,304582
116,conf/sigmod/BrodskySCE99,304582
117,conf/sigmod/KemperKM98,304582
118,conf/sigmod/MissikoffT94,304582
119,conf/sigmod/CeriFPP95,304582
120,conf/sigmod/TatarinovVBSSZ02,304582
121,conf/sigmod/JonkerS95,304582
122,journals/tods/RaschidL96,304582
123,conf/vldb/YanA94,304582
124,conf/vldb/Sacks-Davis96,304582
125,conf/vldb/LakshmananSS99,304582
126,conf/vldb/KoschBBHHLRT01,304582
127,conf/sigmod/RodriguezR00,304582
128,journals/tods/LakshmananLRS97,304582
129,conf/vldb/OrensteinK95,304582
130,journals/sigmod/ACT-NET96,304582
131,conf/vldb/ChaudhuriW00,304582
132,journals/vldb/StonebrakerALPSSSY96,304582
133,conf/vldb/HsuLOMTX02,304582
134,conf/sigmod/ReveszCKLLW00,304582
135,conf/vldb/FerrandinaMZFM95,304582
136,conf/vldb/FerrandinaMZ94,304582
137,conf/vldb/ZhouLZLZJT01,304582
138,conf/sigmod/Team95,304582
139,journals/vldb/HansonCDERTX98,304582
140,conf/vldb/Vingralek02,304582
141,journals/sigmod/WenLMZ03,304582
142,journals/tods/BeneventanoBS03,304582
143,conf/sigmod/RadekeBBEKKN95,304582
144,conf/vldb/GotoK02,304582
145,conf/vldb/ColletCS94,304582
146,journals/sigmod/DadamK97,304582
147,journals/sigmod/ShethM02,304582
148,conf/vldb/GoodmanRS94,304582
149,journals/sigmod/OConnellW03,304582
150,conf/sigmod/VossenW99,304582
151,journals/sigmod/KappelR98,304582
152,journals/vldb/KabraD99,304582
153,conf/vldb/GehaniJR94,304582
154,journals/sigmod/McHughAGQW97,304582
155,journals/sigmod/Sidell96,304582
156,conf/vldb/LiuLBHTS03,304582
157,journals/sigmod/AndlerHEMBE96,304582
158,conf/sigmod/BohmA96,304582
159,conf/sigmod/Kim94,304582
160,conf/vldb/RamsakMFZEB00,304582
161,journals/sigmod/AilamakiH03,304582
162,journals/sigmod/ShanmugasundaramSKKVNT01,304582
163,journals/sigmod/DogacDKOONEHAKKM95,304582
