_id,ltable_id,rtable_id,ltable_title,ltable_authors,ltable_year,rtable_title,rtable_authors,rtable_year,gold
0,conf/sigmod/AbadiCCCCEGHMRSSTXYZ03,335476,Aurora: A Data Stream Management System,"Nesime Tatbul, Daniel J. Abadi, C. Erwin, Anurag Maskey, Mitch Cherniack, Alex Rasin, Christian Convey, A. Singer, Eduardo F. Galvez, R. Yan, Ugur etintemel, Ying Xing, Stanley B. Zdonik, Michael Stonebraker, Donald Carney, M. Hatoun",2003,Of XML and databases (panel session): where's the beef?,"Jennifer Widom, Adam Bosworth, Bruce Lindsay, Michael Stonebraker, Dan Suciu",2000,0
1,conf/sigmod/AbadiCCCCEGHMRSSTXYZ03,672966,Aurora: A Data Stream Management System,"Nesime Tatbul, Daniel J. Abadi, C. Erwin, Anurag Maskey, Mitch Cherniack, Alex Rasin, Christian Convey, A. Singer, Eduardo F. Galvez, R. Yan, Ugur etintemel, Ying Xing, Stanley B. Zdonik, Michael Stonebraker, Donald Carney, M. Hatoun",2003,An Empirical Performance Study of the Ingres Search Accelerator for a Large Property Management Database System,"Sarabjot S. Anand, David A. Bell, John G. Hughes",1994,0
2,conf/sigmod/AcharyaAFZ95,223816,Broadcast Disks: Data Management for Asymmetric Communications Environments,"Michael J. Franklin, Stanley B. Zdonik, Swarup Acharya, Rafael Alonso",1995,Broadcast disks: data management for asymmetric communication environments,"Swarup Acharya, Rafael Alonso, Michael Franklin, Stanley Zdonik",1995,1
3,conf/sigmod/AdaliBSS98,673639,A Multi-Similarity Algebra,"V. S. Subrahmanian, Sibel Adali, Maria Luisa Sapino, Piero A. Bonatti",1998,A Foundation for Multi-dimensional Databases,"Marc Gyssens, Laks V. S. Lakshmanan",1997,0
4,conf/sigmod/Adelberg98,276330,NoDoSE - A Tool for Semi-Automatically Extracting Semi-Structured Data from Text Documents,Brad Adelberg,1998,NoDoSE-a tool for semi-automatically extracting structured and semistructured data from text documents,Brad Adelberg,1998,1
5,conf/sigmod/AggarwalPWYP99,304188,Fast Algorithms for Projected Clustering,"Joel L. Wolf, Cecilia Magdalena Procopiuc, Jong Soo Park, Charu C. Aggarwal, Philip S. Yu",1999,Fast algorithms for projected clustering,"Charu C. Aggarwal, Joel L. Wolf, Philip S. Yu, Cecilia Procopiuc, Jong Soo Park",1999,1
6,conf/sigmod/AggarwalWY99,304218,A New Method for Similarity Indexing of Market Basket Data,"Joel L. Wolf, Charu C. Aggarwal, Philip S. Yu",1999,A new method for similarity indexing of market basket data,"Charu C. Aggarwal, Joel L. Wolf, Philip S. Yu",1999,1
7,conf/sigmod/AggarwalY00,335383,Finding Generalized Projected Clusters In High Dimensional Spaces,"Charu C. Aggarwal, Philip S. Yu",2000,Finding generalized projected clusters in high dimensional spaces,"Charu C. Aggarwal, Philip S. Yu",2000,1
8,conf/sigmod/AggarwalY01,375668,Outlier Detection for High Dimensional Data,"Charu C. Aggarwal, Philip S. Yu",2001,Outlier detection for high dimensional data,"Charu C. Aggarwal, Philip S. Yu",2001,1
9,conf/sigmod/AgichteinG03,872851,QXtract: A Building Block for Efficient Information Extraction from Plain-Text Databases,"Luis Gravano, Eugene Agichtein",2003,QXtract: a building block for efficient information extraction from text databases,"Eugene Agichtein, Luis Gravano",2003,1
10,conf/sigmod/AndersonBKW98,276347,"Replication, Consistency, and Practicality: Are These Mutually Exclusive?","Avishai Wool, Henry F. Korth, Yuri Breitbart, Todd A. Anderson",1998,"Replication, consistency, and practicality: are these mutually exclusive?","Todd Anderson, Yuri Breitbart, Henry F. Korth, Avishai Wool",1998,1
11,conf/sigmod/BaruFGHJPW95,223902,An Overview of DB2 Parallel Edition,"Walter G. Wilson, Ambuj Goyal, Sriram Padmanabhan, Gilles Fecteau, Anant Jhingran, Chaitanya K. Baru, Hui-I Hsiao",1995,Using the CALANDA time series management system,"Werner Dreyer, Angelika Kotz Dittrich, Duri Schmidt",1995,0
12,conf/sigmod/BerchtoldK98,276353,"High-Dimensional Index Structures, Database Support for Next Decade's Applications (Tutorial)","Daniel A. Keim, Stefan Berchtold",1998,High-dimensional index structures database support for next decade's applications (tutorial),"Stefan Berchtold, Daniel A. Keim",1998,1
13,conf/sigmod/BhargavaGI95,615213,Hypergraph Based Reorderings of Outer Join Queries with Complex Predicates,"Gautam Bhargava, Balakrishna R. Iyer, Piyush Goel",1995,The software information base: a server for reuse,"Panos Constantopoulos, Matthias Jarke, John Mylopoulos, Yannis Vassiliou",1995,0
14,conf/sigmod/Bierman03,872807,Formal semantics and analysis of object queries,Gavin M. Bierman,2003,Formal semantics and analysis of object queries,G. M. Bierman,2003,1
15,conf/sigmod/BilirisDGJR94,276388,ASSET: A System for Supporting Extended Transactions,"Narain H. Gehani, Krithi Ramamritham, Alexandros Biliris, H. V. Jagadish, Shaul Dar",1994,MultiMediaMiner: a system prototype for multimedia data mining,"Osmar R. Zaïane, Jiawei Han, Ze-Nian Li, Sonny H. Chee, Jenny Y. Chiang",1998,0
16,conf/sigmod/BonnetBCCCHKMMOSS99,765531,The Cornell Jaguar System: Adding Mobility to PREDATOR,"Zhiyuan Chen, Daniel Mahashin, Victor Cheng, Kyle Buza, Tobias Mayr, Hubert Siu, Randolph Chung, Ivan Oprencak, Philippe Bonnet, Takako M. Hickey, Praveen Seshadri, Ryan Kennedy",1999,Enhanced abstract data types in object-relational databases,Praveen Seshadri,1998,0
17,conf/sigmod/BraumandlKK99,304573,Database Patchwork on the Internet,"Reinhard Braumandl, Alfons Kemper, Donald Kossmann",1999,Database patchwork on the Internet,"Reinhard Braumandl, Alfons Kemper, Donald Kossmann",1999,1
18,conf/sigmod/Brewer98,276372,Delivering High Availability for Inktomi Search Engines,Eric A. Brewer,1998,Delivering high availability for Inktomi search engines,Eric A. Brewer,1998,1
19,conf/sigmod/BrinkhoffKSS94,191880,Multi-Step Processing of Spatial Joins,"Ralf Schneider, Thomas Brinkhoff, Bernhard Seeger, Hans-Peter Kriegel",1994,Multi-step processing of spatial joins,"Thomas Brinkhoff, Hans-Peter Kriegel, Ralf Schneider, Bernhard Seeger",1994,1
20,conf/sigmod/BrinkhoffKSS94a,191988,GENESYS: A System for Efficient Spatial Query Processing,"Thomas Brinkhoff, Hans-Peter Kriegel, Ralf Schneider, Bernhard Seeger",1994,GENESYS: a system for efficient spatial query processing,"Thomas Brinkhoff, Hans-Peter Kriegel, Ralf Schneider, Bernhard Seeger",1994,1
21,conf/sigmod/BryanMCLG94,191955,The MEDUSA Project: Autonomous Data Management in a Shared-Nothing Parallel Database Machine,"George M. Bryan, J. Geyer, Wayne E. Moore, B. J. Curry, K. W. Lodge",1994,The MEDUSA project: autonomous data management in a shared-nothing parallel database machine,"G. M. Bryan, W. E. Moore, B. J. Curry, K. W. Lodge, J. Geyer",1994,1
22,conf/sigmod/BryanMCLG94,309870,The MEDUSA Project: Autonomous Data Management in a Shared-Nothing Parallel Database Machine,"George M. Bryan, J. Geyer, Wayne E. Moore, B. J. Curry, K. W. Lodge",1994,Semantic and pedagogic interoperability mechanisms in the ARIADNE educational repository,"E. Forte, F. Haenni, K. Warkentyne, E. Duval, K. Cardinaels, E. Vervaet, K. Hendrikx, M. Wentland Forte, F. Simillion",1999,0
23,conf/sigmod/BumbulisB02,564753,A compact B-tree,"Ivan T. Bowman, Peter Bumbulis",2002,A compact B-tree,"Peter Bumbulis, Ivan T. Bowman",2002,1
24,conf/sigmod/BunemanDHS96,373697,A Query Language and Optimization Techniques for Unstructured Data,"Gerd G. Hillebrand, Peter Buneman, Susan B. Davidson, Dan Suciu",1996,Constraints for semistructured data and XML,"Peter Buneman, Wenfei Fan, Jérôme Siméon, Scott Weinstein",2001,0
25,conf/sigmod/CandanLLHA01,672041,Enabling Dynamic Content Caching for Database-Driven Web Sites,"Qiong Luo, Divyakant Agrawal, Wen-Syan Li, Wang-Pin Hsiung, K. Seluk Candan",2001,Form-Based Proxy Caching for Database-Backed Web Sites,"Qiong Luo, Jeffrey F. Naughton",2001,0
26,conf/sigmod/Carey94,191955,Parallel Database Systems in the 1990's,Michael J. Carey,1994,The MEDUSA project: autonomous data management in a shared-nothing parallel database machine,"G. M. Bryan, W. E. Moore, B. J. Curry, K. W. Lodge, J. Geyer",1994,0
27,conf/sigmod/CareyCNVDRSM99,304234,"O-O, What's Happening to DB2?","Richard Swagerman, Nelson Mendona Mattos, Michael J. Carey, Srinivasa Narayanan, Bennet Vance, Doug Doole, Serge Rielau, Donald D. Chamberlin",1999,"O-O, what's happening to DB2?","M. Carey, D. Chamberlin, D. Doole, S. Rielau, N. Mattos, S. Narayanan, B. Vance, R. Swagerman",1999,1
28,conf/sigmod/CatarciS01,223886,The Prototype of the DARE System,"Tiziana Catarci, Giuseppe Santucci",2001,The Algres testbed of CHIMERA: an active object-oriented database system,"Stefano Ceri, Piero Fraternali, Stefano Paraboschi, Giuseppe Psaila",1995,0
29,conf/sigmod/CeriFPP95,185828,The Algres Testbed of CHIMERA: An Active Object-Oriented Database System,"Giuseppe Psaila, Stefano Ceri, Stefano Paraboschi, Piero Fraternali",1995,Automatic generation of production rules for integrity maintenance,"Stefano Ceri, Piero Fraternali, Stefano Paraboschi, Letizia Tanca",1994,0
30,conf/sigmod/CeriFPP95,223886,The Algres Testbed of CHIMERA: An Active Object-Oriented Database System,"Giuseppe Psaila, Stefano Ceri, Stefano Paraboschi, Piero Fraternali",1995,The Algres testbed of CHIMERA: an active object-oriented database system,"Stefano Ceri, Piero Fraternali, Stefano Paraboschi, Giuseppe Psaila",1995,1
31,conf/sigmod/Chamberlin03,872877,XQuery: A Query Language for XML,Donald D. Chamberlin,2003,XQuery: a query language for XML,Don Chamberlin,2003,1
32,conf/sigmod/ChanI98,276336,Bitmap Index Design and Evaluation,"Yannis E. Ioannidis, Chee Yong Chan",1998,Bitmap index design and evaluation,"Chee-Yong Chan, Yannis E. Ioannidis",1998,1
33,conf/sigmod/ChanI99,950484,An Efficient Bitmap Encoding Scheme for Selection Queries,"Chee Yong Chan, Yannis E. Ioannidis",1999,RE-tree: an efficient index structure for regular expressions,"Chee-Yong Chan, Minos Garofalakis, Rajeev Rastogi",2003,0
34,conf/sigmod/ChaudhuriD97,253373,Data Warehousing and OLAP for Decision Support (Tutorial),"Surajit Chaudhuri, Umeshwar Dayal",1997,Data warehousing and OLAP for decision support,"Surajit Chaudhuri, Umeshwar Dayal",1997,1
35,conf/sigmod/ChaudhuriDN01,375694,"A Robust, Optimization-Based Approach for Approximate Answering of Aggregate Queries","Vivek R. Narasayya, Gautam Das, Surajit Chaudhuri",2001,"A robust, optimization-based approach for approximate answering of aggregate queries","Surajit Chaudhuri, Gautam Das, Vivek Narasayya",2001,1
36,conf/sigmod/ChaudhuriDY95,673153,Join Queries with External Text Sources: Execution and Optimization Techniques,"Umeshwar Dayal, Surajit Chaudhuri, Tak W. Yan",1995,Duplicate Removal in Information System Dissemination,"Tak W. Yan, Hector Garcia-Molina",1995,0
37,conf/sigmod/ChaudhuriG96,233323,Optimizing Queries over Multimedia Repositories,"Luis Gravano, Surajit Chaudhuri",1996,Optimizing queries over multimedia repositories,"Surajit Chaudhuri, Luis Gravano",1996,1
38,conf/sigmod/ChaudhuriG96,375774,Optimizing Queries over Multimedia Repositories,"Luis Gravano, Surajit Chaudhuri",1996,Snowball: a prototype system for extracting relations from large text collections,"Eugene Agichtein, Luis Gravano, Jeff Pavel, Viktoriya Sokolova, Aleksandr Voskoboynik",2001,0
39,conf/sigmod/ChaudhuriGN02,564747,Compressing SQL workloads,"Surajit Chaudhuri, Ashish Kumar Gupta, Vivek R. Narasayya",2002,Compressing SQL workloads,"Surajit Chaudhuri, Ashish Kumar Gupta, Vivek Narasayya",2002,1
40,conf/sigmod/ChaudhuriN98,276337,AutoAdmin 'What-if' Index Analysis Utility,"Surajit Chaudhuri, Vivek R. Narasayya",1998,AutoAdmin what-if index analysis utility,"Surajit Chaudhuri, Vivek Narasayya",1998,1
41,conf/sigmod/ChawatheG97,253266,Meaningful Change Detection in Structured Data,"Hector Garcia-Molina, Sudarshan S. Chawathe",1997,Meaningful change detection in structured data,"Sudarshan S. Chawathe, Hector Garcia-Molina",1997,1
42,conf/sigmod/ChawatheRGW96,765852,Change Detection in Hierarchically Structured Information,"Jennifer Widom, Sudarshan S. Chawathe, Hector Garcia-Molina, Anand Rajaraman",1996,Query processing and optimization in Oracle Rdb,"Gennady Antoshenkov, Mohamed Ziauddin",1996,0
43,conf/sigmod/CherniackZ96,233356,Rule Languages and Internal Algebras for Rule-Based Optimizers,"Mitch Cherniack, Stanley B. Zdonik",1996,Rule languages and internal algebras for rule-based optimizers,"Mitch Cherniack, Stanley B. Zdonik",1996,1
44,conf/sigmod/ChristophidesCS00,335395,On Wrapping Query Languages and Efficient XML Integration,"Jrme Simon, Vassilis Christophides, Sophie Cluet",2000,On wrapping query languages and efficient XML integration,"Vassilis Christophides, Sophie Cluet, Jérǒme Simèon",2000,1
45,conf/sigmod/CohenM03,872787,Spectral Bloom Filters,"Yossi Matias, Saar Cohen",2003,Spectral bloom filters,"Saar Cohen, Yossi Matias",2003,1
46,conf/sigmod/CookKWZ96,233358,"Semi-automatic, Self-adaptive Control of Garbage Collection Rates in Object Databases","Artur Klauser, Alexander L. Wolf, Benjamin G. Zorn, Jonathan E. Cook",1996,Evaluating queries with generalized path expressions,"Vassilis Christophides, Sophie Cluet, Guido Moerkotte",1996,0
47,conf/sigmod/CorralMTV00,335414,Closest Pair Queries in Spatial Databases,"Yannis Theodoridis, Yannis Manolopoulos, Antonio Corral, Michael Vassilakopoulos",2000,Closest pair queries in spatial databases,"Antonio Corral, Yannis Manolopoulos, Yannis Theodoridis, Michael Vassilakopoulos",2000,1
48,conf/sigmod/DasGR03,375665,Approximate Join Processing Over Data Streams,"Johannes Gehrke, Abhinandan Das, Mirek Riedewald",2003,On computing correlated aggregates over continual data streams,"Johannes Gehrke, Flip Korn, Divesh Srivastava",2001,0
49,conf/sigmod/DeutschFS99,304220,Storing Semistructured Data with STORED,"Alin Deutsch, Mary F. Fernandez, Dan Suciu",1999,Storing semistructured data with STORED,"Alin Deutsch, Mary Fernandez, Dan Suciu",1999,1
50,conf/sigmod/DraperHW01,945732,The Nimble Integration Engine,"Daniel S. Weld, Alon Y. Halevy, Denise Draper",2001,The Piazza peer data management project,"Igor Tatarinov, Zachary Ives, Jayant Madhavan, Alon Halevy, Dan Suciu, Nilesh Dalvi, Xin (Luna) Dong, Yana Kadiyska, Gerome Miklau, Peter Mork",2003,0
51,conf/sigmod/Englert94,191945,NonStop SQL: Scalability and Availability for Decision Support,Susanne Englert,1994,Nonstop SQL: scalability and availability for decision support,Susanne Englert,1994,1
52,conf/sigmod/FegarasSRM00,335494,lambda-DB: An ODMG-Based Object-Oriented DBMS,"Arvind Rajendran, David Maier, Leonidas Fegaras, Chandrasekhar Srinivasan",2000,lambda-DB: an ODMG-based object-oriented DBMS,"Leonidas Fegaras, Chandrasekhar Srinivasan, Arvind Rajendran, David Maier",2000,1
53,conf/sigmod/FernandezS96,233346,The Ins and Outs (and Everthing in Between) of Data Warehousing,"Donovan A. Schneider, Phillip M. Fernandez",1996,Safe and efficient sharing of persistent objects in Thor,"B. Liskov, A. Adya, M. Castro, S. Ghemawat, R. Gruber, U. Maheshwari, A. C. Myers, M. Day, L. Shrira",1996,0
54,conf/sigmod/FernandezS96,775454,The Ins and Outs (and Everthing in Between) of Data Warehousing,"Donovan A. Schneider, Phillip M. Fernandez",1996,Complex relationships and knowledge discovery support in the InfoQuilt system,"A. Sheth, S. Thacker, S. Patel",2003,0
55,conf/sigmod/FlorescuGKR02,564779,XL: a platform for web services,"Andreas Grnhagen, Steffen Rost, Donald Kossmann, Daniela Florescu",2002,XL: a platform for web services,"Daniela Florescu, Andreas Grünhagen, Donald Kossmann, Steffen Rost",2002,1
