id,title,authors,venue,paper year
r0,An efficient bitmap encoding scheme for selection queries,"Chee-Yong Chan, Yannis E. Ioannidis",International Conference on Management of Data,1999
r1,Integrating a Structured-Text Retrieval System with an Object-Oriented Database System,"Tak W. Yan, Jurgen Annevelink",Very Large Data Bases,1994
r2,Nearest neighbor queries,"Nick Roussopoulos, Stephen Kelley, Frédéric Vincent",International Conference on Management of Data,1995
r3,The LyriC language: querying constraint objects,"Alexander Brodsky, Yoram Kornatzky",International Conference on Management of Data,1995
r4,E.piphany Epicenter Technology Overview,Sridhar Ramaswamy,Very Large Data Bases,2000
r5,Factorizing complex predicates in queries to exploit indexes,"Surajit Chaudhuri, Prasanna Ganesan, Sunita Sarawagi",International Conference on Management of Data,2003
r6,Concurrency control in hierarchical multidatabase systems,"Sharad Mehrotra, Henry F. Korth, Avi Silberschatz",The VLDB Journal — The International Journal on Very Large Data Bases,1997
r7,Using quantitative information for efficient association rule generation,"B. Pôssas, M. Carvalho, R. Resende, W. Meita, Jr.",ACM SIGMOD Record,2000
r8,"Physical Data Independence, Constraints, and Optimization with Universal Plans","Alin Deutsch, Lucian Popa, Val Tannen",Very Large Data Bases,1999
r9,The Structured Information Manager: A Database System for SGML Documents,Ron Sacks-Davis,Very Large Data Bases,1996
r10,SERFing the Web: web site management made easy,"Elke A. Rundensteiner, Kajal T. Claypool, Li Chen, Hong Su, Keiji Oenoki",International Conference on Management of Data,2000
r11,MindReader: Querying Databases Through Multiple Examples,"Yoshiharu Ishikawa, Ravishankar Subramanya, Christos Faloutsos",Very Large Data Bases,1998
r12,Query unnesting in object-oriented databases,Leonidas Fegaras,International Conference on Management of Data,1998
r13,Analysis of n-Dimensional Quadtrees using the Hausdorff Fractal Dimension,"Christos Faloutsos, Volker Gaede",Very Large Data Bases,1997
r14,"Database research at the Indian Institute of Technology, Bombay","D. B. Phatak, N. L. Sarda, S. Seshadri, S. Sudarshan",ACM SIGMOD Record,1996
