_id,ltable.id,rtable.id,ltable.authors,ltable.title,ltable.venue,ltable.year,rtable.authors,rtable.title,rtable.venue,rtable.year,gold
0,conf/sigmod/AbadiCCCCEGHMRSSTXYZ03,335476,"Nesime Tatbul, Daniel J. Abadi, C. Erwin, Anurag Maskey, Mitch Cherniack, Alex Rasin, Christian Convey, A. Singer, Eduardo F. Galvez, R. Yan, Ugur etintemel, Ying Xing, Stanley B. Zdonik, Michael Stonebraker, Donald Carney, M. Hatoun",Aurora: A Data Stream Management System,SIGMOD Conference,2003.0,"Jennifer Widom, Adam Bosworth, Bruce Lindsay, Michael Stonebraker, Dan Suciu",Of XML and databases (panel session): where's the beef?,International Conference on Management of Data,2000,0
1,conf/sigmod/AbadiCCCCEGHMRSSTXYZ03,672966,"Nesime Tatbul, Daniel J. Abadi, C. Erwin, Anurag Maskey, Mitch Cherniack, Alex Rasin, Christian Convey, A. Singer, Eduardo F. Galvez, R. Yan, Ugur etintemel, Ying Xing, Stanley B. Zdonik, Michael Stonebraker, Donald Carney, M. Hatoun",Aurora: A Data Stream Management System,SIGMOD Conference,2003.0,"Sarabjot S. Anand, David A. Bell, John G. Hughes",An Empirical Performance Study of the Ingres Search Accelerator for a Large Property Management Database System,Very Large Data Bases,1994,0
2,conf/sigmod/AcharyaAFZ95,223816,"Michael J. Franklin, Stanley B. Zdonik, Swarup Acharya, Rafael Alonso",Broadcast Disks: Data Management for Asymmetric Communications Environments,SIGMOD Conference,1995.0,"Swarup Acharya, Rafael Alonso, Michael Franklin, Stanley Zdonik",Broadcast disks: data management for asymmetric communication environments,International Conference on Management of Data,1995,1
3,conf/sigmod/AdaliBSS98,673639,"V. S. Subrahmanian, Sibel Adali, Maria Luisa Sapino, Piero A. Bonatti",A Multi-Similarity Algebra,SIGMOD Conference,1998.0,"Marc Gyssens, Laks V. S. Lakshmanan",A Foundation for Multi-dimensional Databases,Very Large Data Bases,1997,0
4,conf/sigmod/Adelberg98,276330,Brad Adelberg,NoDoSE - A Tool for Semi-Automatically Extracting Semi-Structured Data from Text Documents,SIGMOD Conference,1998.0,Brad Adelberg,NoDoSE-a tool for semi-automatically extracting structured and semistructured data from text documents,International Conference on Management of Data,1998,1
5,conf/sigmod/AggarwalPWYP99,304188,"Joel L. Wolf, Cecilia Magdalena Procopiuc, Jong Soo Park, Charu C. Aggarwal, Philip S. Yu",Fast Algorithms for Projected Clustering,SIGMOD Conference,1999.0,"Charu C. Aggarwal, Joel L. Wolf, Philip S. Yu, Cecilia Procopiuc, Jong Soo Park",Fast algorithms for projected clustering,International Conference on Management of Data,1999,1
6,conf/sigmod/AggarwalWY99,304218,"Joel L. Wolf, Charu C. Aggarwal, Philip S. Yu",A New Method for Similarity Indexing of Market Basket Data,SIGMOD Conference,1999.0,"Charu C. Aggarwal, Joel L. Wolf, Philip S. Yu",A new method for similarity indexing of market basket data,International Conference on Management of Data,1999,1
7,conf/sigmod/AggarwalY00,335383,"Charu C. Aggarwal, Philip S. Yu",Finding Generalized Projected Clusters In High Dimensional Spaces,SIGMOD Conference,2000.0,"Charu C. Aggarwal, Philip S. Yu",Finding generalized projected clusters in high dimensional spaces,International Conference on Management of Data,2000,1
8,conf/sigmod/AggarwalY01,375668,"Charu C. Aggarwal, Philip S. Yu",Outlier Detection for High Dimensional Data,SIGMOD Conference,2001.0,"Charu C. Aggarwal, Philip S. Yu",Outlier detection for high dimensional data,International Conference on Management of Data,2001,1
9,conf/sigmod/AgichteinG03,872851,"Luis Gravano, Eugene Agichtein",QXtract: A Building Block for Efficient Information Extraction from Plain-Text Databases,SIGMOD Conference,2003.0,"Eugene Agichtein, Luis Gravano",QXtract: a building block for efficient information extraction from text databases,International Conference on Management of Data,2003,1
10,conf/sigmod/AndersonBKW98,276347,"Avishai Wool, Henry F. Korth, Yuri Breitbart, Todd A. Anderson","Replication, Consistency, and Practicality: Are These Mutually Exclusive?",SIGMOD Conference,1998.0,"Todd Anderson, Yuri Breitbart, Henry F. Korth, Avishai Wool","Replication, consistency, and practicality: are these mutually exclusive?",International Conference on Management of Data,1998,1
11,conf/sigmod/BaruFGHJPW95,223902,"Walter G. Wilson, Ambuj Goyal, Sriram Padmanabhan, Gilles Fecteau, Anant Jhingran, Chaitanya K. Baru, Hui-I Hsiao",An Overview of DB2 Parallel Edition,SIGMOD Conference,1995.0,"Werner Dreyer, Angelika Kotz Dittrich, Duri Schmidt",Using the CALANDA time series management system,International Conference on Management of Data,1995,0
12,conf/sigmod/BerchtoldK98,276353,"Daniel A. Keim, Stefan Berchtold","High-Dimensional Index Structures, Database Support for Next Decade's Applications (Tutorial)",SIGMOD Conference,1998.0,"Stefan Berchtold, Daniel A. Keim",High-dimensional index structures database support for next decade's applications (tutorial),International Conference on Management of Data,1998,1
13,conf/sigmod/BhargavaGI95,615213,"Gautam Bhargava, Balakrishna R. Iyer, Piyush Goel",Hypergraph Based Reorderings of Outer Join Queries with Complex Predicates,SIGMOD Conference,1995.0,"Panos Constantopoulos, Matthias Jarke, John Mylopoulos, Yannis Vassiliou",The software information base: a server for reuse,The VLDB Journal  The International Journal on Very Large Data Bases,1995,0
14,conf/sigmod/Bierman03,872807,Gavin M. Bierman,Formal semantics and analysis of object queries,SIGMOD Conference,2003.0,G. M. Bierman,Formal semantics and analysis of object queries,International Conference on Management of Data,2003,1
15,conf/sigmod/BilirisDGJR94,276388,"Narain H. Gehani, Krithi Ramamritham, Alexandros Biliris, H. V. Jagadish, Shaul Dar",ASSET: A System for Supporting Extended Transactions,SIGMOD Conference,1994.0,"Osmar R. Zaane, Jiawei Han, Ze-Nian Li, Sonny H. Chee, Jenny Y. Chiang",MultiMediaMiner: a system prototype for multimedia data mining,International Conference on Management of Data,1998,0
16,conf/sigmod/BonnetBCCCHKMMOSS99,765531,"Zhiyuan Chen, Daniel Mahashin, Victor Cheng, Kyle Buza, Tobias Mayr, Hubert Siu, Randolph Chung, Ivan Oprencak, Philippe Bonnet, Takako M. Hickey, Praveen Seshadri, Ryan Kennedy",The Cornell Jaguar System: Adding Mobility to PREDATOR,SIGMOD Conference,1999.0,Praveen Seshadri,Enhanced abstract data types in object-relational databases,The VLDB Journal  The International Journal on Very Large Data Bases,1998,0
