id1,id2
395,1768
1234,12408
1341,8497
1093,13748
1719,12857
596,14870
1906,7801
595,20844
1785,11404
2104,2964
723,12996
469,20646
475,18530
2156,4510
1973,3591
1535,1091
2508,5039
932,6452
524,7631
1559,4509
1267,4233
2122,4433
538,791
1386,17537
1467,13593
1844,9692
2244,482
1154,13246
1923,20241
2344,4785
2041,9551
1642,11045
2333,18201
1479,1767
1965,14804
1502,5286
1440,19655
2325,20694
1418,7249
2141,6966
314,8871
425,8535
2107,1254
1611,10451
247,19032
89,3270
1316,7784
499,5578
1629,6289
1194,4494
331,16953
640,7372
1008,11117
2202,17199
1146,4788
2409,6809
1397,2439
2197,19485
604,21732
1937,18141
2230,14756
2220,246
318,1083
247,13590
1316,15123
2232,17840
1108,12701
710,1097
89,18981
786,10846
2089,22026
1317,4507
1950,17303
1705,16232
337,20175
195,20940
2015,11741
2210,17163
1698,16579
1695,20398
2095,15248
1704,17702
432,18465
854,6748
1721,20523
2417,5900
236,21784
726,16801
397,7150
1209,18171
222,16625
541,9384
1164,6863
2093,13768
1696,17275
1288,15034
1335,8619
34,11684
1885,17579
1529,16917
1935,9579
837,8740
1209,3255
1719,8846
1652,13805
2406,18333
1281,7638
2483,19120
863,5783
92,17688
865,11895
348,14459
740,11688
484,9131
1002,6639
560,20714
532,19818
322,20698
2365,16367
1427,10693
551,19540
81,6527
2018,16794
320,21484
2354,13477
1125,15648
115,9224
1238,6975
109,12442
2005,19521
1791,19801
2379,11831
482,14854
35,3068
1483,8567
1523,21030
464,11441
585,966
1023,12117
2528,13283
562,18153
1143,14278
646,6761
1608,13173
2482,6886
2408,12312
1909,20112
1695,11027
16,4283
377,9390
927,4427
2517,20310
1109,10673
455,1892
1371,5173
1578,13541
2409,5519
2520,2669
1263,12735
1500,4638
2370,20053
2441,6644
1928,19027
1749,17508
1360,1904
206,10518
858,7348
1861,5561
503,11436
1803,14925
477,2718
2543,6691
150,8944
1775,18403
1039,5011
1110,6058
1031,10556
2156,17865
2015,9457
1039,19036
2532,19977
40,10873
1844,4901
2148,2888
921,3247
743,8236
1618,2749
586,14868
1300,14224
1883,10855
2014,9227
66,7157
481,377
2240,327
1012,13414
612,8430
1178,20812
192,1244
545,13665
462,18390
738,6760
543,13160
1218,5250
1856,12475
515,14882
70,14642
87,7611
1892,15305
2512,21504
262,5193
976,13423
2057,3068
2200,18139
2361,7250
2191,2311
1682,13298
194,19881
1219,5268
8,1304
21,16838
1064,3146
100,4521
2267,1617
1150,9482
1505,4818
862,11943
1718,17262
2316,9549
636,7146
4,4379
1530,1442
2217,17495
2134,8991
448,13175
79,12348
1071,18621
1770,5883
1135,8790
202,6829
1316,21113
1401,14944
811,1481
2509,11583
65,8392
416,17244
54,17893
1067,8298
556,19010
830,8898
108,12091
2211,16561
1149,16757
984,18365
2245,595
