id,title,category,brand,modelno,price,proddescrlong
0,draper infrared remote transmitter,electronics - general,draper,121066,58.45,dr1143infrared transmitter. 3-button operation for instant access to up down and stop functions. fully compatible with learnable ir master control systems. receiver sold seperately plugs into the draper low-voltage control unit lvc-iii sold separately .
1,epson 1500 hours 200w uhe projector lamp elplp12,monitors,epson,elplp12,438.84,epson elplp12 1500hrs 200v repl lamp for lamp powerlite for 7700p 5600p 7600 features lamp life 1500 hour manufacturer epson corporation compatible devices lcd manufacturer part number elplp12 manufacturer website address www.epson.com product name replacement lamp package type retail product type 200w uhe projector lamp tech specs manufacturer epson corporation manufacturer part number elplp12 shipping dimensions 5.25 depth manufacturer website address www.epson.com lamp life 1500 hour compatibility epson powerlite 7700p projector epson powerlite 7600p projector epson powerlite 5600p projector compatible devices lcd product name replacement lamp shipping weight 1 lb package type retail product type 200w uhe projector lamp
2,comprehensive two-piece 75 precision bnc jack for rg-59 set of 25,tv accessories,comprehensive,bj-2c7559,59.25,ch1151comprehensive s true 75 connectors eliminate impedance mismatching and distortion that can be caused by using 50 connectors on 75 cable. true 75 bnc connectors are a must for all digital high bandwidth applications above 300 mhz and recommended for all analog applications. a lifetime warranty makes comprehensive connectors the preferred choice of video multimedia consultants and engineers worldwide. specifications electrical impedance 75 ohm freq. range 0-4 ghz w low reflection 500v peak 1.3 max. thermal limits usable to 11 ghz voltage rating pe insulators -55 degrees c to 85 degrees c mechanical mating 2-stud bayonet lock coupling per m39012 center contact captivated center contact cable retention crimps 20 to 50 lbs material center contacts male female brass beryllium copper body brass astroplate finish crimp ferrule copper insulators tfe teflon 75 all crimps rexolite derlin 50 glass ife hermetically sealed clamp gaskets synthetic rubber silicone rubber boots o ring crimp silicone rubber heat shrink tubing all other crimps thermofit plastic comprehensive offers a lifetime warranty on all products
3,d-link dcs-1100 network camera,garden - general,d-link,dcs-1100,99.82,surveillance network camera built-in omni-directional microphone supports 4 profiles simultaneously adjustable image size and quality time stamp and text overlay three configurable motion detection windows flip and mirror
4,startech.com rkpw247015 24 outlet power strip,electronics - general,startech,rkpw247015,59.0,24 outlet power strip solution for your rackmount equipment fits most 42u racks and equipment cabinets 10 ft. power cord provides plenty of reach to power outlets 24 evenly spaced outlets help keep power cabling clean and efficiently routed
5,3m fr530cb ergonomic adjustable footrest,furniture,3m,fr530cb,67.88,material steel features non-skid color charcoal black
6,hp c6020b coated paper 1 roll 36-inches x 150 ft,stationery &amp; office machinery,hp,c6020b,49.88,bright white coated paper for use with inkjet printers ideal for color-accurate prints and design proofs coated paper has exceptional bleed control and high resolution for clear sharp images 1 roll - 36 x 150
7,visioneer rw120-wu roadwarrior sheetfed scanner,electronics - general,visioneer,rw120-wu,199.98,sheetfed color scanner lightweight and portable 600 dpi usb connection compatible with windows 2000 and windows xp
8,brother dk2113 ql label printers continuous length tape,stationery &amp; office machinery,brother,dk2113,64.88,clear label tape ideal for sign and banner creation for use with brother p-touch label printers ql-500 ql-550 and ql-650td 1 roll - 2.44 x 50
9,3m mw310le gel mouse pad,electronics - general,3m,mw310le,17.88,mouse pad features antimicrobial non-skid base color black
10,lacie formoa 15 macbook carrying case black,electronics - general,lacie,130935,15.0,key features bubble protection and soft inside lining three pockets optional handle for 15 in. macbooks color black
