_id,ltable_id,rtable_id
0,2038,25
1,216,31
2,2395,31
3,420,31
4,430,31
5,1130,31
6,684,59
7,2079,69
8,529,77
9,2140,102
10,226,108
11,1456,111
12,216,125
13,1130,125
14,2038,130
15,2261,190
16,913,190
17,1700,230
18,1712,230
19,23,233
20,1173,255
21,1593,268
22,685,281
23,414,285
24,54,287
25,2221,287
26,2333,287
27,2390,287
28,2431,287
29,418,287
30,2472,287
31,2473,287
32,2505,287
33,562,287
34,577,287
35,626,287
36,627,287
37,701,287
38,823,287
39,853,287
40,968,287
41,1061,287
42,1133,287
43,1179,287
44,1258,287
45,1297,287
46,1606,287
47,1960,287
48,2021,287
49,1712,290
50,1690,290
51,1696,290
52,1700,290
53,782,290
54,399,290
55,1534,290
56,1690,293
57,1700,293
58,531,303
59,2221,305
60,2390,305
61,2431,305
62,562,305
63,577,305
64,701,305
65,1133,305
66,1179,305
67,1258,305
68,1606,305
69,1960,305
70,2021,305
71,1690,308
72,1700,308
73,1712,308
74,782,308
75,399,308
76,1173,309
77,1294,323
78,1690,328
79,2255,346
80,1469,356
81,341,364
82,1405,364
83,916,364
84,486,364
85,347,380
86,1169,380
87,212,401
88,2430,402
89,1564,431
90,758,449
91,2038,541
92,1074,549
93,600,549
94,325,549
95,2038,549
96,1074,550
97,600,550
98,325,550
99,1074,551
100,2038,551
101,493,552
102,325,553
103,2440,553
104,600,553
105,1074,553
106,1183,553
107,1354,553
108,1730,553
109,600,557
110,325,557
111,2245,595
112,1137,607
113,1828,615
114,2396,615
115,383,615
116,2396,616
117,383,616
118,1828,616
119,2396,617
120,100,617
121,383,617
122,1828,617
123,1828,632
124,2396,632
125,383,632
126,1512,635
127,100,636
128,2294,636
129,1512,636
130,1967,657
131,1469,673
132,1349,676
133,1762,676
134,216,677
135,1130,677
136,216,678
137,1130,678
138,1349,679
139,1762,679
140,1130,680
141,1762,682
142,1531,691
143,2207,702
144,1181,702
145,2207,703
146,1181,703
147,216,743
148,1130,743
149,2437,761
150,1427,761
151,1508,761
152,2049,769
153,2083,769
154,93,769
155,215,769
156,2298,769
157,2529,769
158,490,769
159,2542,769
160,702,769
161,824,769
162,854,769
163,1134,769
164,1493,769
165,1572,769
166,1832,769
167,1181,788
168,1181,789
169,703,801
170,788,801
171,167,802
172,2221,802
173,2431,802
174,2472,802
175,626,802
176,701,802
177,853,802
178,1061,802
179,1960,802
180,888,804
181,2224,805
182,54,806
183,167,806
184,2221,806
185,2333,806
186,2431,806
187,418,806
188,2472,806
189,2473,806
190,2505,806
191,562,806
192,626,806
193,627,806
194,701,806
195,823,806
196,853,806
197,968,806
198,1061,806
199,1133,806
200,1258,806
201,1297,806
202,1606,806
203,1960,806
204,2021,806
205,54,807
206,167,807
207,2221,807
208,2333,807
209,2390,807
210,2431,807
211,418,807
212,2505,807
213,2472,807
214,562,807
215,577,807
216,701,807
217,968,807
218,1061,807
219,1133,807
220,1179,807
221,1258,807
222,1606,807
223,1960,807
224,2021,807
225,2116,810
226,2392,810
227,1533,810
228,124,819
229,2362,821
230,2390,821
231,2473,821
232,2505,821
233,562,821
234,577,821
235,626,821
236,823,821
237,968,821
238,1133,821
239,1179,821
240,1258,821
241,1297,821
242,2021,821
243,1130,858
244,2150,872
245,1146,872
246,2230,872
247,689,872
248,1466,872
249,689,874
250,1122,874
251,2150,874
252,2230,874
253,1146,874
254,1466,874
255,1488,889
256,1074,892
257,1938,893
258,1469,934
259,177,952
260,216,952
261,673,952
262,1928,952
263,1980,956
264,398,958
265,1980,958
266,585,966
267,1361,995
268,1156,1011
269,685,1056
270,1531,1056
271,866,1081
272,1535,1091
273,710,1097
274,1078,1100
275,580,1101
276,709,1102
277,1243,1114
278,1227,1130
279,1466,1130
280,1227,1135
281,1466,1135
282,1974,1140
283,173,1153
284,1894,1159
285,349,1188
286,349,1189
287,349,1190
288,349,1191
289,2252,1196
290,905,1196
291,2038,1210
292,2038,1211
293,2038,1213
294,100,1220
295,2396,1220
296,383,1220
297,1828,1220
298,1294,1221
299,2250,1238
300,1283,1241
301,2107,1254
302,1188,1255
303,1932,1259
304,1155,1284
305,2395,1285
306,420,1285
307,1142,1285
308,1155,1286
309,1155,1287
310,1155,1288
311,1155,1289
312,1531,1290
313,2091,1302
314,2145,1307
315,2225,1307
316,245,1307
317,2391,1307
318,2113,1307
319,419,1307
320,2542,1307
321,666,1307
322,995,1307
323,1130,1309
324,548,1310
325,216,1314
326,216,1320
327,1211,1325
328,459,1338
329,1298,1344
330,712,1346
331,23,1348
332,710,1396
333,2243,1476
334,1590,1479
335,1188,1526
336,1227,1526
337,1229,1526
338,1466,1526
339,1690,1548
340,1696,1548
341,1700,1548
342,1712,1548
343,1762,1586
344,1514,1593
345,1814,1608
346,2087,1610
347,2124,1610
348,100,1610
349,1210,1610
350,1122,1610
351,2150,1610
352,1146,1610
353,1188,1610
354,689,1610
355,2230,1610
356,1228,1610
357,2294,1610
358,2304,1610
359,1409,1610
360,1828,1610
361,2344,1610
362,2396,1610
363,383,1610
364,2442,1610
365,2482,1610
366,1466,1610
367,1512,1610
368,510,1610
369,897,1633
370,2549,1649
371,1654,1650
372,524,1658
373,599,1658
374,38,1660
375,2237,1663
376,548,1665
377,1271,1692
378,548,1693
379,2238,1697
380,316,1728
381,123,1750
382,334,1750
383,880,1750
384,989,1750
385,1601,1750
386,325,1779
387,2038,1779
388,103,1792
389,2261,1792
390,2124,1794
391,2124,1795
392,510,1795
393,2124,1796
394,510,1796
395,2124,1797
396,510,1797
397,2124,1798
398,1227,1798
399,1229,1798
400,510,1798
401,2124,1799
402,510,1799
403,510,1800
404,2299,1818
405,504,1818
406,636,1818
407,1409,1818
408,244,1832
409,1093,1832
410,684,1850
411,2396,1850
412,636,1851
413,684,1851
414,100,1852
415,636,1852
416,684,1852
417,1828,1852
418,636,1855
419,1512,1855
420,504,1855
421,1469,1870
422,1552,1890
423,1055,1905
424,1594,1905
425,1893,1905
426,611,1905
427,1140,1905
428,1167,1905
429,735,1905
430,1765,1905
431,791,1905
432,1819,1905
433,339,1905
434,1365,1905
435,350,1905
436,351,1905
437,1434,1905
438,1352,1905
439,1955,1905
440,2046,1905
441,533,1942
442,832,1942
443,2128,1952
444,2207,1980
445,2299,1985
446,1059,1987
447,1268,1987
448,2468,1988
449,1059,1988
450,1268,1988
451,24,2010
452,216,2022
453,1130,2022
454,1224,2026
455,2256,2026
456,2263,2026
457,1946,2026
458,1023,2026
459,221,2036
460,350,2036
461,458,2036
462,569,2036
463,735,2036
464,778,2036
465,960,2036
466,1140,2036
467,1541,2036
468,2017,2036
469,2207,2046
470,1181,2046
471,524,2066
472,599,2066
473,794,2073
474,2256,2075
475,533,2075
476,794,2075
477,1226,2075
478,2002,2075
479,2128,2106
480,2503,2106
481,533,2168
482,930,2168
483,2002,2168
484,103,2212
485,2261,2212
486,913,2212
487,1425,2226
488,689,2255
489,1210,2255
490,1409,2255
491,1059,2262
492,1464,2262
493,2539,2280
494,1181,2292
495,24,2340
496,24,2346
497,2408,2347
498,16,2353
499,2430,2353
500,700,2353
501,216,2383
502,216,2384
503,758,2408
504,758,2409
505,758,2410
506,38,2441
507,1469,2486
508,896,2493
509,1074,2520
510,1074,2521
511,325,2523
512,1074,2523
513,2038,2523
514,1074,2524
515,184,2535
516,2396,2579
517,100,2579
518,1828,2579
519,383,2580
520,383,2583
521,1828,2584
522,2396,2584
523,383,2584
524,1828,2585
525,2396,2585
526,383,2585
527,100,2610
528,2294,2610
529,1946,2633
530,2157,2643
531,533,2646
532,1590,2646
533,1469,2665
534,1469,2666
535,216,2667
536,1130,2667
537,1469,2668
538,1349,2670
539,1762,2670
540,216,2671
541,1130,2671
542,216,2672
543,1130,2672
544,1762,2672
545,216,2673
546,1130,2673
547,2049,2690
548,2083,2690
549,93,2690
550,2225,2690
551,215,2690
552,2298,2690
553,2391,2690
554,419,2690
555,2474,2690
556,2542,2690
557,628,2690
558,666,2690
559,703,2690
560,788,2690
561,824,2690
562,887,2690
563,994,2690
564,995,2690
565,1134,2690
566,1136,2690
567,1533,2690
568,1572,2690
569,595,2710
570,470,2721
571,216,2733
572,1130,2733
573,1188,2734
574,2433,2755
575,702,2755
576,1063,2755
577,1426,2755
578,1832,2755
579,1696,2757
580,1181,2775
581,1181,2778
582,1414,2789
583,2468,2809
584,1464,2809
585,2083,2812
586,93,2812
587,2298,2812
588,1136,2812
589,1572,2812
590,54,2819
591,2225,2819
592,2333,2819
593,2362,2819
594,2364,2819
595,2390,2819
596,2431,2819
597,418,2819
598,2473,2819
599,2505,2819
600,577,2819
601,626,2819
602,627,2819
603,701,2819
604,823,2819
605,853,2819
606,968,2819
607,994,2819
608,1179,2819
609,1297,2819
610,1606,2819
611,54,2820
612,167,2820
613,2221,2820
614,2333,2820
615,2362,2820
616,2431,2820
617,418,2820
618,2505,2820
619,2472,2820
620,562,2820
621,626,2820
622,701,2820
623,823,2820
624,968,2820
625,1061,2820
626,1133,2820
627,1258,2820
628,1606,2820
629,1960,2820
630,2021,2820
631,2113,2822
632,2225,2822
633,2391,2822
634,463,2822
635,666,2822
636,787,2822
637,2049,2823
638,2083,2823
639,93,2823
640,215,2823
641,2298,2823
642,419,2823
643,2474,2823
644,490,2823
645,2542,2823
646,628,2823
647,703,2823
648,788,2823
649,824,2823
650,854,2823
651,994,2823
652,995,2823
653,1134,2823
654,1136,2823
655,1572,2823
656,2113,2828
657,2115,2828
658,93,2828
659,2145,2828
660,2223,2828
661,2225,2828
662,2083,2828
663,245,2828
664,2298,2828
665,2364,2828
666,2391,2828
667,463,2828
668,613,2828
669,628,2828
670,666,2828
671,787,2828
672,887,2828
673,994,2828
674,1259,2828
675,1533,2828
676,1572,2828
677,2049,2829
678,2083,2829
679,41,2829
680,2114,2829
681,2116,2829
682,93,2829
683,2225,2829
684,215,2829
685,2298,2829
686,328,2829
687,2392,2829
688,2435,2829
689,628,2829
690,703,2829
691,788,2829
692,887,2829
693,1062,2829
694,1533,2829
695,1572,2829
696,2113,2830
697,2115,2830
698,463,2830
699,613,2830
700,666,2830
701,787,2830
702,1074,2848
703,2038,2850
704,1130,2858
705,216,2860
706,1130,2860
707,2150,2868
708,2230,2868
709,2344,2868
710,689,2868
711,1146,2868
712,1466,2868
713,1575,2868
714,2150,2869
715,2230,2869
716,2344,2869
717,689,2869
718,1146,2869
719,1466,2869
720,1575,2869
721,100,2870
722,2150,2870
723,2230,2870
724,2344,2870
725,689,2870
726,1146,2870
727,1466,2870
728,1575,2870
729,1828,2870
730,60,2871
731,2124,2871
732,2150,2871
733,2230,2871
734,2344,2871
735,2396,2871
736,383,2871
737,510,2871
738,689,2871
739,1122,2871
740,1146,2871
741,1188,2871
742,1210,2871
743,1409,2871
744,1466,2871
745,1575,2871
746,1828,2871
747,2150,2872
748,1146,2872
749,2230,2872
750,689,2872
751,1409,2872
752,1466,2872
753,2087,2873
754,60,2873
755,100,2873
756,2230,2873
757,2294,2873
758,2344,2873
759,2482,2873
760,2150,2873
761,689,2873
762,1122,2873
763,1146,2873
764,1188,2873
765,1210,2873
766,1227,2873
767,1229,2873
768,1466,2873
769,1512,2873
770,1575,2873
771,1828,2873
772,2038,2878
773,2038,2883
774,325,2885
775,1938,2885
776,2038,2885
777,325,2886
778,1938,2886
779,2038,2886
780,2038,2887
781,177,2945
782,673,2945
783,1928,2945
784,216,2946
785,711,2946
786,1974,2946
787,216,2949
788,398,2950
789,1980,2950
790,216,2951
791,398,2951
792,1130,2951
793,1980,2951
794,185,2960
795,2104,2964
796,819,2983
797,37,2992
798,1045,3010
799,2427,3073
800,1532,3073
801,412,3074
802,723,3098
803,216,3099
804,709,3129
805,196,3130
806,2261,3130
807,2064,3141
808,2193,3145
809,1974,3156
810,216,3164
811,1130,3164
812,388,3170
813,349,3180
814,2038,3195
815,712,3220
816,1188,3233
817,1932,3235
818,1349,3245
819,1762,3245
820,1814,3254
821,1209,3255
822,2078,3262
823,89,3270
824,1155,3272
825,216,3274
826,420,3274
827,430,3274
828,1130,3274
829,216,3276
830,420,3276
831,430,3276
832,1130,3276
833,420,3277
834,999,3278
835,1155,3278
836,595,3284
837,196,3284
838,2091,3292
839,2091,3293
840,2145,3297
841,2225,3297
842,245,3297
843,2391,3297
844,2113,3297
845,419,3297
846,2542,3297
847,666,3297
848,995,3297
849,216,3301
850,548,3302
851,548,3303
852,1343,3320
853,1170,3321
854,1892,3330
855,23,3335
856,2269,3345
857,2423,3372
858,216,3376
859,1120,3472
860,100,3505
861,2294,3505
862,253,3505
863,2482,3505
864,1188,3505
865,1227,3505
866,1229,3505
867,1512,3505
868,2083,3508
869,2113,3508
870,2115,3508
871,93,3508
872,2145,3508
873,2223,3508
874,2225,3508
875,245,3508
876,2298,3508
877,2364,3508
878,2391,3508
879,463,3508
880,613,3508
881,666,3508
882,787,3508
883,994,3508
884,1259,3508
885,1533,3508
886,1572,3508
887,2087,3510
888,175,3510
889,1227,3510
890,1229,3510
891,2304,3510
892,2087,3511
893,175,3511
894,1188,3511
895,1227,3511
896,1228,3511
897,1229,3511
898,636,3512
