tableA_id,tableB_id
0,1878
2,1881
3,1879
4,1905
6,1923
8,1936
8,2328
9,1928
10,1953
13,1966
13,2264
15,1970
17,1984
17,1985
18,1216
19,1237
20,1241
21,1434
22,1435
23,1437
24,1439
25,1445
26,372
26,3032
27,1447
28,2000
29,2002
30,428
31,2006
32,2008
33,2029
34,2041
35,2039
36,2037
37,2031
38,2058
39,2052
40,2050
41,2043
42,2068
43,2066
44,2062
45,2060
46,2078
47,2076
48,2074
49,2072
50,2090
51,2092
52,2082
53,2084
54,2103
55,2105
56,2099
57,2101
58,2113
59,2119
60,2106
61,2111
62,2127
63,2129
64,2121
65,2125
66,1574
68,1578
69,1576
72,1567
73,1565
74,1599
75,1594
75,1921
77,1606
78,1602
79,1583
80,1579
81,1592
82,1584
83,1622
84,1625
85,1627
86,1607
87,1609
88,1612
89,1616
90,1640
91,1644
91,1681
92,1648
93,1652
94,1629
95,1630
97,1637
98,1683
99,1680
101,1670
103,1659
104,1656
105,1655
106,1980
107,1696
108,1695
109,2227
111,1692
112,1689
113,1687
114,7
115,1685
116,1784
117,1790
118,1771
119,1774
120,1754
121,1768
122,1724
123,1740
124,1837
124,2845
125,1868
126,1820
127,1825
128,1818
130,1794
131,1816
131,3107
143,1830
152,2477
161,1491
162,1493
163,1486
163,3096
164,1487
165,1503
166,1505
168,2164
169,1501
170,1470
171,1472
174,1484
175,1485
176,1475
177,1481
178,1548
179,1543
180,1542
181,1538
182,1557
183,1555
185,1550
186,1518
187,1516
188,1513
189,1508
192,1529
193,1524
199,65
199,1717
207,1525
216,485
225,2316
243,141
245,144
248,1633
250,2154
261,1494
262,1122
262,1125
264,263
264,2606
265,331
266,2384
267,2503
268,3128
271,1512
272,2337
272,2372
273,8
274,3048
276,2996
276,3022
279,2108
284,3028
285,3030
286,3015
287,3024
289,3012
304,2980
308,3098
309,3102
310,3103
311,3104
312,577
316,3095
319,3119
320,2329
320,3055
321,3120
322,2199
323,3106
324,1449
325,3110
332,3035
333,2177
334,3031
335,3040
345,1520
346,2865
347,2864
348,1585
349,2862
350,917
351,2858
352,2871
353,2871
354,2869
355,2866
356,2842
357,2841
358,2838
359,2836
360,2856
362,2855
363,2854
364,2391
364,2395
365,2849
366,2770
368,2757
369,2770
370,2826
371,2518
372,2827
373,2805
374,2815
375,2636
376,2638
377,2624
378,2628
379,2644
380,2676
381,2640
382,2193
383,2642
383,3099
389,3009
394,2909
395,2906
396,2470
404,2890
411,2872
412,182
413,2873
414,2875
420,2388
421,2382
422,2374
423,2364
425,2354
426,2334
429,2284
430,2261
431,3109
432,2248
433,2242
434,2233
436,2217
436,2783
437,2211
438,2215
440,2204
441,2163
442,2180
444,2159
445,2161
446,2155
447,2157
448,2147
449,2149
450,2138
451,2145
