_id,ltable_id,rtable_id
0,539,224
1,571,256
2,553,238
3,644,329
4,638,323
5,559,244
6,605,290
7,573,258
8,584,269
9,627,312
10,639,324
11,560,245
12,587,272
13,565,250
14,625,310
15,578,263
16,579,264
17,599,284
18,536,221
19,620,305
20,969,125
21,535,220
22,641,326
23,629,314
24,538,223
25,558,243
26,572,257
27,557,242
28,580,265
29,613,298
30,569,254
31,577,262
32,540,225
33,585,270
34,551,236
35,636,321
36,555,240
37,643,328
38,552,237
39,600,285
40,550,235
41,625,331
42,614,299
43,575,260
44,956,296
45,586,271
46,568,253
47,645,330
48,561,246
49,628,313
50,607,292
51,549,234
52,593,278
53,546,231
54,618,303
55,589,274
56,537,222
57,566,251
58,543,228
59,630,315
60,632,317
61,634,319
62,542,227
63,637,322
64,556,241
65,969,127
66,545,230
67,567,252
68,622,307
69,640,325
70,548,233
