_id,ltable_id,rtable_id
0,534,6
1,534,55
2,534,67
3,534,219
4,534,223
5,534,225
6,534,231
7,534,232
8,534,235
9,534,238
10,538,6
11,538,55
12,538,67
13,538,219
14,538,223
15,538,225
16,538,231
17,538,232
18,538,235
19,538,238
20,540,6
21,540,55
22,540,67
23,540,219
24,540,223
25,540,225
26,540,231
27,540,232
28,540,235
29,540,238
30,543,6
31,543,55
32,543,67
33,543,219
34,543,223
35,543,225
36,543,231
37,543,232
38,543,235
39,543,238
40,544,6
41,544,55
42,544,67
43,544,219
44,544,223
45,544,225
46,544,231
47,544,232
48,544,235
49,544,238
50,545,6
51,545,55
52,545,67
53,545,219
54,545,223
55,545,225
56,545,231
57,545,232
58,545,235
59,545,238
60,546,6
61,546,55
62,546,67
63,546,219
64,546,223
65,546,225
66,546,231
67,546,232
68,546,235
69,546,238
70,547,6
71,547,55
72,547,67
73,547,219
74,547,223
75,547,225
76,547,231
77,547,232
78,547,235
79,547,238
80,549,6
81,549,55
82,549,67
83,549,219
84,549,223
85,549,225
86,549,231
87,549,232
88,549,235
89,549,238
90,550,6
91,550,55
92,550,67
93,550,219
94,550,223
95,550,225
96,550,231
97,550,232
98,550,235
99,550,238
100,551,6
101,551,55
102,551,67
103,551,219
104,551,223
105,551,225
106,551,231
107,551,232
108,551,235
109,551,238
110,552,6
111,552,55
112,552,67
113,552,219
114,552,223
115,552,225
116,552,231
117,552,232
118,552,235
119,552,238
120,553,6
121,553,55
122,553,67
123,553,219
124,553,223
125,553,225
126,553,231
127,553,232
128,553,235
129,553,238
130,554,6
131,554,55
132,554,67
133,554,219
134,554,223
135,554,225
136,554,231
137,554,232
138,554,235
139,554,238
140,556,6
141,556,55
142,556,67
143,556,219
144,556,223
145,556,225
146,556,231
147,556,232
148,556,235
149,556,238
150,649,6
151,649,55
152,649,67
153,649,219
154,649,223
155,649,225
156,649,231
157,649,232
158,649,235
159,649,238
160,652,6
161,652,55
162,652,67
163,652,219
164,652,223
165,652,225
166,652,231
167,652,232
168,652,235
169,652,238
170,653,6
171,653,55
172,653,67
173,653,219
174,653,223
175,653,225
176,653,231
177,653,232
178,653,235
179,653,238
180,655,6
181,655,55
182,655,67
183,655,219
184,655,223
185,655,225
186,655,231
187,655,232
188,655,235
189,655,238
190,656,6
191,656,55
192,656,67
193,656,219
194,656,223
195,656,225
196,656,231
197,656,232
198,656,235
199,656,238
200,657,6
201,657,55
202,657,67
203,657,219
204,657,223
205,657,225
206,657,231
207,657,232
208,657,235
209,657,238
210,658,6
211,658,55
212,658,67
213,658,219
214,658,223
215,658,225
216,658,231
217,658,232
218,658,235
219,658,238
220,659,6
221,659,55
222,659,67
223,659,219
224,659,223
225,659,225
226,659,231
227,659,232
228,659,235
229,659,238
230,660,6
231,660,55
232,660,67
233,660,219
234,660,223
235,660,225
236,660,231
237,660,232
238,660,235
239,660,238
240,661,6
241,661,55
242,661,67
243,661,219
244,661,223
245,661,225
246,661,231
247,661,232
248,661,235
249,661,238
250,662,6
251,662,55
252,662,67
253,662,219
254,662,223
255,662,225
256,662,231
257,662,232
258,662,235
259,662,238
260,663,6
261,663,55
262,663,67
263,663,219
264,663,223
265,663,225
266,663,231
267,663,232
268,663,235
269,663,238
270,664,6
271,664,55
272,664,67
273,664,219
274,664,223
275,664,225
276,664,231
277,664,232
278,664,235
279,664,238
280,665,6
281,665,55
282,665,67
283,665,219
284,665,223
285,665,225
286,665,231
287,665,232
288,665,235
289,665,238
290,667,6
291,667,55
292,667,67
293,667,219
294,667,223
295,667,225
296,667,231
297,667,232
298,667,235
299,667,238
300,668,6
301,668,55
302,668,67
303,668,219
304,668,223
305,668,225
306,668,231
307,668,232
308,668,235
309,668,238
310,669,6
311,669,55
312,669,67
313,669,219
314,669,223
315,669,225
316,669,231
317,669,232
318,669,235
319,669,238
320,670,6
321,670,55
322,670,67
323,670,219
324,670,223
325,670,225
326,670,231
327,670,232
328,670,235
329,670,238
330,671,6
331,671,55
332,671,67
333,671,219
334,671,223
335,671,225
336,671,231
337,671,232
338,671,235
339,671,238
340,674,6
341,674,55
342,674,67
343,674,219
344,674,223
345,674,225
346,674,231
347,674,232
348,674,235
349,674,238
350,675,6
351,675,55
352,675,67
353,675,219
354,675,223
355,675,225
356,675,231
357,675,232
358,675,235
359,675,238
360,676,6
361,676,55
362,676,67
363,676,219
364,676,223
365,676,225
366,676,231
367,676,232
368,676,235
369,676,238
370,677,6
371,677,55
372,677,67
373,677,219
374,677,223
375,677,225
376,677,231
377,677,232
378,677,235
379,677,238
380,678,6
381,678,55
382,678,67
383,678,219
384,678,223
385,678,225
386,678,231
387,678,232
388,678,235
389,678,238
390,679,6
391,679,55
392,679,67
393,679,219
394,679,223
