_id,ltable_id,rtable_id
0,637,198
1,930,166
2,950,301
3,608,308
4,977,129
5,996,187
6,617,170
7,551,235
8,636,328
9,1054,198
10,959,134
11,602,129
12,1005,196
13,1010,218
14,938,143
15,924,174
16,1044,207
17,644,317
18,631,191
19,925,308
20,1019,217
21,1044,190
22,952,142
23,644,204
24,643,193
25,957,131
26,997,206
27,970,286
28,919,331
29,915,144
30,625,172
31,611,145
32,919,184
33,634,210
34,1017,202
35,1042,205
36,947,179
37,1066,199
38,1051,313
39,1013,190
40,923,170
41,1017,187
42,626,168
43,639,212
44,932,180
45,1032,218
46,1051,214
47,1056,192
48,619,168
49,1023,218
50,933,302
51,921,302
52,1038,323
53,945,144
54,653,223
55,1002,323
56,1064,218
57,1062,325
58,1028,317
59,628,313
60,1041,190
61,604,290
62,1046,201
63,685,223
64,922,307
65,944,295
66,638,193
67,1006,194
68,1049,324
69,1047,209
70,955,185
71,977,289
72,1031,215
73,1059,319
74,931,176
75,1031,317
76,1036,213
77,1055,203
78,978,141
79,998,328
80,1060,211
81,968,139
82,1022,322
83,627,142
84,1010,314
85,944,148
86,618,311
87,640,189
88,949,173
89,953,170
90,1034,325
91,1036,315
92,996,200
93,926,151
94,929,145
95,1034,212
96,612,312
97,1058,206
98,635,203
99,1041,204
100,1007,313
101,1035,194
102,983,288
103,640,330
104,924,178
105,962,125
106,928,181
107,972,134
108,994,330
109,921,155
110,1018,324
111,1000,327
112,995,188
113,913,304
114,967,125
115,952,170
116,1033,199
117,994,317
118,1057,217
119,620,295
120,914,154
121,678,67
122,630,328
123,1003,326
124,995,195
125,970,133
126,989,193
127,1053,318
128,942,295
129,946,154
130,947,143
131,1066,187
132,990,211
133,663,219
134,636,215
135,979,286
136,639,200
137,624,159
138,932,168
139,1029,326
140,1008,318
141,923,295
142,652,223
143,619,148
144,988,327
145,534,223
146,956,165
147,975,123
148,1037,204
149,979,124
150,976,287
151,980,291
152,995,319
153,629,196
154,993,210
155,948,176
156,1046,213
157,605,123
158,954,309
159,1011,316
160,1059,330
161,926,311
162,626,310
163,1054,329
164,1037,319
165,637,315
166,927,171
167,931,172
168,920,155
169,613,306
170,993,213
171,1016,324
172,1025,328
173,983,128
174,987,197
175,608,158
176,628,209
177,1011,203
