_id,ltable_id,rtable_id
0,539,224
1,571,256
2,636,321
3,553,238
4,611,296
5,617,302
6,892,114
7,559,244
8,638,323
9,629,314
10,591,276
11,563,248
12,560,245
13,587,272
14,582,267
15,642,327
16,552,237
17,626,311
18,633,318
19,627,312
20,631,316
21,562,247
22,570,255
23,599,284
24,548,233
25,620,305
26,615,300
27,542,227
28,609,294
29,643,328
30,640,325
31,576,261
32,621,306
33,538,223
34,558,243
35,572,257
36,557,242
37,580,265
38,596,281
39,540,225
40,604,289
41,645,330
42,601,286
43,584,269
44,581,266
45,555,240
46,578,263
47,597,282
48,574,259
49,564,249
50,590,275
51,550,235
52,588,273
53,614,299
54,575,260
55,632,317
56,586,271
57,565,250
58,608,293
59,561,246
60,628,313
61,569,254
62,612,297
63,618,303
64,593,278
65,595,280
66,583,268
67,589,274
68,537,222
69,635,320
70,534,219
71,630,315
72,598,283
73,547,232
74,566,251
75,637,322
76,573,258
77,592,277
78,545,230
79,567,252
80,619,304
81,634,319
82,579,264
