_id,ltable_id,rtable_id
0,637,198
1,674,48
2,930,166
3,950,301
4,608,308
5,882,175
6,977,129
7,996,187
8,559,31
9,617,170
10,893,301
11,551,235
12,636,328
13,1054,198
14,578,263
15,741,201
16,959,134
17,602,129
18,1005,196
19,825,166
20,1009,129
21,1010,218
22,938,143
23,702,252
24,777,11
25,924,174
26,801,157
27,1044,207
28,659,43
29,644,317
30,631,191
31,925,308
32,1019,217
33,1044,190
34,902,192
35,715,192
36,952,142
37,780,126
38,644,204
39,643,193
40,648,135
41,957,131
42,997,206
43,970,286
44,605,264
45,690,80
46,919,331
47,776,43
48,915,144
49,625,172
50,1006,93
51,611,145
52,919,184
53,577,1
54,634,210
55,1017,202
56,1042,205
57,947,179
58,1066,199
59,1051,313
60,866,33
61,1013,190
62,923,170
63,1017,187
64,626,168
65,639,212
66,966,12
67,801,247
68,932,180
69,1032,218
70,1051,214
71,1056,192
72,619,168
73,710,1
74,1023,218
75,933,302
76,921,302
77,866,42
78,1038,323
79,945,144
80,653,223
81,1002,323
82,1064,218
83,1062,325
84,925,162
85,1028,317
86,628,313
87,538,33
88,693,11
89,1041,190
90,604,290
91,1046,201
92,538,80
93,666,141
94,685,223
95,922,307
96,851,139
97,944,295
98,799,107
99,638,193
100,1006,194
101,1049,324
102,1047,209
103,955,185
104,977,289
105,1031,215
106,1040,1
107,1059,319
108,931,176
109,1031,317
110,884,240
111,1036,213
112,1055,203
113,978,141
114,998,328
115,1060,211
116,968,139
117,1022,322
118,627,142
119,1010,314
120,686,42
121,944,148
122,618,311
123,640,189
124,949,173
125,953,170
126,1034,325
127,1036,315
128,996,200
129,669,318
130,926,151
131,929,145
132,779,43
133,1034,212
134,612,312
135,1058,206
136,635,203
137,720,17
138,1041,204
139,1007,313
140,1035,194
141,1035,247
142,655,157
143,983,288
144,640,330
145,1061,129
146,884,135
147,924,178
148,962,125
149,928,181
150,881,107
151,972,134
152,994,330
153,921,155
154,1018,324
155,1000,327
156,995,188
157,913,304
158,967,125
159,952,170
160,1033,199
161,994,317
162,1057,217
163,796,107
164,620,295
165,914,154
166,678,67
167,630,328
168,1015,262
169,1003,326
170,995,195
171,970,133
172,989,193
173,574,259
174,795,82
175,942,295
176,992,107
177,723,139
178,946,154
179,947,143
180,1066,187
181,696,127
182,572,43
183,990,211
184,663,219
185,636,215
186,979,286
187,687,209
188,639,200
189,624,159
190,932,168
191,1029,326
192,1008,318
193,757,157
194,923,295
195,652,223
196,619,148
197,748,304
198,645,74
199,988,327
200,534,223
201,998,17
202,719,209
203,956,165
204,975,123
205,1037,204
206,1016,136
207,979,124
208,976,287
209,980,291
210,995,319
211,770,33
212,896,136
213,629,196
214,993,210
215,1016,247
216,796,42
217,948,176
218,1046,213
219,605,123
220,733,166
221,954,309
222,827,33
223,1011,316
224,1059,330
225,926,311
226,1026,129
227,626,310
228,1054,329
229,647,139
230,1037,319
231,851,276
232,637,315
233,927,171
234,931,172
235,907,12
236,920,155
237,613,306
238,993,213
239,1016,324
240,1025,328
241,983,128
242,987,197
243,608,158
244,755,33
245,628,209
246,1011,203
247,626,175
248,1036,328
249,940,181
250,944,176
251,618,299
252,1060,326
253,855,74
254,949,129
255,1053,206
256,914,182
257,925,184
258,1019,325
259,1007,193
260,1030,264
261,1034,200
262,973,140
263,978,190
264,1058,210
265,872,33
266,674,235
267,913,184
268,938,180
269,702,293
270,939,149
271,914,147
272,1025,319
273,673,33
274,621,299
275,1063,212
276,1045,313
277,750,49
278,623,301
279,935,161
280,683,136
281,616,181
282,924,150
283,925,331
284,707,40
285,1004,212
286,1048,194
287,716,80
288,648,240
289,1015,196
290,832,264
291,961,126
292,654,12
293,626,293
294,554,6
295,937,150
296,577,175
297,602,266
298,985,130
299,948,306
300,625,155
301,933,162
302,644,43
303,829,31
304,924,299
305,824,247
306,946,303
307,1062,193
308,897,135
309,584,260
310,536,321
311,701,55
312,630,199
313,1013,197
314,761,276
315,1041,314
316,635,319
317,710,175
318,1039,188
319,990,207
320,918,312
321,1012,196
322,998,276
323,957,286
324,923,146
325,946,17
326,620,184
327,1028,215
328,1020,209
329,535,33
330,1052,205
331,960,157
332,1014,320
333,731,139
334,927,331
335,1003,209
336,552,55
337,936,150
338,791,264
339,1037,240
340,941,155
341,1038,315
342,653,231
343,638,319
344,843,175
345,988,218
346,629,216
347,921,151
348,850,215
349,688,33
350,1017,318
351,1045,192
352,687,107
353,732,215
354,981,306
355,932,305
356,1039,198
357,699,6
358,992,12
359,974,140
360,798,42
361,614,151
362,615,170
363,1001,210
364,619,303
365,1002,189
366,675,17
367,1027,196
368,950,181
369,879,273
370,954,184
371,591,141
372,748,11
373,741,272
374,851,304
375,1059,247
376,1025,315
377,927,143
378,1016,157
379,608,203
380,1007,189
381,954,43
382,917,165
383,632,193
384,728,93
385,1040,216
386,580,33
387,1001,12
388,964,128
389,732,40
390,1046,322
391,995,320
392,802,82
393,1058,276
394,566,251
395,852,252
396,768,42
397,1046,317
398,1049,207
399,608,297
400,670,31
401,940,296
402,1058,135
403,925,156
404,637,216
405,952,294
406,915,154
407,1031,184
408,1035,189
409,568,166
410,1057,325
411,962,131
412,610,1
413,985,290
414,693,17
415,1006,200
416,934,293
417,916,304
418,938,168
419,928,142
420,801,240
421,949,296
422,971,288
423,1033,317
424,972,127
425,631,218
426,777,127
427,616,145
428,925,303
429,587,272
430,612,165
431,581,42
432,961,123
433,601,140
434,1004,191
435,1029,218
436,934,150
437,645,193
438,919,294
439,776,48
440,795,252
441,833,33
442,669,221
443,1004,206
444,936,310
445,919,151
446,634,191
447,961,133
448,1043,195
449,748,203
450,658,223
451,607,128
452,994,199
453,1013,217
454,540,223
455,1038,74
456,1018,193
457,946,162
458,966,33
459,932,145
460,671,267
461,1051,205
462,957,290
463,960,74
464,1014,317
465,980,133
466,620,156
467,549,232
468,1008,326
469,990,314
470,1052,209
471,975,130
472,795,312
473,652,231
474,927,303
475,1003,189
476,605,129
477,680,232
478,992,202
479,1052,320
480,922,173
481,1016,192
482,942,168
483,818,330
484,968,291
485,927,293
486,714,267
487,988,190
488,1009,197
489,1011,327
490,918,145
491,1003,195
492,618,175
493,1026,214
494,997,321
495,1047,204
496,1050,208
497,992,40
498,920,309
499,614,179
500,998,210
501,1001,206
502,631,330
503,604,125
504,931,151
505,950,145
506,1037,195
507,884,157
508,1018,211
509,1037,327
510,941,306
511,1064,315
512,916,144
513,590,43
514,917,185
515,996,326
516,688,31
517,1040,196
518,998,316
519,802,11
520,640,210
521,604,131
522,570,31
523,897,293
524,935,293
525,683,276
526,846,192
527,684,235
528,996,213
529,992,213
530,1024,328
531,708,225
532,926,184
533,1010,204
534,878,209
535,608,309
536,977,128
537,1035,293
538,997,205
539,986,126
540,915,182
541,879,233
542,1059,135
543,1035,217
544,1054,199
545,959,129
546,983,287
547,1005,195
548,652,25
549,679,6
550,683,67
551,671,3
552,1012,197
553,924,175
554,797,215
555,928,170
556,1044,200
557,1006,191
558,659,42
559,644,318
560,611,293
561,631,190
562,635,187
563,672,175
564,925,307
565,1019,216
566,1044,191
567,913,331
568,1022,17
569,952,143
570,644,205
571,993,218
572,648,136
573,957,130
574,668,219
575,1043,1
576,970,287
577,934,178
578,645,293
579,919,330
580,1045,211
581,961,240
582,1015,317
583,1042,187
584,657,223
585,621,166
586,715,33
587,611,144
588,636,200
589,634,211
590,1017,201
591,1042,202
592,946,247
593,947,178
594,595,33
595,1066,196
596,1026,192
597,991,325
598,1013,189
599,923,173
600,943,166
601,639,215
602,876,139
603,932,181
604,987,202
605,663,39
606,1056,193
607,690,67
608,619,171
609,583,268
610,1023,197
611,933,301
612,629,126
613,921,301
614,1021,199
615,1038,320
616,945,151
617,1002,320
618,1028,318
619,628,314
620,615,12
621,1041,189
622,642,178
623,604,291
624,1046,206
625,1023,315
626,918,189
627,922,304
628,615,157
629,543,192
630,638,198
631,1021,198
632,920,272
633,1047,208
634,584,264
635,955,184
636,977,288
637,1059,318
638,879,260
639,927,182
640,931,179
641,626,296
642,661,6
643,955,297
644,989,324
645,1055,202
646,978,138
647,944,6
648,998,329
649,855,304
650,968,140
651,1022,323
652,953,312
653,916,180
654,1010,315
655,777,276
656,1029,198
657,944,149
658,618,308
659,929,295
660,640,190
661,949,172
662,1054,326
663,1034,322
664,996,201
665,906,209
666,926,148
667,929,144
668,751,97
669,987,328
670,1034,213
671,648,127
672,1058,207
673,1008,211
674,880,12
675,623,155
676,825,80
677,1009,211
678,1002,209
679,1035,197
680,939,168
681,547,252
682,961,232
683,983,291
684,779,33
685,753,214
686,551,31
687,1022,276
688,664,321
689,612,31
690,924,179
691,1000,313
692,928,182
693,696,82
694,937,296
695,1018,325
696,1000,328
697,692,6
698,948,168
699,967,124
700,952,171
701,1033,198
702,937,185
703,645,136
704,994,314
705,1057,216
706,984,252
707,914,155
708,1008,194
709,627,171
710,1014,210
711,748,141
712,630,329
713,1003,313
714,1047,178
715,839,215
716,970,130
717,607,75
718,843,215
719,1053,317
720,890,93
721,1001,31
722,946,155
723,947,142
724,553,11
725,916,171
726,630,107
727,596,175
728,979,289
729,852,17
730,600,42
731,639,203
732,624,144
733,1029,325
734,1008,319
735,991,315
736,839,1
737,718,82
738,860,48
739,923,294
740,619,151
741,984,312
742,988,320
743,609,157
744,916,80
745,1043,196
746,956,166
747,1037,203
748,941,182
749,979,127
750,945,179
751,908,1
752,1061,197
753,988,247
754,629,195
755,666,127
756,1040,320
757,615,48
758,945,12
759,567,141
760,969,134
761,984,11
762,954,306
763,1011,319
764,921,43
765,922,276
766,817,74
767,926,308
768,1041,327
769,694,304
770,1022,157
771,950,174
772,954,165
773,917,31
774,1037,318
775,1059,218
776,625,303
777,637,314
778,927,170
779,931,175
780,627,252
781,699,219
782,920,156
783,613,305
784,1016,325
785,664,51
786,966,192
787,1062,315
788,983,131
789,993,323
790,987,196
791,608,159
792,664,225
793,628,210
794,1011,202
795,1036,329
796,940,182
797,618,296
798,1060,327
799,674,6
800,570,215
801,879,67
802,755,209
803,1024,304
804,1019,324
805,693,139
806,787,330
807,626,158
808,1034,201
809,973,139
810,811,48
811,1058,211
812,880,166
813,674,232
