_id,ltable_id,rtable_id
0,674,48
1,783,141
2,567,240
3,909,33
4,882,175
5,610,40
6,536,44
7,767,174
8,902,192
9,559,31
10,707,40
11,690,80
12,671,54
13,852,11
14,678,44
15,1030,273
16,718,247
17,846,40
18,547,247
19,1038,240
20,723,232
21,741,201
22,942,74
23,1060,166
24,984,135
25,850,107
26,825,166
27,1009,129
28,829,33
29,777,11
30,615,31
31,763,293
32,1043,215
33,659,43
34,755,31
35,780,100
36,902,40
37,883,129
38,636,215
39,597,43
40,904,192
41,768,12
42,715,192
43,780,126
44,882,166
45,896,135
46,648,135
47,632,12
48,780,75
49,907,12
50,999,215
51,912,209
52,834,247
53,819,97
54,1030,264
55,572,107
56,865,215
57,702,276
58,776,43
59,562,17
60,708,48
61,654,12
62,693,127
63,968,157
64,825,175
65,536,321
66,790,1
67,577,1
68,688,12
69,852,141
70,797,209
71,936,127
72,659,48
73,819,68
74,897,304
75,827,12
76,593,129
77,866,33
78,649,74
79,852,252
80,670,31
81,798,80
82,547,157
83,582,71
84,966,12
85,881,209
86,845,43
87,900,93
88,1053,49
89,650,43
90,669,221
91,817,135
92,671,36
93,710,1
94,731,276
95,1011,107
96,882,48
97,792,312
98,866,42
99,1059,135
100,855,312
101,1004,40
102,804,93
103,981,128
104,536,328
105,538,33
106,1035,293
107,961,304
108,652,25
109,988,127
110,981,124
111,768,107
112,570,43
113,909,48
114,664,44
115,538,80
116,630,1
117,595,33
118,869,93
119,809,129
120,799,107
121,857,240
122,625,124
123,642,178
124,645,135
125,791,233
126,904,31
127,1040,1
128,707,31
129,672,43
130,800,80
131,1043,12
132,765,269
133,653,3
134,882,43
135,866,209
136,884,240
137,653,122
138,1055,262
139,706,262
140,673,12
141,748,141
142,696,252
143,659,209
144,733,42
145,898,1
146,835,43
147,819,19
148,538,40
149,922,139
150,946,232
151,984,11
152,731,252
153,696,74
154,824,127
155,988,232
156,679,131
157,664,51
158,645,127
159,994,252
160,702,252
161,669,318
162,945,107
163,799,80
164,547,139
165,789,202
166,666,330
167,632,33
168,850,40
169,723,330
170,579,49
171,998,240
172,608,74
173,782,43
174,772,157
175,550,7
176,648,11
177,557,175
178,873,312
179,988,82
180,834,330
181,655,157
182,693,74
183,1045,293
184,1053,75
185,1061,129
186,884,135
187,790,42
188,557,192
189,686,107
190,562,141
191,780,212
192,874,139
193,656,74
194,823,214
195,881,107
196,916,33
197,718,312
198,641,129
199,994,247
200,685,209
201,960,11
202,763,11
203,963,6
204,874,240
205,876,247
206,549,215
207,791,126
208,632,40
209,796,107
210,835,192
211,599,43
212,765,212
213,855,157
214,697,129
215,608,17
216,536,227
217,702,304
218,723,141
219,778,215
220,985,190
221,1015,262
222,581,215
223,818,139
224,1020,262
225,992,192
226,1012,75
227,1007,107
228,795,82
229,541,31
230,834,11
231,992,107
232,873,252
233,1024,330
234,655,11
235,713,48
236,927,301
237,716,43
238,916,40
239,755,192
240,1017,203
241,1012,100
242,687,209
243,817,82
244,873,141
245,619,330
246,857,203
247,694,312
248,732,107
249,860,80
250,787,240
251,644,175
252,720,232
253,1016,136
254,684,262
255,649,247
256,649,232
257,652,223
258,672,48
259,673,166
260,1058,74
261,748,304
262,855,304
263,698,166
264,916,209
265,954,12
266,720,135
267,719,209
268,811,80
269,957,17
270,741,324
271,688,80
272,755,40
273,779,107
274,636,43
275,840,107
276,1004,12
277,696,293
278,770,33
279,1007,1
280,937,93
281,851,139
282,612,12
283,1045,252
284,1014,93
285,1058,136
286,872,209
287,1042,40
288,564,175
289,909,31
290,569,215
291,733,166
292,1024,141
293,553,17
294,827,33
295,810,43
296,1035,11
297,919,74
298,851,127
299,778,48
300,1059,330
301,600,48
302,619,252
303,1026,129
304,1034,12
305,783,252
306,733,215
307,808,93
308,714,122
309,647,139
310,832,67
311,960,136
312,851,276
313,1040,80
314,619,141
315,1043,40
316,765,273
317,912,43
318,897,203
319,895,40
320,715,107
321,627,304
322,1034,80
323,783,247
324,832,269
325,559,166
326,724,192
327,673,40
328,730,43
329,658,137
330,564,192
331,755,33
332,863,192
333,538,12
334,829,80
335,939,301
336,1017,240
337,870,306
338,545,214
339,855,74
340,949,129
341,534,48
342,1045,203
343,666,232
344,830,209
345,559,40
346,854,262
347,619,312
348,711,214
349,1027,209
350,1022,135
351,550,221
352,553,135
353,954,175
354,863,43
355,960,232
356,977,262
357,850,12
358,1037,312
359,778,31
360,600,166
361,656,136
362,675,203
363,1007,166
364,824,312
365,543,42
366,702,293
367,647,17
368,795,136
369,778,192
370,597,12
371,708,1
372,673,33
373,984,127
374,748,232
375,750,49
376,880,48
377,678,199
378,1034,42
379,683,136
380,723,17
381,942,312
382,652,51
383,970,12
384,946,135
385,748,127
386,713,43
387,641,262
388,570,209
389,716,80
390,755,215
391,648,240
392,761,252
393,834,135
394,664,25
395,692,25
396,698,192
397,553,136
398,679,301
399,535,40
400,802,17
401,577,175
402,596,42
403,779,1
404,934,201
405,999,31
406,602,266
407,675,240
408,839,43
409,1048,43
410,1007,175
411,644,43
412,865,31
413,846,107
414,919,157
415,686,31
416,778,33
417,636,48
418,1027,33
419,981,6
420,761,276
421,726,33
422,710,175
423,957,293
424,658,321
425,660,272
426,923,201
427,1032,201
428,944,131
429,756,214
430,648,247
431,824,203
432,761,135
433,673,209
434,564,43
435,966,80
436,766,43
437,783,203
438,879,264
439,717,40
440,535,33
441,540,44
442,960,157
443,772,17
444,543,33
445,748,276
446,553,141
447,572,42
448,928,131
449,630,175
