id,title,authors,venue,paper year
l0,Paradise: A Database System for GIS Applications,Paradise Team,SIGMOD Conference,1995
l1,A Query Language and Optimization Techniques for Unstructured Data,"Gerd G. Hillebrand, Peter Buneman, Susan B. Davidson, Dan Suciu",SIGMOD Conference,1996
l2,Turbo-charging Vertical Mining of Large Databases,"Jayant R. Haritsa, Devavrat Shah, S. Sudarshan, Pradeep Shenoy, Mayank Bawa, Gaurav Bhalotia",SIGMOD Conference,2000
l3,Maintenance of Data Cubes and Summary Tables in a Warehouse,"Inderpal Singh Mumick, Dallan Quass, Barinderpal Singh Mumick",SIGMOD Conference,1997
l4,On Relational Support for XML Publishing: Beyond Sorting and Tagging,"Raghav Kaushik, Jeffrey F. Naughton, Surajit Chaudhuri",SIGMOD Conference,2003
l5,Join Index Hierarchies for Supporting Efficient Navigations in Object-Oriented Databases,"Jiawei Han, Zhaohui Xie",VLDB,1994
l6,Data Integration and Warehousing in Telecom Italia,"Daniele Nardi, Maurizio Lenzerini, Stefano Trisolini",SIGMOD Conference,1999
l7,"Physical Data Independence, Constraints, and Optimization with Universal Plans","Lucian Popa, Alin Deutsch, Val Tannen",VLDB,1999
l8,A Pictorial Query Language for Querying Geographic Databases using Positional and OLAP Operators,"Elaheh Pourabbas, Maurizio Rafanelli",SIGMOD Record,2002
l9,"Fast, Randomized Join-Order Selection - Why Use Transformations?","Arjan Pellenkoft, Csar A. Galindo-Legaria, Martin L. Kersten",VLDB,1994
l10,Emancipating instances from the tyranny of classes in information modeling,"Jeffrey Parsons, Yair Wand",ACM Trans. Database Syst.,2000
l11,"TCP-D - The Challenges, Issues and Results",Ramesh Bhashyam,SIGMOD Record,1996
l12,Much Ado About Shared-Nothing,"Michael G. Norman, Peter Thanisch, Thomas Zurek",SIGMOD Record,1996
l13,Rainbow: Distributed Database System for Classroom Education and Experimental Research,"Abdelsalam Helal, Hua Li",VLDB,2000
l14,Partition Selection Policies in Object Database Garbage Collection,"Benjamin G. Zorn, Alexander L. Wolf, Jonathan E. Cook",SIGMOD Conference,1994
l15,Bottom-Up Computation of Sparse and Iceberg CUBEs,"Kevin S. Beyer, Raghu Ramakrishnan",SIGMOD Conference,1999
l16,A Probabilistic Relational Model and Algebra,"Debabrata Dey, Sumit Sarkar",ACM Trans. Database Syst.,1996
l17,Algorithms for Querying by Spatial Structure,"Nikos Mamoulis, Dimitris Papadias, Vasilis Delis",VLDB,1998
l18,Checking the Temporal Integrity of Interactive Multimedia Documents,"S. Tserkezoglou, Timos K. Sellis, Barbara Pernici, Michalis Vazirgiannis, Isabelle Mirbel",VLDB J.,2000
l19,DBLearn: A System Prototype for Knowledge Discovery in Relational Databases,"Yue Huang, Yandong Cai, Yongjian Fu, Nick Cercone, Jiawei Han",SIGMOD Conference,1994
l20,User-oriented smart-cache for the Web: What You Seek is What You Get!,"Arnaud Sahuguet, Raman Chandrasekar, Zo Lacroix",SIGMOD Conference,1998
l21,"Toto, We're Not in Kansas Anymore: On Transitioning from Research to the Real (Invited Industrial Talk)",Michael J. Carey,VLDB,2000
l22,Association Rules over Interval Data,"Rene J. Miller, Yuping Yang",SIGMOD Conference,1997
l23,Very Large Databases in a Commercial Application Environment,Karl-Heinz Hess,VLDB,1996
l24,The National Medical Knowledge Bank,Warren Sterling,VLDB,1998
l25,Extending Practical Pre-Aggregation in On-Line Analytical Processing,"Torben Bach Pedersen, Curtis E. Dyreson, Christian S. Jensen",VLDB,1999
l26,Using Schema Matching to Simplify Heterogeneous Data Translation,"Tova Milo, Sagit Zohar",VLDB,1998
l27,The Persistent Cache: Improving OID Indexing in Temporal Object-Oriented Database Systems,Kjetil Nrvg,VLDB,1999
l28,Storage Technology: RAID and Beyond,Garth A. Gibson,SIGMOD Conference,1995
l29,Data page layouts for relational databases on deep memory hierarchies,"David J. DeWitt, Mark D. Hill, Anastassia Ailamaki",VLDB J.,2002
l30,Approximate query mapping: Accounting for translation closeness,"Hector Garcia-Molina, Kevin Chen-Chuan Chang",VLDB J.,2001
l31,Broadcast Protocols to Support Efficient Retrieval from Databases by Mobile Users,"Anindya Datta, Vijay Kumar, Aslihan Celik, Debra E. VanderMeer",ACM Trans. Database Syst.,1999
l32,New Programs at DARPA and NSF,Xiaolei Qian,SIGMOD Record,1996
l33,"The New Locking, Logging, and Recovery Architecture of Microsoft SQL Server 7.0",David Campbell,VLDB,1999
l34,IPSOFACTO: A Visual Correlation Tool for Aggregate Network Traffic Data,"Yunyue Zhu, S. Muthukrishnan, Flip Korn",SIGMOD Conference,2003
l35,Fast Algorithms for Maintaining Replica Consistency in Lazy Master Replicated Databases,"Eric Simon, Esther Pacitti, Pascale Minet",VLDB,1999
l36,The n-Tier Hub Technology,"Rainer A. Sommer, David Bailey, Thomas R. Gulledge",SIGMOD Record,2002
l37,"World Wide Database - Integrating the Web, CORBA, and Databases","Kevin Smith, Athman Bouguettaya, Mourad Ouzzani, James Beard, Lily Hendra, Boualem Benatallah",SIGMOD Conference,1999
l38,"Fault-tolerant, Load-balancing Queries in Telegraph","Mehul A. Shah, Sirish Chandrasekaran",SIGMOD Conference,2001
l39,Efficient Materialization and Use of Views in Data Warehouses,"Mrcio Farias de Souza, Marcus Costa Sampaio",SIGMOD Record,1999
