id,name,addr,city,phone,type
1,apple pan  the,10801 w. pico blvd.,west la,310-475-3585,american
2,asahi ramen,2027 sawtelle blvd.,west la,310-479-2231,noodle shops
3,baja fresh,3345 kimber dr.,westlake village,805-498-4049,mexican
4,belvedere  the,9882 little santa monica blvd.,beverly hills,310-788-2306,pacific new wave
5,benitas frites,1433 third st. promenade,santa monica,310-458-2889,fast food
6,bernards,515 s. olive st.,los angeles,213-612-1580,continental
7,bistro 45,45 s. mentor ave.,pasadena,818-795-2478,californian
8,brents deli,19565 parthenia ave.,northridge,818-886-5679,delis
9,brighton coffee shop,9600 brighton way,beverly hills,310-276-7732,coffee shops
10,bristol farms market cafe,1570 rosecrans ave. s.,pasadena,310-643-5229,californian
11,brunos,3838 centinela ave.,mar vista,310-397-5703,italian
12,cafe 50s,838 lincoln blvd.,venice,310-399-1955,american
13,cafe blanc,9777 little santa monica blvd.,beverly hills,310-888-0108,pacific new wave
14,cassells,3266 w. sixth st.,la,213-480-8668,hamburgers
15,chez melange,1716 pch,redondo beach,310-540-1222,eclectic
16,diaghilev,1020 n. san vicente blvd.,w. hollywood,310-854-1111,russian
17,don antonios,1136 westwood blvd.,westwood,310-209-1422,italian
18,dukes,8909 sunset blvd.,w. hollywood,310-652-3100,coffee shops
19,falafel king,1059 broxton ave.,westwood,310-208-4444,middle eastern
20,feast from the east,1949 westwood blvd.,west la,310-475-0400,chinese
21,gumbo pot  the,6333 w. third st.,la,213-933-0358,cajun/creole
22,hollywood hills coffee shop,6145 franklin ave.,hollywood,213-467-7678,coffee shops
23,indo cafe,10428 1/2 national blvd.,la,310-815-1290,indonesian
24,jans family restaurant,8424 beverly blvd.,la,213-651-2866,coffee shops
25,jiraffe,502 santa monica blvd,santa monica,310-917-6671,californian
26,jody maronis sausage kingdom,2011 ocean front walk,venice,310-306-1995,hot dogs
27,joes,1023 abbot kinney blvd.,venice,310-399-5811,american (new)
28,john ogroats,10516 w. pico blvd.,west la,310-204-0692,coffee shops
29,johnnies pastrami,4017 s. sepulveda blvd.,culver city,310-397-6654,delis
30,johnny rebs southern smokehouse,4663 long beach blvd.,long beach,310-423-7327,southern/soul
31,johnny rockets (la),7507 melrose ave.,la,213-651-3361,american
32,killer shrimp,4000 colfax ave.,studio city,818-508-1570,seafood
33,kokomo cafe,6333 w. third st.,la,213-933-0773,american
34,koo koo roo,8393 w. beverly blvd.,la,213-655-9045,chicken
35,la cachette,10506 little santa monica blvd.,century city,310-470-4992,french (new)
36,la salsa (la),22800 pch,malibu,310-456-6299,mexican
37,la serenata de garibaldi,1842 e. first,st. boyle hts.,213-265-2887,mexican/tex-mex
38,langers,704 s. alvarado st.,la,213-483-8050,delis
39,local nochol,30869 thousand oaks blvd.,westlake village,818-706-7706,health food
40,main course  the,10509 w. pico blvd.,rancho park,310-475-7564,american
41,manis bakery & espresso bar,519 s. fairfax ave.,la,213-938-8800,desserts
42,marthas,22nd street grill 25 22nd,st. hermosa beach,310-376-7786,american
43,maxwells cafe,13329 washington blvd.,marina del rey,310-306-7829,american
44,michaels (los angeles),1147 third st.,santa monica,310-451-0843,californian
45,mishima,8474 w. third st.,la,213-782-0181,noodle shops
46,mo better meatty meat,7261 melrose ave.,la,213-935-5280,hamburgers
47,mulberry st.,17040 ventura blvd.,encino,818-906-8881,pizza
48,ocean park cafe,3117 ocean park blvd.,santa monica,310-452-5728,american
49,ocean star,145 n. atlantic blvd.,monterey park,818-308-2128,seafood
50,original pantry bakery,875 s. figueroa st. downtown,la,213-627-6879,diners
51,parkway grill,510 s. arroyo pkwy.,pasadena,818-795-1001,californian
52,pho hoa,642 broadway,chinatown,213-626-5530,vietnamese
53,pinks famous chili dogs,709 n. la brea ave.,la,213-931-4223,hot dogs
54,poquito mas,2635 w. olive ave.,burbank,818-563-2252,mexican
55,r-23,923 e. third st.,los angeles,213-687-7178,japanese
56,raes,2901 pico blvd.,santa monica,310-828-7937,diners
57,rubins red hots,15322 ventura blvd.,encino,818-905-6515,hot dogs
58,rubys (la),45 s. fair oaks ave.,pasadena,818-796-7829,diners
59,russells burgers,1198 pch,seal beach,310-596-9556,hamburgers
60,ruths chris steak house (los angeles),224 s. beverly dr.,beverly hills,310-859-8744,steakhouses
61,shiro,1505 mission st. s.,pasadena,818-799-4774,pacific new wave
62,sushi nozawa,11288 ventura blvd.,studio city,818-508-7017,japanese
63,sweet lady jane,8360 melrose ave.,la,213-653-7145,desserts
64,taiko,11677 san vicente blvd.,brentwood,310-207-7782,noodle shops
65,tommys,2575 beverly blvd.,la,213-389-9060,hamburgers
66,uncle bills pancake house,1305 highland ave.,manhattan beach,310-545-5177,diners
